Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2024
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";7
"110002 ARIQUEMES";144
"110004 CACOAL";269
"110005 CEREJEIRAS";289
"110006 COLORADO DO OESTE";13
"110007 CORUMBIARA";3
"110008 COSTA MARQUES";6
"110009 ESPIGAO D'OESTE";3
"110010 GUAJARA-MIRIM";4
"110011 JARU";4
"110012 JI-PARANA";63
"110013 MACHADINHO D'OESTE";5
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";15
"110018 PIMENTA BUENO";2
"110020 PORTO VELHO";1129
"110025 PRESIDENTE MEDICI";28
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";6
"110030 VILHENA";52
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";3
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";3
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";32
"110070 CAMPO NOVO DE RONDONIA";7
"110080 CANDEIAS DO JAMARI";36
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";2
"110110 ITAPUA DO OESTE";2
"110120 MINISTRO ANDREAZZA";3
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";2
"110145 PARECIS";1
"110146 PIMENTEIRAS DO OESTE";4
"110147 PRIMAVERA DE RONDONIA";66
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";3
"110150 SERINGUEIRAS";2
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";3
"110180 VALE DO PARAISO";2
"120001 ACRELANDIA";3
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";8
"120013 BUJARI";2
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";200
"120025 EPITACIOLANDIA";7
"120030 FEIJO";6
"120032 JORDAO";1
"120033 MANCIO LIMA";29
"120034 MANOEL URBANO";20
"120035 MARECHAL THAUMATURGO";6
"120038 PLACIDO DE CASTRO";5
"120039 PORTO WALTER";1
"120040 RIO BRANCO";516
"120042 RODRIGUES ALVES";7
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";6
"120050 SENA MADUREIRA";4
"120060 TARAUACA";5
"120070 XAPURI";2
"120080 PORTO ACRE";9
"130002 ALVARAES";2
"130014 APUI";2
"130030 AUTAZES";2
"130040 BARCELOS";2
"130063 BERURI";10
"130070 BOCA DO ACRE";3
"130080 BORBA";3
"130083 CAAPIRANGA";1
"130090 CANUTAMA";8
"130100 CARAUARI";50
"130110 CAREIRO";1
"130115 CAREIRO DA VARZEA";1
"130120 COARI";33
"130130 CODAJAS";4
"130140 EIRUNEPE";1
"130165 GUAJARA";3
"130170 HUMAITA";7
"130180 IPIXUNA";2
"130185 IRANDUBA";7
"130190 ITACOATIARA";1
"130230 JUTAI";3
"130240 LABREA";2
"130260 MANAUS";336
"130270 MANICORE";1
"130280 MARAA";4
"130290 MAUES";2
"130320 NOVO AIRAO";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";5
"130350 PAUINI";4
"130356 RIO PRETO DA EVA";1
"130370 SANTO ANTONIO DO ICA";2
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";2
"130410 TAPAUA";2
"130420 TEFE";1
"140002 AMAJARI";7
"140005 ALTO ALEGRE";7
"140010 BOA VISTA";154
"140015 BONFIM";3
"140017 CANTA";164
"140020 CARACARAI";99
"140023 CAROEBE";1
"140028 IRACEMA";8
"140030 MUCAJAI";14
"140040 NORMANDIA";11
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";257
"140050 SAO JOAO DA BALIZA";9
"140060 SAO LUIZ";2
"150010 ABAETETUBA";105
"150020 ACARA";24
"150030 AFUA";5
"150040 ALENQUER";5
"150050 ALMEIRIM";1
"150060 ALTAMIRA";59
"150080 ANANINDEUA";104
"150085 ANAPU";6
"150090 AUGUSTO CORREA";4
"150095 AURORA DO PARA";1
"150120 BAIAO";24
"150125 BANNACH";3
"150130 BARCARENA";209
"150140 BELEM";1010
"150145 BELTERRA";34
"150150 BENEVIDES";41
"150170 BRAGANCA";35
"150175 BREJO GRANDE DO ARAGUAIA";1
"150180 BREVES";4
"150190 BUJARU";33
"150195 CACHOEIRA DO PIRIA";1
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";164
"150215 CANAA DOS CARAJAS";1
"150220 CAPANEMA";8
"150230 CAPITAO POCO";30
"150240 CASTANHAL";1446
"150260 COLARES";5
"150270 CONCEICAO DO ARAGUAIA";82
"150275 CONCORDIA DO PARA";1
"150276 CUMARU DO NORTE";51
"150285 CURUA";3
"150290 CURUCA";318
"150293 DOM ELISEU";2
"150295 ELDORADO DOS CARAJAS";9
"150300 FARO";1
"150304 FLORESTA DO ARAGUAIA";8
"150310 GURUPA";1
"150320 IGARAPE-ACU";361
"150330 IGARAPE-MIRI";14
"150340 INHANGAPI";124
"150345 IPIXUNA DO PARA";2
"150350 IRITUIA";6
"150360 ITAITUBA";4
"150370 ITUPIRANGA";1
"150380 JACUNDA";1
"150390 JURUTI";148
"150400 LIMOEIRO DO AJURU";14
"150405 MAE DO RIO";4
"150410 MAGALHAES BARATA";3
"150420 MARABA";11
"150440 MARAPANIM";9
"150442 MARITUBA";449
"150445 MEDICILANDIA";22
"150460 MOCAJUBA";23
"150470 MOJU";7
"150475 MOJUI DOS CAMPOS";3
"150490 MUANA";1
"150497 NOVA IPIXUNA";3
"150500 NOVA TIMBOTEUA";1
"150503 NOVO PROGRESSO";1
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";219
"150520 OEIRAS DO PARA";17
"150530 ORIXIMINA";6
"150548 PACAJA";16
"150550 PARAGOMINAS";101
"150553 PARAUAPEBAS";14
"150555 PAU D'ARCO";49
"150560 PEIXE-BOI";4
"150565 PLACAS";5
"150570 PONTA DE PEDRAS";1
"150580 PORTEL";4
"150600 PRAINHA";13
"150613 REDENCAO";301
"150616 RIO MARIA";30
"150618 RONDON DO PARA";1
"150619 RUROPOLIS";29
"150630 SALVATERRA";3
"150635 SANTA BARBARA DO PARA";6
"150650 SANTA IZABEL DO PARA";78
"150655 SANTA LUZIA DO PARA";10
"150658 SANTA MARIA DAS BARREIRAS";1
"150660 SANTA MARIA DO PARA";10
"150670 SANTANA DO ARAGUAIA";24
"150680 SANTAREM";186
"150700 SANTO ANTONIO DO TAUA";2
"150710 SAO CAETANO DE ODIVELAS";18
"150715 SAO DOMINGOS DO ARAGUAIA";4
"150720 SAO DOMINGOS DO CAPIM";468
"150730 SAO FELIX DO XINGU";3
"150740 SAO FRANCISCO DO PARA";84
"150746 SAO JOAO DA PONTA";13
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";99
"150770 SAO SEBASTIAO DA BOA VISTA";1
"150780 SENADOR JOSE PORFIRIO";1
"150795 TAILANDIA";3
"150796 TERRA ALTA";78
"150797 TERRA SANTA";2
"150800 TOME-ACU";1
"150805 TRAIRAO";8
"150810 TUCURUI";14
"150815 URUARA";6
"150820 VIGIA";19
"150830 VISEU";3
"150840 XINGUARA";1
"160010 AMAPA";5
"160015 PEDRA BRANCA DO AMAPARI";2
"160020 CALCOENE";31
"160021 CUTIAS";4
"160023 FERREIRA GOMES";4
"160027 LARANJAL DO JARI";114
"160030 MACAPA";298
"160040 MAZAGAO";247
"160050 OIAPOQUE";69
"160053 PORTO GRANDE";15
"160060 SANTANA";43
"160070 TARTARUGALZINHO";11
"170025 ABREULANDIA";1
"170030 AGUIARNOPOLIS";77
"170035 ALIANCA DO TOCANTINS";4
"170105 ANGICO";1
