DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";125
"110002 ARIQUEMES";113
"110003 CABIXI";27
"110004 CACOAL";54
"110005 CEREJEIRAS";17
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";86
"110008 COSTA MARQUES";10
"110009 ESPIGAO D'OESTE";86
"110010 GUAJARA-MIRIM";6
"110011 JARU";59
"110012 JI-PARANA";104
"110013 MACHADINHO D'OESTE";12
"110014 NOVA BRASILANDIA D'OESTE";20
"110015 OURO PRETO DO OESTE";15
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";148
"110025 PRESIDENTE MEDICI";60
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";181
"110029 SANTA LUZIA D'OESTE";11
"110030 VILHENA";1170
"110032 SAO MIGUEL DO GUAPORE";7
"110033 NOVA MAMORE";20
"110034 ALVORADA D'OESTE";6
"110037 ALTO ALEGRE DOS PARECIS";31
"110040 ALTO PARAISO";20
"110045 BURITIS";28
"110050 NOVO HORIZONTE DO OESTE";7
"110060 CACAULANDIA";9
"110070 CAMPO NOVO DE RONDONIA";7
"110080 CANDEIAS DO JAMARI";9
"110090 CASTANHEIRAS";22
"110092 CHUPINGUAIA";36
"110094 CUJUBIM";6
"110100 GOVERNADOR JORGE TEIXEIRA";3
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";4
"110130 MIRANTE DA SERRA";8
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";17
"110145 PARECIS";26
"110146 PIMENTEIRAS DO OESTE";13
"110147 PRIMAVERA DE RONDONIA";12
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";60
"110150 SERINGUEIRAS";21
"110155 TEIXEIROPOLIS";3
"110170 URUPA";6
"110175 VALE DO ANARI";39
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";18
"120005 ASSIS BRASIL";63
"120010 BRASILEIA";15
"120013 BUJARI";69
"120017 CAPIXABA";38
"120020 CRUZEIRO DO SUL";2772
"120025 EPITACIOLANDIA";74
"120030 FEIJO";586
"120032 JORDAO";4
"120033 MANCIO LIMA";70
"120034 MANOEL URBANO";61
"120035 MARECHAL THAUMATURGO";140
"120038 PLACIDO DE CASTRO";29
"120039 PORTO WALTER";260
"120040 RIO BRANCO";3341
"120042 RODRIGUES ALVES";235
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";40
"120050 SENA MADUREIRA";148
"120060 TARAUACA";265
"120070 XAPURI";49
"120080 PORTO ACRE";73
"130002 ALVARAES";13
"130008 ANAMA";1
"130014 APUI";2
"130020 ATALAIA DO NORTE";681
"130030 AUTAZES";3
"130040 BARCELOS";28
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";277
"130063 BERURI";3
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";18
"130080 BORBA";13
"130083 CAAPIRANGA";2
"130090 CANUTAMA";24
"130100 CARAUARI";9
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";1
"130120 COARI";58
"130130 CODAJAS";38
"130140 EIRUNEPE";337
"130150 ENVIRA";291
"130160 FONTE BOA";6
"130165 GUAJARA";240
"130170 HUMAITA";10
"130180 IPIXUNA";309
"130185 IRANDUBA";19
"130190 ITACOATIARA";44
"130210 JAPURA";42
"130220 JURUA";4
"130230 JUTAI";294
"130240 LABREA";55
"130250 MANACAPURU";32
"130255 MANAQUIRI";2
"130260 MANAUS";826
"130270 MANICORE";18
"130280 MARAA";25
"130290 MAUES";29
"130320 NOVO AIRAO";43
"130330 NOVO ARIPUANA";4
"130340 PARINTINS";7
"130353 PRESIDENTE FIGUEIREDO";74
"130356 RIO PRETO DA EVA";7
"130360 SANTA ISABEL DO RIO NEGRO";8
"130370 SANTO ANTONIO DO ICA";13
"130380 SAO GABRIEL DA CACHOEIRA";10
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";93
"130410 TAPAUA";13
"130420 TEFE";45
"130423 TONANTINS";24
"130430 URUCARA";2
"140002 AMAJARI";2
"140005 ALTO ALEGRE";2
"140010 BOA VISTA";161
"140015 BONFIM";4
"140017 CANTA";4
"140020 CARACARAI";33
"140023 CAROEBE";1
"140028 IRACEMA";7
"140030 MUCAJAI";3
"140040 NORMANDIA";4
"140045 PACARAIMA";48
"140047 RORAINOPOLIS";11
"140050 SAO JOAO DA BALIZA";8
"140060 SAO LUIZ";6
"140070 UIRAMUTA";3
"150010 ABAETETUBA";82
"150013 ABEL FIGUEIREDO";10
"150020 ACARA";34
"150030 AFUA";120
"150034 AGUA AZUL DO NORTE";5
"150040 ALENQUER";8
"150050 ALMEIRIM";5
"150060 ALTAMIRA";546
"150070 ANAJAS";33
"150080 ANANINDEUA";168
"150085 ANAPU";153
"150090 AUGUSTO CORREA";270
"150095 AURORA DO PARA";22
"150100 AVEIRO";35
"150110 BAGRE";2
"150120 BAIAO";23
"150125 BANNACH";10
"150130 BARCARENA";175
"150140 BELEM";730
"150145 BELTERRA";25
"150150 BENEVIDES";106
"150157 BOM JESUS DO TOCANTINS";24
"150160 BONITO";1
