DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2020
"Município de residência";"Casos_Prováveis"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";9
"110002 ARIQUEMES";157
"110003 CABIXI";12
"110004 CACOAL";94
"110005 CEREJEIRAS";158
"110006 COLORADO DO OESTE";70
"110007 CORUMBIARA";40
"110008 COSTA MARQUES";31
"110009 ESPIGAO D'OESTE";125
"110010 GUAJARA-MIRIM";33
"110011 JARU";119
"110012 JI-PARANA";12
"110013 MACHADINHO D'OESTE";41
"110014 NOVA BRASILANDIA D'OESTE";238
"110015 OURO PRETO DO OESTE";11
"110018 PIMENTA BUENO";44
"110020 PORTO VELHO";304
"110025 PRESIDENTE MEDICI";20
"110026 RIO CRESPO";17
"110028 ROLIM DE MOURA";162
"110029 SANTA LUZIA D'OESTE";30
"110030 VILHENA";1134
"110032 SAO MIGUEL DO GUAPORE";94
"110033 NOVA MAMORE";230
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";84
"110040 ALTO PARAISO";15
"110045 BURITIS";191
"110050 NOVO HORIZONTE DO OESTE";4
"110060 CACAULANDIA";23
"110070 CAMPO NOVO DE RONDONIA";16
"110092 CHUPINGUAIA";9
"110094 CUJUBIM";2
"110100 GOVERNADOR JORGE TEIXEIRA";8
"110110 ITAPUA DO OESTE";116
"110120 MINISTRO ANDREAZZA";6
"110130 MIRANTE DA SERRA";2
"110140 MONTE NEGRO";20
"110143 NOVA UNIAO";2
"110145 PARECIS";51
"110146 PIMENTEIRAS DO OESTE";20
"110147 PRIMAVERA DE RONDONIA";91
"110148 SAO FELIPE D'OESTE";23
"110149 SAO FRANCISCO DO GUAPORE";54
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";15
"110170 URUPA";1
"110175 VALE DO ANARI";39
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";36
"120005 ASSIS BRASIL";200
"120010 BRASILEIA";367
"120013 BUJARI";20
"120017 CAPIXABA";15
"120020 CRUZEIRO DO SUL";2893
"120025 EPITACIOLANDIA";443
"120030 FEIJO";53
"120033 MANCIO LIMA";163
"120034 MANOEL URBANO";8
"120035 MARECHAL THAUMATURGO";601
"120038 PLACIDO DE CASTRO";13
"120039 PORTO WALTER";30
"120040 RIO BRANCO";1323
"120042 RODRIGUES ALVES";394
"120045 SENADOR GUIOMARD";37
"120050 SENA MADUREIRA";73
"120060 TARAUACA";864
"120070 XAPURI";259
"120080 PORTO ACRE";152
"130002 ALVARAES";1
"130006 AMATURA";1
"130010 ANORI";1
"130020 ATALAIA DO NORTE";9
"130040 BARCELOS";45
"130060 BENJAMIN CONSTANT";709
"130063 BERURI";1
"130070 BOCA DO ACRE";657
"130080 BORBA";16
"130090 CANUTAMA";6
"130100 CARAUARI";378
"130110 CAREIRO";5
"130115 CAREIRO DA VARZEA";1
"130120 COARI";9
"130130 CODAJAS";7
"130140 EIRUNEPE";283
"130150 ENVIRA";24
"130160 FONTE BOA";1
"130165 GUAJARA";431
"130170 HUMAITA";148
"130180 IPIXUNA";32
"130185 IRANDUBA";12
"130190 ITACOATIARA";19
"130210 JAPURA";1
"130220 JURUA";1
"130230 JUTAI";509
"130240 LABREA";594
"130250 MANACAPURU";14
"130255 MANAQUIRI";1
"130260 MANAUS";954
"130270 MANICORE";17
"130330 NOVO ARIPUANA";13
"130340 PARINTINS";30
"130350 PAUINI";3
"130353 PRESIDENTE FIGUEIREDO";93
"130356 RIO PRETO DA EVA";4
"130360 SANTA ISABEL DO RIO NEGRO";42
