DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2018
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";4
"110002 ARIQUEMES";11
"110003 CABIXI";4
"110004 CACOAL";21
"110005 CEREJEIRAS";10
"110006 COLORADO DO OESTE";17
"110007 CORUMBIARA";1
"110009 ESPIGAO D'OESTE";39
"110010 GUAJARA-MIRIM";48
"110011 JARU";1
"110012 JI-PARANA";31
"110013 MACHADINHO D'OESTE";7
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";5
"110020 PORTO VELHO";105
"110025 PRESIDENTE MEDICI";13
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";15
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";12
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";4
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";5
"110045 BURITIS";103
"110070 CAMPO NOVO DE RONDONIA";7
"110080 CANDEIAS DO JAMARI";8
"110094 CUJUBIM";3
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";2
"110140 MONTE NEGRO";6
"110143 NOVA UNIAO";2
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";5
"110147 PRIMAVERA DE RONDONIA";3
"110148 SAO FELIPE D'OESTE";6
"110149 SAO FRANCISCO DO GUAPORE";4
"110150 SERINGUEIRAS";6
"110155 TEIXEIROPOLIS";1
"110170 URUPA";1
"110175 VALE DO ANARI";3
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";65
"120005 ASSIS BRASIL";5
"120010 BRASILEIA";60
"120013 BUJARI";104
"120017 CAPIXABA";49
"120020 CRUZEIRO DO SUL";1033
"120025 EPITACIOLANDIA";127
"120030 FEIJO";1219
"120033 MANCIO LIMA";601
"120034 MANOEL URBANO";192
"120035 MARECHAL THAUMATURGO";3
"120038 PLACIDO DE CASTRO";474
"120039 PORTO WALTER";8
