DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2017
"Município de residência";"Casos_Prováveis"
" MUNICIPIO IGNORADO - RO";2
"110001 ALTA FLORESTA D'OESTE";16
"110002 ARIQUEMES";61
"110003 CABIXI";5
"110004 CACOAL";25
"110005 CEREJEIRAS";254
"110006 COLORADO DO OESTE";15
"110007 CORUMBIARA";16
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";118
"110010 GUAJARA-MIRIM";98
"110011 JARU";141
"110012 JI-PARANA";76
"110013 MACHADINHO D'OESTE";127
"110014 NOVA BRASILANDIA D'OESTE";72
"110015 OURO PRETO DO OESTE";56
"110018 PIMENTA BUENO";45
"110020 PORTO VELHO";326
"110025 PRESIDENTE MEDICI";44
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";88
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";19
"110032 SAO MIGUEL DO GUAPORE";4
"110033 NOVA MAMORE";8
"110034 ALVORADA D'OESTE";8
"110037 ALTO ALEGRE DOS PARECIS";13
"110040 ALTO PARAISO";25
"110045 BURITIS";127
"110050 NOVO HORIZONTE DO OESTE";4
"110060 CACAULANDIA";52
"110070 CAMPO NOVO DE RONDONIA";31
"110080 CANDEIAS DO JAMARI";36
"110090 CASTANHEIRAS";4
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";58
"110100 GOVERNADOR JORGE TEIXEIRA";6
"110110 ITAPUA DO OESTE";10
"110120 MINISTRO ANDREAZZA";7
"110130 MIRANTE DA SERRA";7
"110140 MONTE NEGRO";30
"110143 NOVA UNIAO";9
"110145 PARECIS";15
"110146 PIMENTEIRAS DO OESTE";8
"110147 PRIMAVERA DE RONDONIA";1
"110148 SAO FELIPE D'OESTE";17
"110149 SAO FRANCISCO DO GUAPORE";9
"110150 SERINGUEIRAS";7
"110155 TEIXEIROPOLIS";3
"110160 THEOBROMA";5
"110170 URUPA";14
"110175 VALE DO ANARI";22
"110180 VALE DO PARAISO";45
"120001 ACRELANDIA";143
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";66
"120013 BUJARI";15
"120017 CAPIXABA";27
"120020 CRUZEIRO DO SUL";582
"120025 EPITACIOLANDIA";187
"120030 FEIJO";3
"120032 JORDAO";1
"120033 MANCIO LIMA";18
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";5
"120038 PLACIDO DE CASTRO";128
"120040 RIO BRANCO";374
"120042 RODRIGUES ALVES";43
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";8
"120050 SENA MADUREIRA";16
"120060 TARAUACA";4
"120070 XAPURI";198
"120080 PORTO ACRE";39
"130002 ALVARAES";7
"130010 ANORI";1
"130014 APUI";1
"130030 AUTAZES";2
"130040 BARCELOS";4
"130060 BENJAMIN CONSTANT";17
"130063 BERURI";13
"130068 BOA VISTA DO RAMOS";6
"130070 BOCA DO ACRE";17
"130080 BORBA";41
"130083 CAAPIRANGA";1
"130090 CANUTAMA";3
"130100 CARAUARI";36
"130115 CAREIRO DA VARZEA";1
"130120 COARI";248
"130130 CODAJAS";58
"130165 GUAJARA";80
"130170 HUMAITA";50
"130180 IPIXUNA";5
"130185 IRANDUBA";27
"130190 ITACOATIARA";26
"130195 ITAMARATI";1
"130200 ITAPIRANGA";1
"130210 JAPURA";2
"130230 JUTAI";1
"130240 LABREA";15
"130250 MANACAPURU";16
"130260 MANAUS";2516
"130270 MANICORE";1
"130280 MARAA";3
"130290 MAUES";46
"130310 NOVA OLINDA DO NORTE";10
"130320 NOVO AIRAO";13
"130330 NOVO ARIPUANA";36
"130340 PARINTINS";24
"130350 PAUINI";2
"130353 PRESIDENTE FIGUEIREDO";1
"130356 RIO PRETO DA EVA";1
"130380 SAO GABRIEL DA CACHOEIRA";71
"130406 TABATINGA";109
"130410 TAPAUA";100
"130420 TEFE";306
"130440 URUCURITUBA";3
"140002 AMAJARI";4
"140005 ALTO ALEGRE";2
"140010 BOA VISTA";197
"140015 BONFIM";10
"140017 CANTA";5
"140020 CARACARAI";15
"140023 CAROEBE";1
"140028 IRACEMA";5
"140030 MUCAJAI";12
"140045 PACARAIMA";1
"140047 RORAINOPOLIS";8
"140050 SAO JOAO DA BALIZA";23
"140060 SAO LUIZ";4
"140070 UIRAMUTA";1
"150010 ABAETETUBA";165
"150013 ABEL FIGUEIREDO";7
"150020 ACARA";3
"150030 AFUA";9
"150034 AGUA AZUL DO NORTE";176
"150040 ALENQUER";43
"150050 ALMEIRIM";7
"150060 ALTAMIRA";52
"150070 ANAJAS";3
"150080 ANANINDEUA";74
"150085 ANAPU";590
"150090 AUGUSTO CORREA";5
"150095 AURORA DO PARA";6
"150100 AVEIRO";1
"150110 BAGRE";1
"150120 BAIAO";2
"150125 BANNACH";13
"150130 BARCARENA";37
"150140 BELEM";253
"150145 BELTERRA";10
"150150 BENEVIDES";2
"150157 BOM JESUS DO TOCANTINS";1
"150160 BONITO";4
"150170 BRAGANCA";33
"150172 BRASIL NOVO";8
"150175 BREJO GRANDE DO ARAGUAIA";3
"150178 BREU BRANCO";343
"150180 BREVES";6
"150190 BUJARU";1
"150195 CACHOEIRA DO PIRIA";23
"150210 CAMETA";12
"150215 CANAA DOS CARAJAS";31
"150220 CAPANEMA";19
"150230 CAPITAO POCO";147
"150240 CASTANHAL";57
"150250 CHAVES";3
"150260 COLARES";3
"150270 CONCEICAO DO ARAGUAIA";140
"150275 CONCORDIA DO PARA";3
"150276 CUMARU DO NORTE";15
"150277 CURIONOPOLIS";2
"150280 CURRALINHO";3
"150285 CURUA";1
"150290 CURUCA";5
"150293 DOM ELISEU";7
"150295 ELDORADO DOS CARAJAS";2
"150304 FLORESTA DO ARAGUAIA";8
"150307 GARRAFAO DO NORTE";5
"150309 GOIANESIA DO PARA";142
"150310 GURUPA";5
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";2
"150340 INHANGAPI";4
"150345 IPIXUNA DO PARA";9
"150350 IRITUIA";6
"150360 ITAITUBA";48
"150370 ITUPIRANGA";13
"150375 JACAREACANGA";1
"150380 JACUNDA";99
"150390 JURUTI";19
