DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2025
"Município de residência";"Casos_Prováveis"
"110006 COLORADO DO OESTE";1
"120020 CRUZEIRO DO SUL";1
"120040 RIO BRANCO";1
"120060 TARAUACA";1
"130230 JUTAI";1
"140010 BOA VISTA";2
"150140 BELEM";2
"150210 CAMETA";1
"150270 CONCEICAO DO ARAGUAIA";2
"150304 FLORESTA DO ARAGUAIA";1
"150360 ITAITUBA";3
"150420 MARABA";1
"150503 NOVO PROGRESSO";2
"150506 NOVO REPARTIMENTO";1
"150548 PACAJA";1
"150553 PARAUAPEBAS";1
"150580 PORTEL";1
"150613 REDENCAO";4
"150670 SANTANA DO ARAGUAIA";1
"150770 SAO SEBASTIAO DA BOA VISTA";1
"150800 TOME-ACU";2
"160040 MAZAGAO";2
"160060 SANTANA";1
"170210 ARAGUAINA";1
"211130 SAO LUIS";1
"220120 BARRAS";4
"220670 NAZARE DO PIAUI";2
"221100 TERESINA";1
"251394 SAO DOMINGOS DO CARIRI";1
"260600 GARANHUNS";1
"261070 PAULISTA";1
"261120 POCAO";1
"261380 SAO VICENTE FERRER";1
"261480 TACARATU";1
"270550 MURICI";1
"280460 NOSSA SENHORA DAS DORES";1
"280690 SAO FRANCISCO";1
"290680 CANSANCAO";1
"291080 FEIRA DE SANTANA";1
"291350 IGUAI";1
"291360 ILHEUS";1
"291730 ITUBERA";1
"292050 MARACAS";1
"292100 MATA DE SAO JOAO";1
"292680 RIO DO ANTONIO";1
"292740 SALVADOR";1
"293020 SENTO SE";1
"293135 TEIXEIRA DE FREITAS";1
"310150 ALEM PARAIBA";1
"310200 ALTEROSA";1
"310430 AREADO";1
"310760 BOM JESUS DA PENHA";1
"311430 CARMO DO PARANAIBA";1
"311730 CONCEICAO DAS ALAGOAS";1
"312710 FRUTAL";4
"312870 GUAXUPE";2
"313340 ITAPAGIPE";2
"313420 ITUIUTABA";1
"313440 ITURAMA";3
"313620 JOAO MONLEVADE";1
"313670 JUIZ DE FORA";1
