DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2019
"Município de residência";"Casos_Prováveis"
"120020 CRUZEIRO DO SUL";2
"120038 PLACIDO DE CASTRO";1
"120040 RIO BRANCO";1
"140010 BOA VISTA";1
"160030 MACAPA";1
"170210 ARAGUAINA";1
"170550 COLINAS DO TOCANTINS";1
"170950 GURUPI";1
"171050 ITACAJA";1
"171320 MIRACEMA DO TOCANTINS";1
"171610 PARAISO DO TOCANTINS";1
"171650 PEDRO AFONSO";1
"171820 PORTO NACIONAL";1
"172100 PALMAS";2
"172110 TOCANTINIA";1
"210350 COLINAS";1
"210530 IMPERATRIZ";1
"210596 LAGOA GRANDE DO MARANHAO";1
"210750 PACO DO LUMIAR";1
"211130 SAO LUIS";1
"221100 TERESINA";3
"230350 CASCAVEL";1
"230427 ERERE";1
"230440 FORTALEZA";4
"230550 IGUATU";2
"230670 JAGUARETAMA";1
"230760 LIMOEIRO DO NORTE";1
"230770 MARANGUAPE";1
"231000 PALHANO";1
"231040 PARAMOTI";1
"240050 ALEXANDRIA";1
"240260 CEARA-MIRIM";1
"240325 PARNAMIRIM";1
"240530 JANUARIO CICCO";1
"240780 MONTE ALEGRE";1
"240800 MOSSORO";1
"240810 NATAL";2
"240910 PASSA E FICA";1
"240940 PAU DOS FERROS";1
"241105 TIBAU";1
"241120 SANTA CRUZ";1
"241290 SAO TOME";1
"241300 SAO VICENTE";1
"250100 ARARUNA";1
"250180 BAYEUX";1
"250330 CACHOEIRA DOS INDIOS";1
"250460 CONDE";1
"250750 JOAO PESSOA";2
"251370 SANTA RITA";1
"251600 SOLANEA";1
"251610 SOLEDADE";1
"260210 BOM CONSELHO";1
"260280 BUIQUE";1
"260400 CARPINA";1
"260500 CUPIRA";1
"260600 GARANHUNS";1
"260790 JABOATAO DOS GUARARAPES";1
"261070 PAULISTA";1
"261110 PETROLINA";1
"261160 RECIFE";3
"270280 FLEXEIRAS";1
"270450 MARAGOGI";2
"270510 MATRIZ DE CAMARAGIBE";1
"270630 PALMEIRA DOS INDIOS";1
"270770 RIO LARGO";1
"270800 SANTANA DO IPANEMA";1
"280030 ARACAJU";4
"280220 FEIRA NOVA";1
"280360 LARANJEIRAS";1
"280420 MONTE ALEGRE DE SERGIPE";1
"280440 NEOPOLIS";1
"280450 NOSSA SENHORA DA GLORIA";2
"280460 NOSSA SENHORA DAS DORES";1
"280470 NOSSA SENHORA DE LOURDES";1
"280590 RIACHUELO";1
"290530 CAFARNAUM";1
"290570 CAMACARI";1
"290650 CANDEIAS";2
"290660 CANDIBA";1
"290960 CRISOPOLIS";1
"291070 EUCLIDES DA CUNHA";2
"291080 FEIRA DE SANTANA";13
"292205 MULUNGU DO MORRO";1
"292230 MURITIBA";1
"292400 PAULO AFONSO";2
"292560 PRESIDENTE DUTRA";1
"292595 RAFAEL JAMBEIRO";2
"292600 REMANSO";1
"292740 SALVADOR";5
"292770 SANTA CRUZ CABRALIA";1
"292870 SANTO ANTONIO DE JESUS";1
"292975 SAUBARA";1
"293070 SIMOES FILHO";2
"293100 TANHACU";1
"310350 ARAGUARI";4
"310420 ARCOS";2
"310620 BELO HORIZONTE";41
"310670 BETIM";16
"311160 CAMPOS GERAIS";1
"311420 CARMO DO CAJURU";1
"311455 CARNEIRINHO";1
"311830 CONSELHEIRO LAFAIETE";1
"311860 CONTAGEM";9
"312090 CURVELO";1
"312230 DIVINOPOLIS";4
"312480 ESTRELA DO SUL";1
"312570 FELIXLANDIA";1
"312710 FRUTAL";2
"312830 GUARANESIA";1
"312840 GUARANI";1
"312950 IBIA";1
"312980 IBIRITE";2
"313420 ITUIUTABA";1
"313460 JABOTICATUBAS";1
"313620 JOAO MONLEVADE";1
"313630 JOAO PINHEIRO";6
"313670 JUIZ DE FORA";15
"313720 LAGOA DA PRATA";2
"313880 LUZ";1
"314015 MARIO CAMPOS";1
"314050 MARTINHO CAMPOS";2
"314310 MONTE CARMELO";1
"314500 NOVA PONTE";1
"314520 NOVA SERRANA";2
"314700 PARACATU";1
"314710 PARA DE MINAS";1
"314790 PASSOS";3
"314800 PATOS DE MINAS";6
"314810 PATROCINIO";4
"315140 PITANGUI";1
"315200 POMPEU";1
"315460 RIBEIRAO DAS NEVES";2
"315540 RIO NOVO";2
"315550 RIO PARANAIBA";1
"315690 SACRAMENTO";1
"315780 SANTA LUZIA";1
"316180 SAO GONCALO DO PARA";2
"316210 SAO GOTARDO";2
"316295 SAO JOSE DA LAPA";1
"316720 SETE LAGOAS";1
"316900 TOCANTINS";1
"316940 TRES PONTAS";1
"316960 TUPACIGUARA";1
"317010 UBERABA";2
"317020 UBERLANDIA";20
"317040 UNAI";3
"317090 VARZELANDIA";2
"317100 VAZANTE";2
"320010 AFONSO CLAUDIO";1
"320060 ARACRUZ";1
"320090 BARRA DE SAO FRANCISCO";1
"320130 CARIACICA";1
"320320 LINHARES";4
"320332 MARATAIZES";1
"320350 MONTANHA";1
"320380 MUQUI";1
"320390 NOVA VENECIA";1
"320425 PONTO BELO";1
"320490 SAO MATEUS";2
"320500 SERRA";10
"320520 VILA VELHA";5
"320530 VITORIA";6
"330010 ANGRA DOS REIS";1
"330430 RIO BONITO";1
"350010 ADAMANTINA";3
"350070 AGUDOS";3
"350160 AMERICANA";4
"350170 AMERICO BRASILIENSE";2
"350210 ANDRADINA";3
"350280 ARACATUBA";1
"350320 ARARAQUARA";6
"350460 BADY BASSITT";4
"350480 BALSAMO";1
"350550 BARRETOS";6
"350580 BASTOS";1
"350590 BATATAIS";2
"350600 BAURU";42
"350610 BEBEDOURO";1
"350650 BIRIGUI";8
"350780 BRODOWSKI";1
"350850 CACAPAVA";1
"350950 CAMPINAS";6
"351050 CARAGUATATUBA";3
"351060 CARAPICUIBA";1
"351110 CATANDUVA";7
"351495 EMBAUBA";1
"351515 ENGENHEIRO COELHO";1
"351550 FERNANDOPOLIS";2
"351620 FRANCA";1
"351630 FRANCISCO MORATO";1
"351700 GETULINA";1
"351720 GUAICARA";1
"351750 GUAPIACU";1
"351780 GUARACAI";2
"351820 GUARARAPES";2
"351870 GUARUJA";1
"351880 GUARULHOS";1
"351907 HORTOLANDIA";2
"351930 IBATE";1
"351940 IBIRA";1
"351950 IBIRAREMA";1
"352044 ILHA SOLTEIRA";1
"352115 IPIGUA";1
"352130 IPUA";2
"352210 ITANHAEM";1
"352270 ITAPOLIS";1
"352340 ITATIBA";1
"352360 ITIRAPINA";1
"352410 ITUVERAVA";2
"352420 JABORANDI";1
"352570 JOSE BONIFACIO";5
"352590 JUNDIAI";1
"352670 LEME";1
"352880 MARACAI";1
"352900 MARILIA";4
"352940 MAUA";2
"353010 MIRANDOPOLIS";2
"353070 MOGI GUACU";2
"353080 MOGI MIRIM";2
"353130 MONTE ALTO";1
"353140 MONTE APRAZIVEL";1
"353190 MORRO AGUDO";3
"353280 NOVA ALIANCA";1
"353290 NOVA EUROPA";1
"353340 NOVA ODESSA";1
"353390 OLIMPIA";5
"353410 ORIENTE";1
"353460 OSVALDO CRUZ";1
"353470 OURINHOS";1
"353650 PAULINIA";1
"353670 PEDERNEIRAS";1
"353730 PENAPOLIS";8
"353810 PINDORAMA";1
"353870 PIRACICABA";3
"353890 PIRAJUI";1
"353940 PIRATININGA";2
"353990 POLONI";1
"354100 PRAIA GRANDE";3
"354140 PRESIDENTE PRUDENTE";3
