Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2019
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";9
"110002 ARIQUEMES";19
"110003 CABIXI";3
"110004 CACOAL";58
"110005 CEREJEIRAS";20
"110007 CORUMBIARA";2
"110009 ESPIGAO D'OESTE";1
"110010 GUAJARA-MIRIM";3
"110011 JARU";2
"110012 JI-PARANA";21
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";13
"110015 OURO PRETO DO OESTE";18
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";209
"110025 PRESIDENTE MEDICI";38
"110028 ROLIM DE MOURA";10
"110030 VILHENA";53
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";5
"110037 ALTO ALEGRE DOS PARECIS";20
"110040 ALTO PARAISO";4
"110045 BURITIS";1
"110050 NOVO HORIZONTE DO OESTE";2
"110080 CANDEIAS DO JAMARI";14
"110110 ITAPUA DO OESTE";2
"110130 MIRANTE DA SERRA";5
"110143 NOVA UNIAO";1
"110146 PIMENTEIRAS DO OESTE";25
"110147 PRIMAVERA DE RONDONIA";6
"110148 SAO FELIPE D'OESTE";1
"110180 VALE DO PARAISO";3
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";4
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";7
"120025 EPITACIOLANDIA";5
"120030 FEIJO";1
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";1
"120040 RIO BRANCO";87
"120045 SENADOR GUIOMARD";2
"120060 TARAUACA";32
"120070 XAPURI";4
"120080 PORTO ACRE";1
"130030 AUTAZES";1
"130050 BARREIRINHA";1
"130070 BOCA DO ACRE";8
"130080 BORBA";14
"130090 CANUTAMA";2
"130100 CARAUARI";1
"130120 COARI";4
"130170 HUMAITA";1
"130185 IRANDUBA";2
"130190 ITACOATIARA";1
"130260 MANAUS";136
"130290 MAUES";1
"130320 NOVO AIRAO";12
"130340 PARINTINS";1
"130353 PRESIDENTE FIGUEIREDO";19
"130380 SAO GABRIEL DA CACHOEIRA";3
"130406 TABATINGA";1
"130420 TEFE";2
"140002 AMAJARI";2
"140005 ALTO ALEGRE";19
"140010 BOA VISTA";219
"140015 BONFIM";67
"140017 CANTA";11
"140020 CARACARAI";15
"140023 CAROEBE";8
"140028 IRACEMA";7
"140030 MUCAJAI";112
"140040 NORMANDIA";8
"140045 PACARAIMA";1
"140047 RORAINOPOLIS";6
"140050 SAO JOAO DA BALIZA";28
"140060 SAO LUIZ";7
"140070 UIRAMUTA";1
"150010 ABAETETUBA";86
"150020 ACARA";10
"150030 AFUA";1
"150034 AGUA AZUL DO NORTE";2
"150040 ALENQUER";5
"150060 ALTAMIRA";74
"150070 ANAJAS";2
"150080 ANANINDEUA";503
"150085 ANAPU";4
"150090 AUGUSTO CORREA";9
"150095 AURORA DO PARA";2
"150120 BAIAO";1
"150130 BARCARENA";65
"150140 BELEM";2046
"150145 BELTERRA";2
"150150 BENEVIDES";59
"150160 BONITO";6
"150170 BRAGANCA";110
"150172 BRASIL NOVO";2
"150178 BREU BRANCO";4
"150180 BREVES";10
"150190 BUJARU";6
"150195 CACHOEIRA DO PIRIA";1
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";43
"150215 CANAA DOS CARAJAS";11
"150220 CAPANEMA";622
"150230 CAPITAO POCO";7
"150240 CASTANHAL";214
"150250 CHAVES";5
"150270 CONCEICAO DO ARAGUAIA";23
"150280 CURRALINHO";4
"150285 CURUA";1
"150290 CURUCA";8
"150293 DOM ELISEU";37
"150295 ELDORADO DOS CARAJAS";2
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";1
"150320 IGARAPE-ACU";36
"150330 IGARAPE-MIRI";15
"150340 INHANGAPI";1
"150345 IPIXUNA DO PARA";19
"150350 IRITUIA";5
"150360 ITAITUBA";7
"150370 ITUPIRANGA";17
"150380 JACUNDA";6
"150390 JURUTI";7
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";133
"150410 MAGALHAES BARATA";27
"150420 MARABA";8
"150430 MARACANA";134
"150440 MARAPANIM";125
"150442 MARITUBA";513
"150460 MOCAJUBA";24
"150470 MOJU";60
"150475 MOJUI DOS CAMPOS";1
"150480 MONTE ALEGRE";2
"150490 MUANA";6
"150497 NOVA IPIXUNA";3
"150500 NOVA TIMBOTEUA";2
"150503 NOVO PROGRESSO";11
"150506 NOVO REPARTIMENTO";9
"150510 OBIDOS";2
"150520 OEIRAS DO PARA";1
"150548 PACAJA";3
"150549 PALESTINA DO PARA";2
"150550 PARAGOMINAS";105
"150553 PARAUAPEBAS";444
"150560 PEIXE-BOI";1
"150563 PICARRA";2
"150570 PONTA DE PEDRAS";2
"150580 PORTEL";1
"150610 PRIMAVERA";2
"150613 REDENCAO";14
"150616 RIO MARIA";1
"150618 RONDON DO PARA";1
"150619 RUROPOLIS";4
"150620 SALINOPOLIS";33
"150630 SALVATERRA";6
"150635 SANTA BARBARA DO PARA";18
"150650 SANTA IZABEL DO PARA";121
"150655 SANTA LUZIA DO PARA";8
"150660 SANTA MARIA DO PARA";4
"150670 SANTANA DO ARAGUAIA";5
"150680 SANTAREM";107
"150690 SANTAREM NOVO";1
"150700 SANTO ANTONIO DO TAUA";5
"150710 SAO CAETANO DE ODIVELAS";6
"150715 SAO DOMINGOS DO ARAGUAIA";1
"150720 SAO DOMINGOS DO CAPIM";41
"150740 SAO FRANCISCO DO PARA";17
"150747 SAO JOAO DE PIRABAS";20
"150760 SAO MIGUEL DO GUAMA";10
"150770 SAO SEBASTIAO DA BOA VISTA";3
"150780 SENADOR JOSE PORFIRIO";4
"150790 SOURE";3
"150795 TAILANDIA";2
