 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Ago/2009
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";190
"110002 ARIQUEMES";415
"110003 CABIXI";32
"110004 CACOAL";447
"110005 CEREJEIRAS";150
"110006 COLORADO DO OESTE";130
"110008 COSTA MARQUES";39
"110009 ESPIGAO D'OESTE";155
"110010 GUAJARA-MIRIM";261
"110011 JARU";287
"110012 JI-PARANA";912
"110013 MACHADINHO D'OESTE";117
"110014 NOVA BRASILANDIA D'OESTE";139
"110015 OURO PRETO DO OESTE";226
"110018 PIMENTA BUENO";235
"110020 PORTO VELHO";1933
"110025 PRESIDENTE MEDICI";108
"110028 ROLIM DE MOURA";425
"110030 VILHENA";520
"110032 SAO MIGUEL DO GUAPORE";93
"110033 NOVA MAMORE";63
"110034 ALVORADA D'OESTE";99
"110037 ALTO ALEGRE DOS PARECIS";75
"110040 ALTO PARAISO";26
"110050 NOVO HORIZONTE DO OESTE";45
"110060 CACAULANDIA";27
"110070 CAMPO NOVO DE RONDONIA";70
"110100 GOVERNADOR JORGE TEIXEIRA";38
"110120 MINISTRO ANDREAZZA";41
"110130 MIRANTE DA SERRA";103
"110140 MONTE NEGRO";259
"110143 NOVA UNIAO";40
"110149 SAO FRANCISCO DO GUAPORE";94
"110150 SERINGUEIRAS";94
"110155 TEIXEIROPOLIS";17
"110160 THEOBROMA";26
"110170 URUPA";16
"110175 VALE DO ANARI";19
"110180 VALE DO PARAISO";20
"120005 ASSIS BRASIL";25
"120010 BRASILEIA";203
"120020 CRUZEIRO DO SUL";986
"120030 FEIJO";89
"120033 MANCIO LIMA";26
"120034 MANOEL URBANO";52
"120038 PLACIDO DE CASTRO";31
"120040 RIO BRANCO";2321
"120042 RODRIGUES ALVES";56
"120043 SANTA ROSA DO PURUS";52
"120045 SENADOR GUIOMARD";73
"120050 SENA MADUREIRA";244
"120060 TARAUACA";151
"120070 XAPURI";70
"130006 AMATURA";25
"130008 ANAMA";33
"130010 ANORI";45
"130014 APUI";83
"130030 AUTAZES";19
"130040 BARCELOS";59
"130050 BARREIRINHA";42
"130060 BENJAMIN CONSTANT";111
"130070 BOCA DO ACRE";94
"130080 BORBA";212
"130083 CAAPIRANGA";35
"130090 CANUTAMA";78
"130100 CARAUARI";113
"130110 CAREIRO";58
"130120 COARI";310
"130130 CODAJAS";89
"130140 EIRUNEPE";120
"130150 ENVIRA";36
"130160 FONTE BOA";167
"130165 GUAJARA";40
"130170 HUMAITA";139
"130180 IPIXUNA";64
"130185 IRANDUBA";137
"130190 ITACOATIARA";433
"130200 ITAPIRANGA";25
"130220 JURUA";48
"130230 JUTAI";61
"130240 LABREA";88
"130250 MANACAPURU";365
"130255 MANAQUIRI";25
"130260 MANAUS";8042
"130270 MANICORE";175
"130280 MARAA";86
"130290 MAUES";176
"130300 NHAMUNDA";37
"130310 NOVA OLINDA DO NORTE";120
"130320 NOVO AIRAO";18
"130330 NOVO ARIPUANA";26
"130340 PARINTINS";411
"130350 PAUINI";12
"130353 PRESIDENTE FIGUEIREDO";109
"130356 RIO PRETO DA EVA";18
"130370 SANTO ANTONIO DO ICA";65
"130380 SAO GABRIEL DA CACHOEIRA";92
"130390 SAO PAULO DE OLIVENCA";98
"130395 SAO SEBASTIAO DO UATUMA";25
"130400 SILVES";27
"130406 TABATINGA";156
"130410 TAPAUA";57
"130420 TEFE";302
"130423 TONANTINS";81
"130426 UARINI";49
"130430 URUCARA";50
"140005 ALTO ALEGRE";39
"140010 BOA VISTA";2693
"140015 BONFIM";19
"140020 CARACARAI";19
"140023 CAROEBE";21
"140030 MUCAJAI";29
"140040 NORMANDIA";61
"140045 PACARAIMA";51
"140047 RORAINOPOLIS";46
"140050 SAO JOAO DA BALIZA";33
"140060 SAO LUIZ";13
"150010 ABAETETUBA";968
"150013 ABEL FIGUEIREDO";42
"150020 ACARA";171
"150030 AFUA";61
"150034 AGUA AZUL DO NORTE";166
"150040 ALENQUER";507
"150050 ALMEIRIM";249
"150060 ALTAMIRA";1202
"150070 ANAJAS";112
"150080 ANANINDEUA";2962
"150085 ANAPU";145
"150090 AUGUSTO CORREA";208
"150095 AURORA DO PARA";118
"150120 BAIAO";145
"150125 BANNACH";39
"150130 BARCARENA";417
"150140 BELEM";10347
"150145 BELTERRA";83
"150150 BENEVIDES";280
"150157 BOM JESUS DO TOCANTINS";104
"150170 BRAGANCA";1499
"150172 BRASIL NOVO";248
"150175 BREJO GRANDE DO ARAGUAIA";33
"150178 BREU BRANCO";93
"150180 BREVES";498
"150190 BUJARU";280
"150200 CACHOEIRA DO ARARI";88
"150210 CAMETA";606
"150215 CANAA DOS CARAJAS";211
"150220 CAPANEMA";905
"150230 CAPITAO POCO";471
"150240 CASTANHAL";1344
"150270 CONCEICAO DO ARAGUAIA";397
"150276 CUMARU DO NORTE";34
"150277 CURIONOPOLIS";140
"150280 CURRALINHO";134
"150290 CURUCA";125
"150293 DOM ELISEU";433
"150295 ELDORADO DOS CARAJAS";338
"150304 FLORESTA DO ARAGUAIA";108
"150309 GOIANESIA DO PARA";224
"150310 GURUPA";146
"150320 IGARAPE-ACU";141
"150330 IGARAPE-MIRI";543
"150340 INHANGAPI";54
"150345 IPIXUNA DO PARA";229
"150350 IRITUIA";115
"150360 ITAITUBA";823
"150370 ITUPIRANGA";109
"150375 JACAREACANGA";62
"150380 JACUNDA";460
"150390 JURUTI";214
"150400 LIMOEIRO DO AJURU";191
"150405 MAE DO RIO";232
"150420 MARABA";1287
"150430 MARACANA";135
"150440 MARAPANIM";76
"150442 MARITUBA";546
"150445 MEDICILANDIA";137
"150460 MOCAJUBA";144
"150470 MOJU";264
"150480 MONTE ALEGRE";423
"150490 MUANA";112
