 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jun/2010
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";190
"110002 ARIQUEMES";521
"110003 CABIXI";30
"110004 CACOAL";424
"110005 CEREJEIRAS";107
"110006 COLORADO DO OESTE";147
"110009 ESPIGAO D'OESTE";103
"110010 GUAJARA-MIRIM";257
"110011 JARU";153
"110012 JI-PARANA";884
"110013 MACHADINHO D'OESTE";128
"110014 NOVA BRASILANDIA D'OESTE";129
"110015 OURO PRETO DO OESTE";296
"110018 PIMENTA BUENO";235
"110020 PORTO VELHO";2036
"110025 PRESIDENTE MEDICI";54
"110028 ROLIM DE MOURA";457
"110030 VILHENA";521
"110032 SAO MIGUEL DO GUAPORE";115
"110033 NOVA MAMORE";73
"110034 ALVORADA D'OESTE";75
"110037 ALTO ALEGRE DOS PARECIS";74
"110040 ALTO PARAISO";40
"110050 NOVO HORIZONTE DO OESTE";45
"110060 CACAULANDIA";27
"110070 CAMPO NOVO DE RONDONIA";87
"110100 GOVERNADOR JORGE TEIXEIRA";101
"110120 MINISTRO ANDREAZZA";41
"110130 MIRANTE DA SERRA";71
"110140 MONTE NEGRO";256
"110143 NOVA UNIAO";28
"110146 PIMENTEIRAS DO OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";99
"110150 SERINGUEIRAS";103
"110155 TEIXEIROPOLIS";14
"110160 THEOBROMA";12
"110170 URUPA";36
"110175 VALE DO ANARI";17
"110180 VALE DO PARAISO";16
"120001 ACRELANDIA";127
"120005 ASSIS BRASIL";33
"120010 BRASILEIA";124
"120020 CRUZEIRO DO SUL";906
"120030 FEIJO";96
"120032 JORDAO";9
"120033 MANCIO LIMA";117
"120034 MANOEL URBANO";63
"120038 PLACIDO DE CASTRO";100
"120040 RIO BRANCO";2011
"120042 RODRIGUES ALVES";16
"120043 SANTA ROSA DO PURUS";28
"120045 SENADOR GUIOMARD";45
"120050 SENA MADUREIRA";239
"120060 TARAUACA";164
"120070 XAPURI";65
"130006 AMATURA";34
"130008 ANAMA";64
"130010 ANORI";51
"130014 APUI";83
"130050 BARREIRINHA";69
"130060 BENJAMIN CONSTANT";105
"130063 BERURI";23
"130068 BOA VISTA DO RAMOS";39
"130070 BOCA DO ACRE";48
"130080 BORBA";97
"130083 CAAPIRANGA";15
"130090 CANUTAMA";40
"130100 CARAUARI";113
"130110 CAREIRO";28
"130120 COARI";251
"130130 CODAJAS";90
"130140 EIRUNEPE";234
"130160 FONTE BOA";166
"130165 GUAJARA";37
"130170 HUMAITA";140
"130180 IPIXUNA";71
"130185 IRANDUBA";145
"130190 ITACOATIARA";383
"130200 ITAPIRANGA";27
"130210 JAPURA";8
"130220 JURUA";4
"130240 LABREA";95
"130250 MANACAPURU";397
"130255 MANAQUIRI";34
"130260 MANAUS";9079
"130270 MANICORE";146
"130280 MARAA";86
"130290 MAUES";192
"130300 NHAMUNDA";37
"130310 NOVA OLINDA DO NORTE";108
"130320 NOVO AIRAO";34
"130330 NOVO ARIPUANA";90
"130340 PARINTINS";440
"130350 PAUINI";54
"130353 PRESIDENTE FIGUEIREDO";139
"130356 RIO PRETO DA EVA";22
"130370 SANTO ANTONIO DO ICA";32
"130380 SAO GABRIEL DA CACHOEIRA";105
"130390 SAO PAULO DE OLIVENCA";109
"130395 SAO SEBASTIAO DO UATUMA";33
"130400 SILVES";27
"130406 TABATINGA";146
"130420 TEFE";310
"130423 TONANTINS";72
"130430 URUCARA";9
"130440 URUCURITUBA";23
"140005 ALTO ALEGRE";30
"140010 BOA VISTA";2482
"140015 BONFIM";16
"140020 CARACARAI";49
"140023 CAROEBE";26
"140030 MUCAJAI";18
"140040 NORMANDIA";40
"140045 PACARAIMA";107
"140047 RORAINOPOLIS";71
"140050 SAO JOAO DA BALIZA";34
"140060 SAO LUIZ";39
"150010 ABAETETUBA";912
"150013 ABEL FIGUEIREDO";63
"150020 ACARA";126
"150030 AFUA";141
"150034 AGUA AZUL DO NORTE";163
"150040 ALENQUER";471
"150050 ALMEIRIM";190
"150060 ALTAMIRA";1269
"150070 ANAJAS";104
"150080 ANANINDEUA";3615
"150085 ANAPU";88
"150090 AUGUSTO CORREA";242
"150095 AURORA DO PARA";118
"150120 BAIAO";114
"150125 BANNACH";53
"150130 BARCARENA";321
"150140 BELEM";9018
"150145 BELTERRA";70
"150150 BENEVIDES";223
"150157 BOM JESUS DO TOCANTINS";102
"150170 BRAGANCA";1387
"150172 BRASIL NOVO";215
"150175 BREJO GRANDE DO ARAGUAIA";53
"150180 BREVES";394
"150190 BUJARU";177
"150200 CACHOEIRA DO ARARI";101
"150210 CAMETA";680
"150215 CANAA DOS CARAJAS";112
"150220 CAPANEMA";660
"150230 CAPITAO POCO";488
"150240 CASTANHAL";1359
"150270 CONCEICAO DO ARAGUAIA";393
"150275 CONCORDIA DO PARA";111
"150276 CUMARU DO NORTE";29
