 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Out/2012
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";184
"110002 ARIQUEMES";476
"110003 CABIXI";23
"110004 CACOAL";745
"110005 CEREJEIRAS";160
"110006 COLORADO DO OESTE";134
"110009 ESPIGAO D'OESTE";153
"110010 GUAJARA-MIRIM";251
"110011 JARU";208
"110012 JI-PARANA";657
"110013 MACHADINHO D'OESTE";79
"110014 NOVA BRASILANDIA D'OESTE";129
"110015 OURO PRETO DO OESTE";272
"110018 PIMENTA BUENO";150
"110020 PORTO VELHO";1895
"110025 PRESIDENTE MEDICI";70
"110028 ROLIM DE MOURA";457
"110029 SANTA LUZIA D'OESTE";52
"110030 VILHENA";565
"110032 SAO MIGUEL DO GUAPORE";113
"110033 NOVA MAMORE";91
"110034 ALVORADA D'OESTE";69
"110037 ALTO ALEGRE DOS PARECIS";26
"110040 ALTO PARAISO";12
"110045 BURITIS";1
"110050 NOVO HORIZONTE DO OESTE";42
"110060 CACAULANDIA";12
"110070 CAMPO NOVO DE RONDONIA";53
"110100 GOVERNADOR JORGE TEIXEIRA";21
"110120 MINISTRO ANDREAZZA";36
"110130 MIRANTE DA SERRA";29
"110140 MONTE NEGRO";126
"110143 NOVA UNIAO";5
"110145 PARECIS";20
"110146 PIMENTEIRAS DO OESTE";11
"110149 SAO FRANCISCO DO GUAPORE";60
"110150 SERINGUEIRAS";36
"110155 TEIXEIROPOLIS";14
"110160 THEOBROMA";14
"110170 URUPA";5
"110175 VALE DO ANARI";14
"110180 VALE DO PARAISO";9
"120001 ACRELANDIA";24
"120005 ASSIS BRASIL";19
"120010 BRASILEIA";202
"120020 CRUZEIRO DO SUL";849
"120030 FEIJO";59
"120034 MANOEL URBANO";41
"120038 PLACIDO DE CASTRO";68
"120040 RIO BRANCO";2595
"120042 RODRIGUES ALVES";25
"120043 SANTA ROSA DO PURUS";16
"120045 SENADOR GUIOMARD";69
"120050 SENA MADUREIRA";336
"120060 TARAUACA";170
"120070 XAPURI";104
"130006 AMATURA";24
"130008 ANAMA";93
"130014 APUI";79
"130050 BARREIRINHA";68
"130060 BENJAMIN CONSTANT";105
"130063 BERURI";65
"130068 BOA VISTA DO RAMOS";41
"130070 BOCA DO ACRE";141
"130080 BORBA";126
"130090 CANUTAMA";18
"130100 CARAUARI";134
"130120 COARI";314
"130130 CODAJAS";20
"130150 ENVIRA";53
"130165 GUAJARA";35
"130170 HUMAITA";148
"130180 IPIXUNA";89
"130185 IRANDUBA";107
"130190 ITACOATIARA";326
"130195 ITAMARATI";26
"130200 ITAPIRANGA";48
"130220 JURUA";51
"130230 JUTAI";77
"130250 MANACAPURU";313
"130255 MANAQUIRI";35
"130260 MANAUS";9283
"130280 MARAA";114
"130290 MAUES";190
"130300 NHAMUNDA";35
"130310 NOVA OLINDA DO NORTE";38
"130320 NOVO AIRAO";59
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";740
"130350 PAUINI";50
"130353 PRESIDENTE FIGUEIREDO";115
"130370 SANTO ANTONIO DO ICA";100
"130380 SAO GABRIEL DA CACHOEIRA";27
"130390 SAO PAULO DE OLIVENCA";78
"130400 SILVES";20
"130406 TABATINGA";68
"130410 TAPAUA";3
"130420 TEFE";337
"130430 URUCARA";70
"130440 URUCURITUBA";30
"140005 ALTO ALEGRE";44
"140010 BOA VISTA";1926
"140015 BONFIM";13
"140020 CARACARAI";22
"140030 MUCAJAI";6
"140040 NORMANDIA";10
"140045 PACARAIMA";22
"140047 RORAINOPOLIS";24
"140050 SAO JOAO DA BALIZA";19
"140060 SAO LUIZ";17
"150010 ABAETETUBA";502
"150013 ABEL FIGUEIREDO";54
"150020 ACARA";200
"150030 AFUA";72
"150034 AGUA AZUL DO NORTE";40
"150040 ALENQUER";464
"150050 ALMEIRIM";67
"150060 ALTAMIRA";1202
"150070 ANAJAS";40
"150080 ANANINDEUA";3091
"150085 ANAPU";68
"150090 AUGUSTO CORREA";268
"150095 AURORA DO PARA";89
"150120 BAIAO";51
"150125 BANNACH";53
"150130 BARCARENA";381
"150140 BELEM";8517
"150145 BELTERRA";71
"150150 BENEVIDES";174
"150157 BOM JESUS DO TOCANTINS";116
"150170 BRAGANCA";1328
"150172 BRASIL NOVO";236
"150175 BREJO GRANDE DO ARAGUAIA";47
"150178 BREU BRANCO";89
"150180 BREVES";733
"150190 BUJARU";207
"150200 CACHOEIRA DO ARARI";91
"150210 CAMETA";667
"150215 CANAA DOS CARAJAS";73
"150220 CAPANEMA";617
"150230 CAPITAO POCO";522
"150240 CASTANHAL";1242
"150270 CONCEICAO DO ARAGUAIA";388
"150275 CONCORDIA DO PARA";59
"150276 CUMARU DO NORTE";43
"150277 CURIONOPOLIS";34
"150280 CURRALINHO";120
"150293 DOM ELISEU";460
"150295 ELDORADO DOS CARAJAS";221
"150304 FLORESTA DO ARAGUAIA";116
"150309 GOIANESIA DO PARA";196
"150310 GURUPA";114
"150320 IGARAPE-ACU";86
"150330 IGARAPE-MIRI";561
"150340 INHANGAPI";50
"150345 IPIXUNA DO PARA";187
"150350 IRITUIA";115
"150360 ITAITUBA";684
"150370 ITUPIRANGA";125
"150380 JACUNDA";402
"150390 JURUTI";208
"150400 LIMOEIRO DO AJURU";312
"150405 MAE DO RIO";250
"150420 MARABA";608
"150430 MARACANA";44
"150442 MARITUBA";718
"150445 MEDICILANDIA";150
"150450 MELGACO";24
"150460 MOCAJUBA";131
"150470 MOJU";273
"150480 MONTE ALEGRE";363
"150490 MUANA";170
"150503 NOVO PROGRESSO";203
"150506 NOVO REPARTIMENTO";135
"150510 OBIDOS";297
"150520 OEIRAS DO PARA";60
"150530 ORIXIMINA";283
"150540 OUREM";61
"150543 OURILANDIA DO NORTE";197
"150548 PACAJA";115
"150549 PALESTINA DO PARA";19
"150550 PARAGOMINAS";405
"150553 PARAUAPEBAS";488
"150555 PAU D'ARCO";30
"150563 PICARRA";65
"150565 PLACAS";70
"150580 PORTEL";167
"150590 PORTO DE MOZ";125
"150600 PRAINHA";105
"150613 REDENCAO";694
"150616 RIO MARIA";181
"150618 RONDON DO PARA";555
"150619 RUROPOLIS";150
"150620 SALINOPOLIS";265
"150630 SALVATERRA";70
"150640 SANTA CRUZ DO ARARI";22
"150650 SANTA IZABEL DO PARA";463
"150658 SANTA MARIA DAS BARREIRAS";63
"150660 SANTA MARIA DO PARA";187
"150670 SANTANA DO ARAGUAIA";227
"150680 SANTAREM";1754
"150700 SANTO ANTONIO DO TAUA";293
"150715 SAO DOMINGOS DO ARAGUAIA";31
"150720 SAO DOMINGOS DO CAPIM";70
"150730 SAO FELIX DO XINGU";388
"150745 SAO GERALDO DO ARAGUAIA";224
"150747 SAO JOAO DE PIRABAS";87
"150750 SAO JOAO DO ARAGUAIA";42
"150760 SAO MIGUEL DO GUAMA";111
"150770 SAO SEBASTIAO DA BOA VISTA";104
"150775 SAPUCAIA";27
"150780 SENADOR JOSE PORFIRIO";56
"150790 SOURE";221
"150795 TAILANDIA";227
"150797 TERRA SANTA";113
"150800 TOME-ACU";263
"150803 TRACUATEUA";40
"150805 TRAIRAO";69
"150808 TUCUMA";201
"150810 TUCURUI";338
"150812 ULIANOPOLIS";318
"150815 URUARA";215
"150820 VIGIA";211
"150830 VISEU";265
"150840 XINGUARA";223
"160010 AMAPA";12
"160020 CALCOENE";45
"160027 LARANJAL DO JARI";300
"160030 MACAPA";2413
"160050 OIAPOQUE";49
"160053 PORTO GRANDE";46
"160060 SANTANA";430
"170070 ALVORADA";87
"170100 ANANAS";8
"170200 ARAGUACU";115
"170210 ARAGUAINA";2122
"170220 ARAGUATINS";40
"170230 ARAPOEMA";56
"170240 ARRAIAS";49
"170255 AUGUSTINOPOLIS";550
"170550 COLINAS DO TOCANTINS";209
"170610 CRISTALANDIA";15
"170700 DIANOPOLIS";142
"170710 DIVINOPOLIS DO TOCANTINS";21
"170820 FORMOSO DO ARAGUAIA";40
"170930 GUARAI";148
"170950 GURUPI";555
"171050 ITACAJA";2
"171190 LAGOA DA CONFUSAO";15
"171320 MIRACEMA DO TOCANTINS";376
"171330 MIRANORTE";51
"171360 MONTE DO CARMO";11
"171430 NAZARE";20
"171575 PALMEIROPOLIS";4
"171610 PARAISO DO TOCANTINS";297
"171620 PARANA";22
"171650 PEDRO AFONSO";189
"171660 PEIXE";41
"171670 COLMEIA";9
"171750 PIUM";54
"171790 PONTE ALTA DO TOCANTINS";11
"171820 PORTO NACIONAL";685
"171840 PRESIDENTE KENNEDY";3
"172065 SILVANOPOLIS";7
"172090 TAGUATINGA";81
"172100 PALMAS";2076
"172120 TOCANTINOPOLIS";171
"172210 XAMBIOA";75
"210005 ACAILANDIA";387
"210020 ALCANTARA";17
"210030 ALDEIAS ALTAS";108
"210043 ALTO ALEGRE DO MARANHAO";135
"210047 ALTO ALEGRE DO PINDARE";210
"210050 ALTO PARNAIBA";93
"210060 AMARANTE DO MARANHAO";176
"210070 ANAJATUBA";79
"210080 ANAPURUS";62
"210090 ARAIOSES";80
"210095 ARAME";273
"210100 ARARI";55
"210110 AXIXA";78
"210120 BACABAL";489
"210130 BACURI";102
"210140 BALSAS";550
"210150 BARAO DE GRAJAU";82
"210160 BARRA DO CORDA";281
"210170 BARREIRINHAS";254
"210180 BENEDITO LEITE";34
"210190 BEQUIMAO";28
"210200 BOM JARDIM";210
"210203 BOM JESUS DAS SELVAS";113
"210210 BREJO";142
"210220 BURITI";127
"210230 BURITI BRAVO";151
"210232 BURITICUPU";241
"210260 CANDIDO MENDES";40
"210270 CANTANHEDE";133
"210275 CAPINZAL DO NORTE";56
"210280 CAROLINA";62
"210290 CARUTAPERA";138
"210300 CAXIAS";1032
"210310 CEDRAL";59
"210320 CHAPADINHA";378
"210325 CIDELANDIA";79
"210330 CODO";562
"210340 COELHO NETO";275
"210350 COLINAS";220
"210360 COROATA";319
"210370 CURURUPU";355
"210380 DOM PEDRO";29
"210390 DUQUE BACELAR";53
"210400 ESPERANTINOPOLIS";118
"210405 ESTREITO";56
"210407 FEIRA NOVA DO MARANHAO";55
"210409 FORMOSA DA SERRA NEGRA";59
"210410 FORTALEZA DOS NOGUEIRAS";162
"210420 FORTUNA";72
"210440 GONCALVES DIAS";24
"210450 GOVERNADOR ARCHER";158
"210460 GOVERNADOR EUGENIO BARROS";112
"210462 GOVERNADOR LUIZ ROCHA";45
"210467 GOVERNADOR NUNES FREIRE";473
"210470 GRACA ARANHA";46
"210480 GRAJAU";584
"210490 GUIMARAES";77
"210500 HUMBERTO DE CAMPOS";126
"210510 ICATU";109
"210515 IGARAPE DO MEIO";28
"210520 IGARAPE GRANDE";70
"210530 IMPERATRIZ";1776
"210535 ITAIPAVA DO GRAJAU";66
"210540 ITAPECURU MIRIM";216
"210542 ITINGA DO MARANHAO";142
"210545 JATOBA";63
"210550 JOAO LISBOA";30
"210560 JOSELANDIA";81
"210570 LAGO DA PEDRA";391
"210580 LAGO DO JUNCO";62
"210594 LAGO DOS RODRIGUES";65
"210596 LAGOA GRANDE DO MARANHAO";8
"210600 LIMA CAMPOS";140
"210610 LORETO";60
"210630 MAGALHAES DE ALMEIDA";71
"210640 MATA ROMA";89
"210650 MATINHA";57
"210667 MILAGRES DO MARANHAO";39
"210670 MIRADOR";113
"210675 MIRANDA DO NORTE";53
"210680 MIRINZAL";64
"210690 MONCAO";56
"210710 MORROS";214
"210720 NINA RODRIGUES";66
"210725 NOVA COLINAS";28
"210735 NOVA OLINDA DO MARANHAO";97
"210740 OLHO D'AGUA DAS CUNHAS";37
"210745 OLINDA NOVA DO MARANHAO";70
"210750 PACO DO LUMIAR";104
"210760 PALMEIRANDIA";82
"210770 PARAIBANO";42
"210780 PARNARAMA";63
"210790 PASSAGEM FRANCA";283
"210800 PASTOS BONS";113
"210805 PAULINO NEVES";104
"210810 PAULO RAMOS";143
"210820 PEDREIRAS";377
"210825 PEDRO DO ROSARIO";131
"210830 PENALVA";182
"210840 PERI MIRIM";38
"210850 PINDARE-MIRIM";171
"210860 PINHEIRO";480
"210870 PIO XII";119
"210880 PIRAPEMAS";65
"210890 POCAO DE PEDRAS";87
"210900 PORTO FRANCO";315
"210910 PRESIDENTE DUTRA";507
"210920 PRESIDENTE JUSCELINO";68
"210930 PRESIDENTE VARGAS";56
"210940 PRIMEIRA CRUZ";84
"210945 RAPOSA";93
"210950 RIACHAO";134
"210960 ROSARIO";246
"210970 SAMBAIBA";35
"210975 SANTA FILOMENA DO MARANHAO";36
"210980 SANTA HELENA";112
"210990 SANTA INES";562
"211000 SANTA LUZIA";183
"211003 SANTA LUZIA DO PARUA";291
"211010 SANTA QUITERIA DO MARANHAO";95
"211020 SANTA RITA";205
"211027 SANTO AMARO DO MARANHAO";72
"211030 SANTO ANTONIO DOS LOPES";92
"211040 SAO BENEDITO DO RIO PRETO";39
"211050 SAO BENTO";76
"211060 SAO BERNARDO";162
"211065 SAO DOMINGOS DO AZEITAO";40
"211070 SAO DOMINGOS DO MARANHAO";130
"211080 SAO FELIX DE BALSAS";28
"211100 SAO JOAO BATISTA";94
"211110 SAO JOAO DOS PATOS";77
"211120 SAO JOSE DE RIBAMAR";382
"211130 SAO LUIS";6895
"211140 SAO LUIS GONZAGA DO MARANHAO";199
"211150 SAO MATEUS DO MARANHAO";55
"211160 SAO RAIMUNDO DAS MANGABEIRAS";102
"211170 SAO VICENTE FERRER";123
"211172 SATUBINHA";59
"211174 SENADOR ALEXANDRE COSTA";58
"211180 SITIO NOVO";95
"211190 SUCUPIRA DO NORTE";57
"211220 TIMON";379
"211230 TUNTUM";156
"211240 TURIACU";210
"211250 TUTOIA";208
"211260 URBANO SANTOS";107
"211270 VARGEM GRANDE";179
"211280 VIANA";254
"211285 VILA NOVA DOS MARTIRIOS";56
"211290 VITORIA DO MEARIM";105
"211300 VITORINO FREIRE";84
"211400 ZE DOCA";110
"220020 AGUA BRANCA";108
"220030 ALTO LONGA";39
"220040 ALTOS";82
"220050 AMARANTE";97
"220100 ARRAIAL";12
"220110 AVELINO LOPES";33
"220120 BARRAS";249
"220150 BATALHA";75
"220160 BENEDITINOS";13
"220180 BOCAINA";7
"220190 BOM JESUS";440
"220220 CAMPO MAIOR";572
"220230 CANTO DO BURITI";148
"220240 CAPITAO DE CAMPOS";5
"220250 CARACOL";33
"220260 CASTELO DO PIAUI";161
"220270 COCAL";139
"220290 CORRENTE";2
"220320 CURIMATA";119
"220350 ELESBAO VELOSO";86
"220370 ESPERANTINA";342
"220390 FLORIANO";814
"220400 FRANCINOPOLIS";2
"220430 FRONTEIRAS";190
"220440 GILBUES";20
"220450 GUADALUPE";103
"220480 IPIRANGA DO PIAUI";28
"220500 ITAINOPOLIS";54
"220510 ITAUEIRA";38
"220520 JAICOS";120
"220540 JOAQUIM PIRES";55
"220550 JOSE DE FREITAS";53
"220553 JUREMA";17
"220570 LUIS CORREIA";39
"220580 LUZILANDIA";291
"220620 MIGUEL ALVES";87
"220640 MONSENHOR GIL";5
"220700 OEIRAS";514
"220750 PALMEIRAIS";8
"220760 PARNAGUA";64
"220770 PARNAIBA";1437
"220780 PAULISTANA";38
"220790 PEDRO II";184
"220800 PICOS";1395
"220810 PIMENTEIRAS";16
"220820 PIO IX";12
"220830 PIRACURUCA";54
"220840 PIRIPIRI";97
"220850 PORTO";31
"220880 REGENERACAO";90
"220910 SANTA CRUZ DO PIAUI";15
"220940 SANTO ANTONIO DE LISBOA";6
"220960 SAO FELIX DO PIAUI";3
"220990 SAO JOAO DA SERRA";13
"221030 SAO JULIAO";30
"221040 SAO MIGUEL DO TAPUIO";63
"221050 SAO PEDRO DO PIAUI";32
"221060 SAO RAIMUNDO NONATO";874
"221070 SIMOES";140
