 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Abr/2014
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";157
"110002 ARIQUEMES";488
"110003 CABIXI";24
"110004 CACOAL";825
"110005 CEREJEIRAS";102
"110006 COLORADO DO OESTE";69
"110008 COSTA MARQUES";69
"110009 ESPIGAO D'OESTE";115
"110010 GUAJARA-MIRIM";264
"110011 JARU";209
"110012 JI-PARANA";853
"110013 MACHADINHO D'OESTE";107
"110014 NOVA BRASILANDIA D'OESTE";129
"110015 OURO PRETO DO OESTE";253
"110018 PIMENTA BUENO";230
"110020 PORTO VELHO";3217
"110025 PRESIDENTE MEDICI";71
"110026 RIO CRESPO";8
"110028 ROLIM DE MOURA";373
"110029 SANTA LUZIA D'OESTE";64
"110030 VILHENA";1107
"110032 SAO MIGUEL DO GUAPORE";141
"110033 NOVA MAMORE";77
"110034 ALVORADA D'OESTE";52
"110037 ALTO ALEGRE DOS PARECIS";27
"110040 ALTO PARAISO";25
"110045 BURITIS";139
"110050 NOVO HORIZONTE DO OESTE";79
"110060 CACAULANDIA";7
"110070 CAMPO NOVO DE RONDONIA";53
"110100 GOVERNADOR JORGE TEIXEIRA";37
"110120 MINISTRO ANDREAZZA";41
"110130 MIRANTE DA SERRA";104
"110140 MONTE NEGRO";72
"110143 NOVA UNIAO";19
"110145 PARECIS";37
"110146 PIMENTEIRAS DO OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";124
"110150 SERINGUEIRAS";91
"110155 TEIXEIROPOLIS";17
"110160 THEOBROMA";1
"110170 URUPA";3
"110175 VALE DO ANARI";5
"110180 VALE DO PARAISO";20
"120001 ACRELANDIA";19
"120005 ASSIS BRASIL";26
"120010 BRASILEIA";213
"120020 CRUZEIRO DO SUL";957
"120030 FEIJO";31
"120033 MANCIO LIMA";12
"120034 MANOEL URBANO";47
"120038 PLACIDO DE CASTRO";43
"120039 PORTO WALTER";13
"120040 RIO BRANCO";2202
"120042 RODRIGUES ALVES";32
"120045 SENADOR GUIOMARD";39
"120050 SENA MADUREIRA";321
"120060 TARAUACA";169
"120070 XAPURI";120
"130002 ALVARAES";35
"130006 AMATURA";25
"130014 APUI";73
"130030 AUTAZES";65
"130050 BARREIRINHA";48
"130060 BENJAMIN CONSTANT";78
"130063 BERURI";47
"130070 BOCA DO ACRE";133
"130080 BORBA";78
"130083 CAAPIRANGA";17
"130110 CAREIRO";35
"130120 COARI";321
"130130 CODAJAS";81
"130140 EIRUNEPE";296
"130165 GUAJARA";40
"130170 HUMAITA";101
"130180 IPIXUNA";69
"130185 IRANDUBA";222
"130190 ITACOATIARA";349
"130195 ITAMARATI";32
"130200 ITAPIRANGA";4
"130220 JURUA";41
"130230 JUTAI";91
"130250 MANACAPURU";444
"130255 MANAQUIRI";6
"130260 MANAUS";7154
"130270 MANICORE";111
"130280 MARAA";149
"130290 MAUES";228
"130300 NHAMUNDA";70
"130340 PARINTINS";555
"130353 PRESIDENTE FIGUEIREDO";112
"130356 RIO PRETO DA EVA";40
"130370 SANTO ANTONIO DO ICA";55
"130395 SAO SEBASTIAO DO UATUMA";5
"130400 SILVES";38
"130406 TABATINGA";41
"130420 TEFE";366
"130440 URUCURITUBA";7
"140005 ALTO ALEGRE";11
"140010 BOA VISTA";2058
"140015 BONFIM";5
"140020 CARACARAI";28
"140023 CAROEBE";17
"140030 MUCAJAI";11
"140040 NORMANDIA";17
"140045 PACARAIMA";41
"140047 RORAINOPOLIS";21
"140050 SAO JOAO DA BALIZA";25
"140060 SAO LUIZ";23
"150010 ABAETETUBA";625
"150013 ABEL FIGUEIREDO";89
"150020 ACARA";212
"150030 AFUA";74
"150034 AGUA AZUL DO NORTE";112
"150040 ALENQUER";370
"150050 ALMEIRIM";123
"150060 ALTAMIRA";1322
"150070 ANAJAS";71
"150080 ANANINDEUA";3117
"150085 ANAPU";140
"150090 AUGUSTO CORREA";240
"150095 AURORA DO PARA";116
"150120 BAIAO";114
"150125 BANNACH";30
"150130 BARCARENA";341
"150140 BELEM";8670
"150145 BELTERRA";57
"150150 BENEVIDES";25
"150157 BOM JESUS DO TOCANTINS";87
"150170 BRAGANCA";1361
"150172 BRASIL NOVO";237
"150175 BREJO GRANDE DO ARAGUAIA";39
"150178 BREU BRANCO";102
"150180 BREVES";673
"150190 BUJARU";208
"150200 CACHOEIRA DO ARARI";84
"150210 CAMETA";699
"150215 CANAA DOS CARAJAS";80
"150220 CAPANEMA";605
"150230 CAPITAO POCO";485
"150240 CASTANHAL";1357
"150270 CONCEICAO DO ARAGUAIA";367
"150275 CONCORDIA DO PARA";78
"150276 CUMARU DO NORTE";50
"150277 CURIONOPOLIS";153
"150280 CURRALINHO";137
"150290 CURUCA";116
"150293 DOM ELISEU";392
"150295 ELDORADO DOS CARAJAS";203
"150300 FARO";37
"150304 FLORESTA DO ARAGUAIA";117
"150309 GOIANESIA DO PARA";102
"150310 GURUPA";130
"150320 IGARAPE-ACU";88
"150330 IGARAPE-MIRI";629
"150340 INHANGAPI";49
"150345 IPIXUNA DO PARA";273
"150350 IRITUIA";116
"150360 ITAITUBA";634
"150370 ITUPIRANGA";90
"150375 JACAREACANGA";149
"150380 JACUNDA";605
"150390 JURUTI";146
"150400 LIMOEIRO DO AJURU";137
"150405 MAE DO RIO";220
"150420 MARABA";1005
"150430 MARACANA";109
"150442 MARITUBA";654
"150445 MEDICILANDIA";191
"150450 MELGACO";50
"150460 MOCAJUBA";141
"150470 MOJU";204
"150480 MONTE ALEGRE";222
"150490 MUANA";118
"150495 NOVA ESPERANCA DO PIRIA";90
"150503 NOVO PROGRESSO";207
"150506 NOVO REPARTIMENTO";183
"150510 OBIDOS";232
"150520 OEIRAS DO PARA";88
"150530 ORIXIMINA";253
"150540 OUREM";63
"150543 OURILANDIA DO NORTE";200
"150548 PACAJA";183
"150549 PALESTINA DO PARA";42
"150550 PARAGOMINAS";399
"150553 PARAUAPEBAS";697
"150555 PAU D'ARCO";71
"150563 PICARRA";80
"150565 PLACAS";39
"150570 PONTA DE PEDRAS";97
"150580 PORTEL";110
"150590 PORTO DE MOZ";126
"150600 PRAINHA";42
"150613 REDENCAO";711
"150616 RIO MARIA";81
"150618 RONDON DO PARA";630
"150619 RUROPOLIS";130
"150620 SALINOPOLIS";265
"150630 SALVATERRA";109
"150640 SANTA CRUZ DO ARARI";36
"150650 SANTA IZABEL DO PARA";455
"150658 SANTA MARIA DAS BARREIRAS";66
"150660 SANTA MARIA DO PARA";161
"150670 SANTANA DO ARAGUAIA";212
"150680 SANTAREM";1968
"150700 SANTO ANTONIO DO TAUA";291
"150715 SAO DOMINGOS DO ARAGUAIA";53
"150720 SAO DOMINGOS DO CAPIM";74
"150730 SAO FELIX DO XINGU";332
"150745 SAO GERALDO DO ARAGUAIA";222
"150747 SAO JOAO DE PIRABAS";78
"150750 SAO JOAO DO ARAGUAIA";25
"150760 SAO MIGUEL DO GUAMA";138
"150770 SAO SEBASTIAO DA BOA VISTA";98
"150775 SAPUCAIA";76
"150780 SENADOR JOSE PORFIRIO";57
"150790 SOURE";129
"150795 TAILANDIA";197
"150797 TERRA SANTA";105
"150800 TOME-ACU";135
"150803 TRACUATEUA";107
"150805 TRAIRAO";18
"150808 TUCUMA";288
"150810 TUCURUI";199
"150812 ULIANOPOLIS";338
"150815 URUARA";301
"150820 VIGIA";180
"150830 VISEU";260
"150835 VITORIA DO XINGU";25
"150840 XINGUARA";311
"160020 CALCOENE";54
"160027 LARANJAL DO JARI";305
"160030 MACAPA";2121
"160050 OIAPOQUE";117
"160053 PORTO GRANDE";47
"160060 SANTANA";507
"170070 ALVORADA";114
"170100 ANANAS";16
"170190 ARAGUACEMA";30
"170200 ARAGUACU";118
"170210 ARAGUAINA";1954
"170220 ARAGUATINS";45
"170230 ARAPOEMA";68
"170240 ARRAIAS";34
"170255 AUGUSTINOPOLIS";315
"170370 BREJINHO DE NAZARE";22
"170550 COLINAS DO TOCANTINS";213
"170610 CRISTALANDIA";7
"170700 DIANOPOLIS";67
"170710 DIVINOPOLIS DO TOCANTINS";17
"170765 FIGUEIROPOLIS";9
"170820 FORMOSO DO ARAGUAIA";53
"170900 GOIATINS";53
"170930 GUARAI";122
"170950 GURUPI";713
"171050 ITACAJA";39
"171190 LAGOA DA CONFUSAO";38
"171320 MIRACEMA DO TOCANTINS";361
"171330 MIRANORTE";43
"171430 NAZARE";4
"171575 PALMEIROPOLIS";17
"171610 PARAISO DO TOCANTINS";353
"171620 PARANA";46
"171650 PEDRO AFONSO";202
"171660 PEIXE";51
"171670 COLMEIA";19
"171750 PIUM";36
"171820 PORTO NACIONAL";808
"172065 SILVANOPOLIS";7
"172090 TAGUATINGA";46
"172100 PALMAS";2317
"172120 TOCANTINOPOLIS";130
"172210 XAMBIOA";76
"210005 ACAILANDIA";531
"210015 AGUA DOCE DO MARANHAO";71
"210020 ALCANTARA";39
"210030 ALDEIAS ALTAS";238
"210043 ALTO ALEGRE DO MARANHAO";309
"210047 ALTO ALEGRE DO PINDARE";143
"210060 AMARANTE DO MARANHAO";187
"210080 ANAPURUS";69
"210083 APICUM-ACU";59
"210095 ARAME";235
"210100 ARARI";86
"210110 AXIXA";90
"210120 BACABAL";542
"210130 BACURI";97
"210140 BALSAS";457
"210150 BARAO DE GRAJAU";66
"210160 BARRA DO CORDA";365
"210170 BARREIRINHAS";359
"210180 BENEDITO LEITE";33
"210190 BEQUIMAO";71
"210193 BERNARDO DO MEARIM";7
"210200 BOM JARDIM";189
"210203 BOM JESUS DAS SELVAS";113
"210210 BREJO";201
"210220 BURITI";133
"210232 BURITICUPU";320
"210250 CAJARI";45
"210260 CANDIDO MENDES";53
"210270 CANTANHEDE";144
"210275 CAPINZAL DO NORTE";58
"210280 CAROLINA";121
"210290 CARUTAPERA";131
"210300 CAXIAS";768
"210310 CEDRAL";60
"210312 CENTRAL DO MARANHAO";58
"210320 CHAPADINHA";443
"210325 CIDELANDIA";80
"210330 CODO";503
"210340 COELHO NETO";340
"210350 COLINAS";293
"210360 COROATA";326
"210370 CURURUPU";352
"210380 DOM PEDRO";109
"210390 DUQUE BACELAR";66
"210400 ESPERANTINOPOLIS";118
"210405 ESTREITO";190
"210407 FEIRA NOVA DO MARANHAO";49
"210409 FORMOSA DA SERRA NEGRA";56
"210410 FORTALEZA DOS NOGUEIRAS";61
"210420 FORTUNA";68
"210440 GONCALVES DIAS";142
"210450 GOVERNADOR ARCHER";59
"210455 GOVERNADOR EDISON LOBAO";31
"210460 GOVERNADOR EUGENIO BARROS";84
"210462 GOVERNADOR LUIZ ROCHA";47
"210467 GOVERNADOR NUNES FREIRE";516
"210480 GRAJAU";763
"210490 GUIMARAES";73
"210500 HUMBERTO DE CAMPOS";131
"210515 IGARAPE DO MEIO";55
"210520 IGARAPE GRANDE";70
"210530 IMPERATRIZ";2012
"210535 ITAIPAVA DO GRAJAU";65
