 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Mai/2014
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";185
"110002 ARIQUEMES";541
"110003 CABIXI";24
"110004 CACOAL";1001
"110005 CEREJEIRAS";112
"110006 COLORADO DO OESTE";113
"110008 COSTA MARQUES";51
"110009 ESPIGAO D'OESTE";117
"110010 GUAJARA-MIRIM";282
"110011 JARU";181
"110012 JI-PARANA";838
"110013 MACHADINHO D'OESTE";149
"110014 NOVA BRASILANDIA D'OESTE";129
"110015 OURO PRETO DO OESTE";284
"110018 PIMENTA BUENO";217
"110020 PORTO VELHO";3826
"110025 PRESIDENTE MEDICI";57
"110026 RIO CRESPO";7
"110028 ROLIM DE MOURA";417
"110029 SANTA LUZIA D'OESTE";64
"110030 VILHENA";1067
"110032 SAO MIGUEL DO GUAPORE";133
"110033 NOVA MAMORE";81
"110034 ALVORADA D'OESTE";46
"110037 ALTO ALEGRE DOS PARECIS";33
"110040 ALTO PARAISO";16
"110045 BURITIS";96
"110050 NOVO HORIZONTE DO OESTE";64
"110060 CACAULANDIA";3
"110070 CAMPO NOVO DE RONDONIA";53
"110100 GOVERNADOR JORGE TEIXEIRA";36
"110120 MINISTRO ANDREAZZA";41
"110130 MIRANTE DA SERRA";78
"110140 MONTE NEGRO";74
"110143 NOVA UNIAO";10
"110145 PARECIS";13
"110146 PIMENTEIRAS DO OESTE";7
"110149 SAO FRANCISCO DO GUAPORE";125
"110150 SERINGUEIRAS";89
"110155 TEIXEIROPOLIS";3
"110160 THEOBROMA";6
"110170 URUPA";4
"110175 VALE DO ANARI";16
"110180 VALE DO PARAISO";8
"120005 ASSIS BRASIL";24
"120010 BRASILEIA";252
"120020 CRUZEIRO DO SUL";926
"120030 FEIJO";56
"120033 MANCIO LIMA";20
"120034 MANOEL URBANO";37
"120038 PLACIDO DE CASTRO";80
"120039 PORTO WALTER";23
"120040 RIO BRANCO";2462
"120042 RODRIGUES ALVES";42
"120043 SANTA ROSA DO PURUS";19
"120045 SENADOR GUIOMARD";53
"120050 SENA MADUREIRA";309
"120060 TARAUACA";223
"120070 XAPURI";109
"130002 ALVARAES";82
"130014 APUI";29
"130040 BARCELOS";114
"130050 BARREIRINHA";117
"130060 BENJAMIN CONSTANT";81
"130063 BERURI";70
"130070 BOCA DO ACRE";118
"130080 BORBA";84
"130083 CAAPIRANGA";16
"130090 CANUTAMA";40
"130120 COARI";326
"130140 EIRUNEPE";162
"130165 GUAJARA";41
"130170 HUMAITA";132
"130180 IPIXUNA";74
"130185 IRANDUBA";109
"130190 ITACOATIARA";460
"130195 ITAMARATI";10
"130200 ITAPIRANGA";2
"130220 JURUA";72
"130230 JUTAI";77
"130240 LABREA";274
"130250 MANACAPURU";354
"130255 MANAQUIRI";19
"130260 MANAUS";8956
"130270 MANICORE";84
"130290 MAUES";217
"130310 NOVA OLINDA DO NORTE";281
"130330 NOVO ARIPUANA";63
"130340 PARINTINS";524
"130353 PRESIDENTE FIGUEIREDO";124
"130356 RIO PRETO DA EVA";58
"130370 SANTO ANTONIO DO ICA";3
"130390 SAO PAULO DE OLIVENCA";129
"130395 SAO SEBASTIAO DO UATUMA";3
"130400 SILVES";40
"130406 TABATINGA";20
"130420 TEFE";304
"130440 URUCURITUBA";30
"140005 ALTO ALEGRE";19
"140010 BOA VISTA";2473
"140015 BONFIM";5
"140020 CARACARAI";35
"140023 CAROEBE";23
"140030 MUCAJAI";3
"140040 NORMANDIA";14
"140045 PACARAIMA";43
"140047 RORAINOPOLIS";35
"140050 SAO JOAO DA BALIZA";13
"150010 ABAETETUBA";620
"150013 ABEL FIGUEIREDO";75
"150020 ACARA";211
"150030 AFUA";79
"150034 AGUA AZUL DO NORTE";53
"150040 ALENQUER";369
"150050 ALMEIRIM";84
"150060 ALTAMIRA";1259
"150070 ANAJAS";92
"150080 ANANINDEUA";3177
"150085 ANAPU";150
"150090 AUGUSTO CORREA";212
"150095 AURORA DO PARA";113
"150120 BAIAO";150
"150125 BANNACH";30
"150130 BARCARENA";418
"150140 BELEM";8205
"150145 BELTERRA";33
"150150 BENEVIDES";41
"150157 BOM JESUS DO TOCANTINS";89
"150170 BRAGANCA";1309
"150175 BREJO GRANDE DO ARAGUAIA";26
"150178 BREU BRANCO";101
"150180 BREVES";672
"150190 BUJARU";198
"150200 CACHOEIRA DO ARARI";95
"150210 CAMETA";655
"150215 CANAA DOS CARAJAS";77
"150220 CAPANEMA";629
"150230 CAPITAO POCO";471
"150240 CASTANHAL";1642
"150270 CONCEICAO DO ARAGUAIA";573
"150275 CONCORDIA DO PARA";73
"150276 CUMARU DO NORTE";44
"150277 CURIONOPOLIS";90
"150280 CURRALINHO";146
"150290 CURUCA";115
"150293 DOM ELISEU";290
"150295 ELDORADO DOS CARAJAS";277
"150300 FARO";29
"150304 FLORESTA DO ARAGUAIA";113
"150309 GOIANESIA DO PARA";106
"150310 GURUPA";102
"150320 IGARAPE-ACU";106
"150330 IGARAPE-MIRI";618
"150340 INHANGAPI";49
"150345 IPIXUNA DO PARA";263
"150350 IRITUIA";115
"150360 ITAITUBA";651
"150370 ITUPIRANGA";162
"150375 JACAREACANGA";143
"150380 JACUNDA";536
"150390 JURUTI";148
"150400 LIMOEIRO DO AJURU";156
"150405 MAE DO RIO";186
"150420 MARABA";1052
"150430 MARACANA";110
"150440 MARAPANIM";99
"150442 MARITUBA";531
"150445 MEDICILANDIA";164
"150450 MELGACO";78
"150460 MOCAJUBA";141
"150470 MOJU";202
"150480 MONTE ALEGRE";193
"150490 MUANA";94
"150495 NOVA ESPERANCA DO PIRIA";67
"150503 NOVO PROGRESSO";175
"150506 NOVO REPARTIMENTO";195
"150510 OBIDOS";204
"150520 OEIRAS DO PARA";107
"150530 ORIXIMINA";300
"150540 OUREM";60
"150543 OURILANDIA DO NORTE";198
"150548 PACAJA";153
"150549 PALESTINA DO PARA";37
"150550 PARAGOMINAS";414
"150553 PARAUAPEBAS";736
"150555 PAU D'ARCO";75
"150563 PICARRA";69
"150565 PLACAS";71
"150570 PONTA DE PEDRAS";93
"150580 PORTEL";115
"150590 PORTO DE MOZ";178
"150600 PRAINHA";56
"150613 REDENCAO";658
"150616 RIO MARIA";105
"150618 RONDON DO PARA";633
"150619 RUROPOLIS";159
"150620 SALINOPOLIS";289
"150630 SALVATERRA";102
"150640 SANTA CRUZ DO ARARI";30
"150650 SANTA IZABEL DO PARA";456
"150658 SANTA MARIA DAS BARREIRAS";67
"150660 SANTA MARIA DO PARA";114
"150670 SANTANA DO ARAGUAIA";357
"150680 SANTAREM";1652
"150700 SANTO ANTONIO DO TAUA";292
"150715 SAO DOMINGOS DO ARAGUAIA";73
"150720 SAO DOMINGOS DO CAPIM";98
"150730 SAO FELIX DO XINGU";273
"150745 SAO GERALDO DO ARAGUAIA";225
"150747 SAO JOAO DE PIRABAS";45
"150750 SAO JOAO DO ARAGUAIA";40
"150760 SAO MIGUEL DO GUAMA";99
