 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jan/2017
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";144
"110002 ARIQUEMES";473
"110003 CABIXI";26
"110004 CACOAL";809
"110005 CEREJEIRAS";98
"110006 COLORADO DO OESTE";89
"110008 COSTA MARQUES";16
"110009 ESPIGAO D'OESTE";117
"110010 GUAJARA-MIRIM";302
"110011 JARU";202
"110012 JI-PARANA";623
"110013 MACHADINHO D'OESTE";32
"110014 NOVA BRASILANDIA D'OESTE";99
"110015 OURO PRETO DO OESTE";210
"110018 PIMENTA BUENO";202
"110020 PORTO VELHO";3759
"110025 PRESIDENTE MEDICI";63
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";186
"110029 SANTA LUZIA D'OESTE";33
"110030 VILHENA";717
"110032 SAO MIGUEL DO GUAPORE";152
"110033 NOVA MAMORE";31
"110034 ALVORADA D'OESTE";37
"110037 ALTO ALEGRE DOS PARECIS";56
"110040 ALTO PARAISO";28
"110045 BURITIS";60
"110050 NOVO HORIZONTE DO OESTE";39
"110060 CACAULANDIA";4
"110070 CAMPO NOVO DE RONDONIA";22
"110094 CUJUBIM";80
"110100 GOVERNADOR JORGE TEIXEIRA";20
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";19
"110130 MIRANTE DA SERRA";40
"110140 MONTE NEGRO";19
"110143 NOVA UNIAO";1
"110145 PARECIS";17
"110146 PIMENTEIRAS DO OESTE";10
"110149 SAO FRANCISCO DO GUAPORE";98
"110150 SERINGUEIRAS";70
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";9
"110170 URUPA";28
"110175 VALE DO ANARI";13
"110180 VALE DO PARAISO";5
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";9
"120010 BRASILEIA";159
"120020 CRUZEIRO DO SUL";597
"120033 MANCIO LIMA";30
"120034 MANOEL URBANO";58
"120038 PLACIDO DE CASTRO";70
"120039 PORTO WALTER";28
"120040 RIO BRANCO";1972
"120042 RODRIGUES ALVES";17
"120043 SANTA ROSA DO PURUS";23
"120045 SENADOR GUIOMARD";40
"120050 SENA MADUREIRA";266
"120060 TARAUACA";165
"120070 XAPURI";76
"130002 ALVARAES";37
"130008 ANAMA";77
"130014 APUI";113
"130020 ATALAIA DO NORTE";19
"130050 BARREIRINHA";23
"130060 BENJAMIN CONSTANT";79
"130063 BERURI";33
"130070 BOCA DO ACRE";134
"130080 BORBA";94
"130083 CAAPIRANGA";7
"130090 CANUTAMA";7
"130100 CARAUARI";55
"130110 CAREIRO";18
"130120 COARI";304
"130130 CODAJAS";61
"130140 EIRUNEPE";97
"130150 ENVIRA";59
"130160 FONTE BOA";112
"130170 HUMAITA";168
"130180 IPIXUNA";108
"130185 IRANDUBA";50
"130190 ITACOATIARA";293
"130230 JUTAI";13
"130250 MANACAPURU";284
"130255 MANAQUIRI";9
"130260 MANAUS";9822
"130280 MARAA";7
"130290 MAUES";183
"130300 NHAMUNDA";47
"130320 NOVO AIRAO";37
"130340 PARINTINS";482
"130353 PRESIDENTE FIGUEIREDO";86
"130370 SANTO ANTONIO DO ICA";147
"130380 SAO GABRIEL DA CACHOEIRA";86
"130395 SAO SEBASTIAO DO UATUMA";18
"130400 SILVES";34
"130410 TAPAUA";56
"130420 TEFE";393
"130423 TONANTINS";46
"130426 UARINI";3
"140005 ALTO ALEGRE";10
"140010 BOA VISTA";2880
"140015 BONFIM";13
"140023 CAROEBE";31
"140030 MUCAJAI";18
"140040 NORMANDIA";15
"140045 PACARAIMA";26
"140047 RORAINOPOLIS";134
"140050 SAO JOAO DA BALIZA";27
"140060 SAO LUIZ";19
"150010 ABAETETUBA";598
"150013 ABEL FIGUEIREDO";45
"150020 ACARA";102
"150030 AFUA";76
"150034 AGUA AZUL DO NORTE";107
"150050 ALMEIRIM";107
"150060 ALTAMIRA";832
"150070 ANAJAS";133
"150080 ANANINDEUA";2752
"150085 ANAPU";105
"150090 AUGUSTO CORREA";181
"150095 AURORA DO PARA";128
"150120 BAIAO";111
