 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Fev/2017
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";120
"110002 ARIQUEMES";453
"110003 CABIXI";26
"110004 CACOAL";773
"110005 CEREJEIRAS";91
"110006 COLORADO DO OESTE";67
"110008 COSTA MARQUES";27
"110009 ESPIGAO D'OESTE";87
"110010 GUAJARA-MIRIM";284
"110011 JARU";240
"110012 JI-PARANA";678
"110013 MACHADINHO D'OESTE";32
"110014 NOVA BRASILANDIA D'OESTE";70
"110015 OURO PRETO DO OESTE";168
"110018 PIMENTA BUENO";232
"110020 PORTO VELHO";3303
"110025 PRESIDENTE MEDICI";90
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";202
"110029 SANTA LUZIA D'OESTE";45
"110030 VILHENA";721
"110032 SAO MIGUEL DO GUAPORE";120
"110033 NOVA MAMORE";34
"110034 ALVORADA D'OESTE";50
"110037 ALTO ALEGRE DOS PARECIS";51
"110040 ALTO PARAISO";28
"110045 BURITIS";58
"110050 NOVO HORIZONTE DO OESTE";29
"110060 CACAULANDIA";4
"110070 CAMPO NOVO DE RONDONIA";22
"110094 CUJUBIM";81
"110110 ITAPUA DO OESTE";3
"110120 MINISTRO ANDREAZZA";21
"110130 MIRANTE DA SERRA";48
"110140 MONTE NEGRO";5
"110143 NOVA UNIAO";3
"110145 PARECIS";25
"110146 PIMENTEIRAS DO OESTE";10
"110149 SAO FRANCISCO DO GUAPORE";103
"110150 SERINGUEIRAS";60
"110155 TEIXEIROPOLIS";6
"110160 THEOBROMA";8
"110170 URUPA";25
"110175 VALE DO ANARI";14
"110180 VALE DO PARAISO";5
"120001 ACRELANDIA";10
"120005 ASSIS BRASIL";31
"120010 BRASILEIA";125
"120020 CRUZEIRO DO SUL";588
"120033 MANCIO LIMA";66
"120034 MANOEL URBANO";15
"120038 PLACIDO DE CASTRO";38
"120039 PORTO WALTER";43
"120040 RIO BRANCO";2333
"120042 RODRIGUES ALVES";12
"120043 SANTA ROSA DO PURUS";26
"120045 SENADOR GUIOMARD";33
"120050 SENA MADUREIRA";261
"120060 TARAUACA";153
"120070 XAPURI";66
"130002 ALVARAES";45
"130014 APUI";92
"130020 ATALAIA DO NORTE";14
"130050 BARREIRINHA";31
"130060 BENJAMIN CONSTANT";90
"130063 BERURI";131
"130070 BOCA DO ACRE";89
"130080 BORBA";23
"130083 CAAPIRANGA";12
"130090 CANUTAMA";32
"130120 COARI";317
"130130 CODAJAS";80
"130160 FONTE BOA";95
"130170 HUMAITA";175
"130180 IPIXUNA";46
"130185 IRANDUBA";36
"130190 ITACOATIARA";320
"130220 JURUA";24
"130230 JUTAI";52
"130250 MANACAPURU";215
"130255 MANAQUIRI";17
"130260 MANAUS";8963
"130270 MANICORE";217
"130290 MAUES";237
"130300 NHAMUNDA";43
"130340 PARINTINS";481
"130353 PRESIDENTE FIGUEIREDO";56
"130356 RIO PRETO DA EVA";44
"130370 SANTO ANTONIO DO ICA";126
"130380 SAO GABRIEL DA CACHOEIRA";69
"130390 SAO PAULO DE OLIVENCA";49
"130395 SAO SEBASTIAO DO UATUMA";33
"130400 SILVES";39
"130406 TABATINGA";79
"130410 TAPAUA";35
"130420 TEFE";338
"130426 UARINI";39
"130440 URUCURITUBA";18
"140005 ALTO ALEGRE";18
"140010 BOA VISTA";2662
"140015 BONFIM";20
"140023 CAROEBE";32
"140030 MUCAJAI";18
"140040 NORMANDIA";30
"140045 PACARAIMA";23
"140047 RORAINOPOLIS";119
"140050 SAO JOAO DA BALIZA";40
"140060 SAO LUIZ";27
"150010 ABAETETUBA";599
"150013 ABEL FIGUEIREDO";76
"150020 ACARA";143
"150030 AFUA";61
"150034 AGUA AZUL DO NORTE";126
"150050 ALMEIRIM";74
"150060 ALTAMIRA";667
"150070 ANAJAS";126
"150080 ANANINDEUA";2692
"150085 ANAPU";110
"150090 AUGUSTO CORREA";182
"150095 AURORA DO PARA";121
"150120 BAIAO";112
"150125 BANNACH";33
"150130 BARCARENA";340
"150140 BELEM";9494
"150145 BELTERRA";35
"150157 BOM JESUS DO TOCANTINS";91
"150170 BRAGANCA";1342
"150172 BRASIL NOVO";103
"150175 BREJO GRANDE DO ARAGUAIA";48
"150178 BREU BRANCO";46
"150180 BREVES";699
"150190 BUJARU";166
"150200 CACHOEIRA DO ARARI";80
"150210 CAMETA";702
"150215 CANAA DOS CARAJAS";160
"150220 CAPANEMA";399
"150230 CAPITAO POCO";423
"150240 CASTANHAL";1092
"150250 CHAVES";6
"150270 CONCEICAO DO ARAGUAIA";339
"150275 CONCORDIA DO PARA";55
"150276 CUMARU DO NORTE";65
"150277 CURIONOPOLIS";49
"150280 CURRALINHO";130
"150290 CURUCA";105
"150293 DOM ELISEU";150
"150295 ELDORADO DOS CARAJAS";125
"150300 FARO";35
"150304 FLORESTA DO ARAGUAIA";116
"150309 GOIANESIA DO PARA";155
"150310 GURUPA";149
"150320 IGARAPE-ACU";68
"150330 IGARAPE-MIRI";588
"150345 IPIXUNA DO PARA";140
"150350 IRITUIA";115
"150360 ITAITUBA";497
"150370 ITUPIRANGA";127
"150375 JACAREACANGA";111
"150380 JACUNDA";246
"150390 JURUTI";95
"150400 LIMOEIRO DO AJURU";128
"150405 MAE DO RIO";111
"150420 MARABA";1309
"150430 MARACANA";74
"150442 MARITUBA";399
"150445 MEDICILANDIA";150
"150450 MELGACO";84
"150460 MOCAJUBA";140
"150470 MOJU";201
"150480 MONTE ALEGRE";155
"150490 MUANA";230
"150495 NOVA ESPERANCA DO PIRIA";186
"150503 NOVO PROGRESSO";212
"150506 NOVO REPARTIMENTO";147
"150510 OBIDOS";239
"150520 OEIRAS DO PARA";117
"150530 ORIXIMINA";357
"150540 OUREM";127
"150543 OURILANDIA DO NORTE";261
"150548 PACAJA";137
"150549 PALESTINA DO PARA";9
"150550 PARAGOMINAS";642
"150553 PARAUAPEBAS";855
"150555 PAU D'ARCO";33
"150563 PICARRA";54
"150565 PLACAS";109
"150570 PONTA DE PEDRAS";97
"150580 PORTEL";162
"150590 PORTO DE MOZ";133
"150600 PRAINHA";77
"150613 REDENCAO";676
"150616 RIO MARIA";58
"150618 RONDON DO PARA";289
"150619 RUROPOLIS";128
"150620 SALINOPOLIS";227
"150630 SALVATERRA";86
"150640 SANTA CRUZ DO ARARI";37
"150658 SANTA MARIA DAS BARREIRAS";48
"150660 SANTA MARIA DO PARA";171
"150670 SANTANA DO ARAGUAIA";204
"150680 SANTAREM";1677
"150700 SANTO ANTONIO DO TAUA";290
"150715 SAO DOMINGOS DO ARAGUAIA";43
"150720 SAO DOMINGOS DO CAPIM";84
"150730 SAO FELIX DO XINGU";406
"150745 SAO GERALDO DO ARAGUAIA";212
"150747 SAO JOAO DE PIRABAS";47
"150750 SAO JOAO DO ARAGUAIA";23
"150760 SAO MIGUEL DO GUAMA";107
"150770 SAO SEBASTIAO DA BOA VISTA";109
"150775 SAPUCAIA";33
"150780 SENADOR JOSE PORFIRIO";43
"150790 SOURE";126
"150795 TAILANDIA";250
"150797 TERRA SANTA";79
"150800 TOME-ACU";267
"150803 TRACUATEUA";100
"150805 TRAIRAO";99
"150808 TUCUMA";410
"150810 TUCURUI";418
"150812 ULIANOPOLIS";229
"150815 URUARA";312
"150820 VIGIA";169
"150830 VISEU";258
"150835 VITORIA DO XINGU";73
"150840 XINGUARA";253
"160010 AMAPA";20
"160015 PEDRA BRANCA DO AMAPARI";15
"160020 CALCOENE";33
"160027 LARANJAL DO JARI";281
"160030 MACAPA";1845
"160050 OIAPOQUE";61
"160053 PORTO GRANDE";25
"160060 SANTANA";396
"170070 ALVORADA";86
"170100 ANANAS";5
"170190 ARAGUACEMA";28
"170200 ARAGUACU";98
"170210 ARAGUAINA";1612
"170220 ARAGUATINS";20
"170230 ARAPOEMA";68
"170240 ARRAIAS";15
"170255 AUGUSTINOPOLIS";193
"170370 BREJINHO DE NAZARE";3
"170550 COLINAS DO TOCANTINS";117
"170610 CRISTALANDIA";6
"170700 DIANOPOLIS";69
"170710 DIVINOPOLIS DO TOCANTINS";4
"170900 GOIATINS";8
"170930 GUARAI";184
"170950 GURUPI";613
"171050 ITACAJA";45
"171190 LAGOA DA CONFUSAO";15
"171320 MIRACEMA DO TOCANTINS";174
"171330 MIRANORTE";24
"171420 NATIVIDADE";5
"171430 NAZARE";18
"171575 PALMEIROPOLIS";10
"171610 PARAISO DO TOCANTINS";164
"171620 PARANA";32
"171650 PEDRO AFONSO";53
"171660 PEIXE";39
"171670 COLMEIA";13
"171750 PIUM";30
"171790 PONTE ALTA DO TOCANTINS";1
"171820 PORTO NACIONAL";445
"172090 TAGUATINGA";12
"172100 PALMAS";1772
"172120 TOCANTINOPOLIS";78
"172210 XAMBIOA";75
"210005 ACAILANDIA";400
"210020 ALCANTARA";13
"210030 ALDEIAS ALTAS";133
"210043 ALTO ALEGRE DO MARANHAO";168
"210047 ALTO ALEGRE DO PINDARE";102
"210060 AMARANTE DO MARANHAO";234
"210070 ANAJATUBA";76
"210080 ANAPURUS";70
"210083 APICUM-ACU";92
"210087 ARAGUANA";80
"210090 ARAIOSES";94
"210095 ARAME";223
"210100 ARARI";123
"210110 AXIXA";89
"210120 BACABAL";212
"210140 BALSAS";435
