 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Mar/2018
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";174
"110002 ARIQUEMES";497
"110003 CABIXI";23
"110004 CACOAL";1176
"110005 CEREJEIRAS";98
"110006 COLORADO DO OESTE";75
"110008 COSTA MARQUES";73
"110009 ESPIGAO D'OESTE";189
"110010 GUAJARA-MIRIM";305
"110011 JARU";307
"110012 JI-PARANA";738
"110013 MACHADINHO D'OESTE";143
"110014 NOVA BRASILANDIA D'OESTE";71
"110015 OURO PRETO DO OESTE";205
"110018 PIMENTA BUENO";206
"110020 PORTO VELHO";4135
"110025 PRESIDENTE MEDICI";114
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";327
"110029 SANTA LUZIA D'OESTE";75
"110030 VILHENA";425
"110032 SAO MIGUEL DO GUAPORE";140
"110033 NOVA MAMORE";40
"110034 ALVORADA D'OESTE";62
"110037 ALTO ALEGRE DOS PARECIS";48
"110040 ALTO PARAISO";44
"110045 BURITIS";61
"110050 NOVO HORIZONTE DO OESTE";32
"110060 CACAULANDIA";5
"110070 CAMPO NOVO DE RONDONIA";25
"110094 CUJUBIM";82
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";9
"110130 MIRANTE DA SERRA";41
"110140 MONTE NEGRO";55
"110143 NOVA UNIAO";14
"110145 PARECIS";21
"110146 PIMENTEIRAS DO OESTE";11
"110149 SAO FRANCISCO DO GUAPORE";156
"110150 SERINGUEIRAS";53
"110155 TEIXEIROPOLIS";2
"110160 THEOBROMA";16
"110170 URUPA";14
"110175 VALE DO ANARI";10
"110180 VALE DO PARAISO";14
"120001 ACRELANDIA";12
"120010 BRASILEIA";196
"120020 CRUZEIRO DO SUL";628
"120030 FEIJO";41
"120033 MANCIO LIMA";21
"120038 PLACIDO DE CASTRO";35
"120040 RIO BRANCO";1787
"120042 RODRIGUES ALVES";20
"120045 SENADOR GUIOMARD";50
"120050 SENA MADUREIRA";262
"120060 TARAUACA";229
"120070 XAPURI";60
"130002 ALVARAES";62
"130010 ANORI";56
"130014 APUI";86
"130020 ATALAIA DO NORTE";51
"130030 AUTAZES";62
"130040 BARCELOS";55
"130050 BARREIRINHA";225
"130060 BENJAMIN CONSTANT";66
"130063 BERURI";56
"130070 BOCA DO ACRE";125
"130080 BORBA";188
"130083 CAAPIRANGA";25
"130090 CANUTAMA";43
"130100 CARAUARI";82
"130120 COARI";255
"130130 CODAJAS";160
"130140 EIRUNEPE";112
"130150 ENVIRA";100
"130170 HUMAITA";176
"130185 IRANDUBA";54
"130190 ITACOATIARA";383
"130210 JAPURA";18
"130220 JURUA";30
"130230 JUTAI";158
"130250 MANACAPURU";423
"130255 MANAQUIRI";23
"130260 MANAUS";10143
"130270 MANICORE";54
"130290 MAUES";275
"130300 NHAMUNDA";61
"130320 NOVO AIRAO";44
"130340 PARINTINS";503
"130350 PAUINI";52
"130353 PRESIDENTE FIGUEIREDO";75
"130356 RIO PRETO DA EVA";83
"130360 SANTA ISABEL DO RIO NEGRO";35
"130370 SANTO ANTONIO DO ICA";119
"130380 SAO GABRIEL DA CACHOEIRA";118
"130390 SAO PAULO DE OLIVENCA";81
"130395 SAO SEBASTIAO DO UATUMA";10
"130406 TABATINGA";66
"130420 TEFE";276
"130426 UARINI";44
"130440 URUCURITUBA";7
"140005 ALTO ALEGRE";11
"140010 BOA VISTA";3198
"140015 BONFIM";32
"140020 CARACARAI";9
"140023 CAROEBE";21
"140030 MUCAJAI";18
"140040 NORMANDIA";33
"140045 PACARAIMA";71
"140047 RORAINOPOLIS";152
"140050 SAO JOAO DA BALIZA";11
"140060 SAO LUIZ";11
"150010 ABAETETUBA";685
"150013 ABEL FIGUEIREDO";25
"150020 ACARA";106
"150030 AFUA";93
"150034 AGUA AZUL DO NORTE";122
"150040 ALENQUER";354
"150050 ALMEIRIM";171
"150060 ALTAMIRA";928
"150070 ANAJAS";99
"150080 ANANINDEUA";3261
"150085 ANAPU";159
"150090 AUGUSTO CORREA";311
"150095 AURORA DO PARA";105
"150120 BAIAO";196
"150125 BANNACH";25
"150130 BARCARENA";366
"150140 BELEM";9428
"150145 BELTERRA";16
"150157 BOM JESUS DO TOCANTINS";58
"150170 BRAGANCA";1178
"150172 BRASIL NOVO";201
"150175 BREJO GRANDE DO ARAGUAIA";55
"150178 BREU BRANCO";89
"150180 BREVES";898
"150190 BUJARU";137
"150200 CACHOEIRA DO ARARI";92
"150210 CAMETA";676
"150215 CANAA DOS CARAJAS";81
"150220 CAPANEMA";381
"150230 CAPITAO POCO";338
"150240 CASTANHAL";1172
"150250 CHAVES";10
"150270 CONCEICAO DO ARAGUAIA";332
"150275 CONCORDIA DO PARA";106
"150276 CUMARU DO NORTE";43
"150277 CURIONOPOLIS";87
"150280 CURRALINHO";155
"150290 CURUCA";54
"150293 DOM ELISEU";224
"150295 ELDORADO DOS CARAJAS";211
"150300 FARO";36
"150304 FLORESTA DO ARAGUAIA";98
"150309 GOIANESIA DO PARA";151
"150310 GURUPA";201
"150320 IGARAPE-ACU";73
"150330 IGARAPE-MIRI";571
"150340 INHANGAPI";16
"150345 IPIXUNA DO PARA";249
"150350 IRITUIA";116
"150360 ITAITUBA";455
"150370 ITUPIRANGA";118
"150375 JACAREACANGA";105
"150380 JACUNDA";153
"150390 JURUTI";145
"150400 LIMOEIRO DO AJURU";91
"150405 MAE DO RIO";196
"150420 MARABA";1374
"150430 MARACANA";39
"150440 MARAPANIM";22
"150442 MARITUBA";510
"150445 MEDICILANDIA";155
"150450 MELGACO";85
"150460 MOCAJUBA";158
"150470 MOJU";217
"150480 MONTE ALEGRE";250
"150490 MUANA";201
"150495 NOVA ESPERANCA DO PIRIA";53
"150503 NOVO PROGRESSO";187
"150506 NOVO REPARTIMENTO";184
"150510 OBIDOS";304
"150520 OEIRAS DO PARA";119
"150530 ORIXIMINA";381
"150540 OUREM";101
"150543 OURILANDIA DO NORTE";288
"150548 PACAJA";150
"150549 PALESTINA DO PARA";45
"150550 PARAGOMINAS";658
"150553 PARAUAPEBAS";712
"150555 PAU D'ARCO";17
"150563 PICARRA";58
"150565 PLACAS";121
"150570 PONTA DE PEDRAS";99
"150580 PORTEL";141
"150590 PORTO DE MOZ";264
"150600 PRAINHA";58
"150613 REDENCAO";677
"150616 RIO MARIA";102
"150618 RONDON DO PARA";347
"150619 RUROPOLIS";85
"150620 SALINOPOLIS";205
"150630 SALVATERRA";93
"150640 SANTA CRUZ DO ARARI";38
"150650 SANTA IZABEL DO PARA";44
"150658 SANTA MARIA DAS BARREIRAS";46
"150660 SANTA MARIA DO PARA";178
"150670 SANTANA DO ARAGUAIA";287
"150680 SANTAREM";1421
"150700 SANTO ANTONIO DO TAUA";394
"150715 SAO DOMINGOS DO ARAGUAIA";67
"150720 SAO DOMINGOS DO CAPIM";89
"150730 SAO FELIX DO XINGU";323
"150745 SAO GERALDO DO ARAGUAIA";167
"150747 SAO JOAO DE PIRABAS";33
"150750 SAO JOAO DO ARAGUAIA";26
"150760 SAO MIGUEL DO GUAMA";123
"150770 SAO SEBASTIAO DA BOA VISTA";117
"150775 SAPUCAIA";37
"150780 SENADOR JOSE PORFIRIO";88
"150790 SOURE";166
"150795 TAILANDIA";300
"150797 TERRA SANTA";74
"150800 TOME-ACU";200
"150803 TRACUATEUA";34
"150805 TRAIRAO";75
"150808 TUCUMA";347
"150810 TUCURUI";279
"150812 ULIANOPOLIS";252
"150815 URUARA";339
"150820 VIGIA";155
"150830 VISEU";261
"150835 VITORIA DO XINGU";76
"150840 XINGUARA";255
"160005 SERRA DO NAVIO";1
"160010 AMAPA";34
"160015 PEDRA BRANCA DO AMAPARI";16
"160020 CALCOENE";89
"160027 LARANJAL DO JARI";370
"160030 MACAPA";2082
"160040 MAZAGAO";10
"160050 OIAPOQUE";82
"160053 PORTO GRANDE";23
"160060 SANTANA";311
"170070 ALVORADA";29
"170100 ANANAS";28
"170190 ARAGUACEMA";16
"170200 ARAGUACU";66
"170210 ARAGUAINA";1825
"170220 ARAGUATINS";40
"170230 ARAPOEMA";132
"170240 ARRAIAS";9
"170255 AUGUSTINOPOLIS";138
"170370 BREJINHO DE NAZARE";3
"170550 COLINAS DO TOCANTINS";127
"170610 CRISTALANDIA";12
"170710 DIVINOPOLIS DO TOCANTINS";5
"170900 GOIATINS";24
"170930 GUARAI";169
"170950 GURUPI";549
"171050 ITACAJA";22
"171190 LAGOA DA CONFUSAO";14
"171320 MIRACEMA DO TOCANTINS";187
"171330 MIRANORTE";2
"171420 NATIVIDADE";16
"171430 NAZARE";12
"171575 PALMEIROPOLIS";3
"171610 PARAISO DO TOCANTINS";242
"171620 PARANA";42
"171650 PEDRO AFONSO";32
"171660 PEIXE";67
"171670 COLMEIA";8
"171750 PIUM";34
"171790 PONTE ALTA DO TOCANTINS";2
"171820 PORTO NACIONAL";549
"172090 TAGUATINGA";17
"172100 PALMAS";1712
"172120 TOCANTINOPOLIS";113
"172210 XAMBIOA";89
"210005 ACAILANDIA";548
"210020 ALCANTARA";7
"210030 ALDEIAS ALTAS";133
"210043 ALTO ALEGRE DO MARANHAO";366
"210047 ALTO ALEGRE DO PINDARE";220
"210050 ALTO PARNAIBA";61
"210060 AMARANTE DO MARANHAO";247
"210070 ANAJATUBA";56
"210080 ANAPURUS";72
"210083 APICUM-ACU";97
"210087 ARAGUANA";87
"210090 ARAIOSES";18
"210095 ARAME";239
"210100 ARARI";87
"210110 AXIXA";72
"210120 BACABAL";678
"210140 BALSAS";666
"210150 BARAO DE GRAJAU";52
"210160 BARRA DO CORDA";411
"210170 BARREIRINHAS";372
"210177 BELA VISTA DO MARANHAO";77
"210180 BENEDITO LEITE";57
"210190 BEQUIMAO";99
"210193 BERNARDO DO MEARIM";32
"210200 BOM JARDIM";191
"210203 BOM JESUS DAS SELVAS";113
"210210 BREJO";166
"210230 BURITI BRAVO";176
"210232 BURITICUPU";320
"210240 CAJAPIO";43
"210250 CAJARI";23
"210260 CANDIDO MENDES";41
"210270 CANTANHEDE";118
"210275 CAPINZAL DO NORTE";9
"210280 CAROLINA";90
"210290 CARUTAPERA";166
"210300 CAXIAS";1137
"210310 CEDRAL";60
"210312 CENTRAL DO MARANHAO";55
"210320 CHAPADINHA";414
"210325 CIDELANDIA";80
"210330 CODO";496
"210340 COELHO NETO";208
"210350 COLINAS";349
"210355 CONCEICAO DO LAGO-ACU";77
"210360 COROATA";367
"210370 CURURUPU";458
"210380 DOM PEDRO";141
"210390 DUQUE BACELAR";67
"210400 ESPERANTINOPOLIS";118
"210405 ESTREITO";230
"210407 FEIRA NOVA DO MARANHAO";56
"210408 FERNANDO FALCAO";17
"210409 FORMOSA DA SERRA NEGRA";59
"210410 FORTALEZA DOS NOGUEIRAS";91
"210420 FORTUNA";60
"210440 GONCALVES DIAS";80
"210450 GOVERNADOR ARCHER";51
"210455 GOVERNADOR EDISON LOBAO";27
"210460 GOVERNADOR EUGENIO BARROS";103
"210462 GOVERNADOR LUIZ ROCHA";48
"210465 GOVERNADOR NEWTON BELLO";47
"210467 GOVERNADOR NUNES FREIRE";515
"210470 GRACA ARANHA";41
"210480 GRAJAU";558
"210490 GUIMARAES";80
"210500 HUMBERTO DE CAMPOS";25
"210510 ICATU";73
"210515 IGARAPE DO MEIO";70
"210520 IGARAPE GRANDE";70
"210530 IMPERATRIZ";2805
"210535 ITAIPAVA DO GRAJAU";108
"210540 ITAPECURU MIRIM";272
"210542 ITINGA DO MARANHAO";146
"210547 JENIPAPO DOS VIEIRAS";88
"210550 JOAO LISBOA";73
"210560 JOSELANDIA";95
"210570 LAGO DA PEDRA";428
"210580 LAGO DO JUNCO";98
"210592 LAGOA DO MATO";19
"210594 LAGO DOS RODRIGUES";43
"210596 LAGOA GRANDE DO MARANHAO";94
"210600 LIMA CAMPOS";74
"210610 LORETO";53
"210630 MAGALHAES DE ALMEIDA";17
"210640 MATA ROMA";45
"210650 MATINHA";110
"210660 MATOES";137
"210663 MATOES DO NORTE";179
"210670 MIRADOR";113
"210675 MIRANDA DO NORTE";13
"210680 MIRINZAL";89
"210690 MONCAO";239
"210700 MONTES ALTOS";79
"210710 MORROS";167
"210720 NINA RODRIGUES";66
"210725 NOVA COLINAS";18
"210735 NOVA OLINDA DO MARANHAO";130
"210740 OLHO D'AGUA DAS CUNHAS";83
"210745 OLINDA NOVA DO MARANHAO";79
"210750 PACO DO LUMIAR";40
"210760 PALMEIRANDIA";88
"210770 PARAIBANO";82
"210780 PARNARAMA";53
"210790 PASSAGEM FRANCA";459
"210800 PASTOS BONS";106
"210805 PAULINO NEVES";119
"210810 PAULO RAMOS";129
"210820 PEDREIRAS";474
"210825 PEDRO DO ROSARIO";108
"210830 PENALVA";153
"210840 PERI MIRIM";51
"210845 PERITORO";237
"210850 PINDARE-MIRIM";104
"210860 PINHEIRO";1043
"210870 PIO XII";123
"210880 PIRAPEMAS";67
"210890 POCAO DE PEDRAS";87
"210900 PORTO FRANCO";350
"210910 PRESIDENTE DUTRA";672
"210920 PRESIDENTE JUSCELINO";36
"210927 PRESIDENTE SARNEY";76
"210930 PRESIDENTE VARGAS";39
"210940 PRIMEIRA CRUZ";97
"210945 RAPOSA";11
"210950 RIACHAO";169
"210960 ROSARIO";265
"210970 SAMBAIBA";29
"210975 SANTA FILOMENA DO MARANHAO";30
"210980 SANTA HELENA";186
"210990 SANTA INES";833
"211000 SANTA LUZIA";288
"211010 SANTA QUITERIA DO MARANHAO";145
"211020 SANTA RITA";204
"211023 SANTANA DO MARANHAO";34
"211027 SANTO AMARO DO MARANHAO";29
"211030 SANTO ANTONIO DOS LOPES";92
"211040 SAO BENEDITO DO RIO PRETO";107
"211050 SAO BENTO";219
"211060 SAO BERNARDO";166
"211070 SAO DOMINGOS DO MARANHAO";132
"211080 SAO FELIX DE BALSAS";33
"211085 SAO FRANCISCO DO BREJAO";49
"211090 SAO FRANCISCO DO MARANHAO";65
"211100 SAO JOAO BATISTA";119
"211102 SAO JOAO DO CARU";80
"211107 SAO JOAO DO SOTER";98
"211110 SAO JOAO DOS PATOS";99
"211120 SAO JOSE DE RIBAMAR";192
"211125 SAO JOSE DOS BASILIOS";59
"211130 SAO LUIS";8870
"211140 SAO LUIS GONZAGA DO MARANHAO";131
"211150 SAO MATEUS DO MARANHAO";17
"211157 SAO PEDRO DOS CRENTES";79
"211160 SAO RAIMUNDO DAS MANGABEIRAS";102
"211163 SAO RAIMUNDO DO DOCA BEZERRA";57
"211170 SAO VICENTE FERRER";153
"211172 SATUBINHA";16
"211174 SENADOR ALEXANDRE COSTA";57
"211178 SERRANO DO MARANHAO";93
"211180 SITIO NOVO";116
"211190 SUCUPIRA DO NORTE";59
"211195 SUCUPIRA DO RIACHAO";28
"211200 TASSO FRAGOSO";42
"211210 TIMBIRAS";235
"211220 TIMON";667
"211223 TRIZIDELA DO VALE";119
"211227 TUFILANDIA";98
"211230 TUNTUM";366
"211250 TUTOIA";141
"211260 URBANO SANTOS";135
"211270 VARGEM GRANDE";198
"211280 VIANA";184
"211285 VILA NOVA DOS MARTIRIOS";57
"211290 VITORIA DO MEARIM";91
"211300 VITORINO FREIRE";197
"211400 ZE DOCA";400
"220010 AGRICOLANDIA";13
"220020 AGUA BRANCA";69
"220030 ALTO LONGA";22
"220040 ALTOS";126
"220050 AMARANTE";128
"220100 ARRAIAL";7
"220110 AVELINO LOPES";9
"220120 BARRAS";79
"220150 BATALHA";117
"220160 BENEDITINOS";32
"220180 BOCAINA";30
"220190 BOM JESUS";363
"220220 CAMPO MAIOR";619
"220230 CANTO DO BURITI";146
"220260 CASTELO DO PIAUI";79
"220270 COCAL";35
"220290 CORRENTE";150
"220310 CRISTINO CASTRO";55
"220320 CURIMATA";153
"220330 DEMERVAL LOBAO";51
"220350 ELESBAO VELOSO";97
"220370 ESPERANTINA";305
"220390 FLORIANO";840
"220430 FRONTEIRAS";181
"220450 GUADALUPE";108
"220470 INHUMA";13
"220480 IPIRANGA DO PIAUI";21
"220510 ITAUEIRA";53
"220520 JAICOS";90
"220540 JOAQUIM PIRES";23
"220550 JOSE DE FREITAS";97
"220570 LUIS CORREIA";24
"220580 LUZILANDIA";209
"220590 MANOEL EMIDIO";6
"220620 MIGUEL ALVES";124
"220650 MONSENHOR HIPOLITO";29
"220700 OEIRAS";479
"220760 PARNAGUA";122
"220770 PARNAIBA";1628
"220780 PAULISTANA";161
"220790 PEDRO II";181
"220800 PICOS";568
"220810 PIMENTEIRAS";10
"220820 PIO IX";19
"220830 PIRACURUCA";71
"220840 PIRIPIRI";328
"220850 PORTO";25
"220880 REGENERACAO";117
"220960 SAO FELIX DO PIAUI";2
"220990 SAO JOAO DA SERRA";18
"221000 SAO JOAO DO PIAUI";107
"221030 SAO JULIAO";32
"221040 SAO MIGUEL DO TAPUIO";55
"221060 SAO RAIMUNDO NONATO";888
"221070 SIMOES";133
"221080 SIMPLICIO MENDES";28
"221100 TERESINA";8478
"221110 UNIAO";116
"221120 URUCUI";164
"221130 VALENCA DO PIAUI";281
"221170 WALL FERRAZ";29
"230020 ACARAU";401
"230030 ACOPIARA";122
"230040 AIUABA";16
"230060 ALTANEIRA";33
"230070 ALTO SANTO";21
"230075 AMONTADA";1
"230080 ANTONINA DO NORTE";2
"230090 APUIARES";2
"230100 AQUIRAZ";62
"230110 ARACATI";319
"230120 ARACOIABA";186
"230125 ARARENDA";5
"230130 ARARIPE";31
"230140 ARATUBA";20
"230150 ARNEIROZ";1
"230160 ASSARE";52
"230170 AURORA";112
"230180 BAIXIO";14
"230185 BANABUIU";19
"230190 BARBALHA";1271
"230195 BARREIRA";10
"230200 BARRO";27
"230210 BATURITE";207
"230220 BEBERIBE";38
"230230 BELA CRUZ";33
"230240 BOA VIAGEM";123
"230250 BREJO SANTO";820
"230260 CAMOCIM";371
"230270 CAMPOS SALES";83
"230280 CANINDE";585
"230290 CAPISTRANO";6
"230300 CARIDADE";4
"230310 CARIRE";36
"230320 CARIRIACU";26
"230330 CARIUS";19
"230340 CARNAUBAL";37
"230350 CASCAVEL";154
"230360 CATARINA";31
"230365 CATUNDA";1
"230370 CAUCAIA";557
"230380 CEDRO";118
"230390 CHAVAL";8
"230393 CHORO";17
"230395 CHOROZINHO";5
"230400 COREAU";8
"230410 CRATEUS";903
"230420 CRATO";904
"230423 CROATA";39
"230425 CRUZ";49
"230426 DEPUTADO IRAPUAN PINHEIRO";12
"230427 ERERE";1
"230428 EUSEBIO";311
"230430 FARIAS BRITO";51
"230440 FORTALEZA";17913
"230445 FORTIM";6
"230450 FRECHEIRINHA";25
"230460 GENERAL SAMPAIO";13
"230470 GRANJA";94
"230480 GRANJEIRO";3
"230490 GROAIRAS";11
"230495 GUAIUBA";2
"230500 GUARACIABA DO NORTE";118
"230510 GUARAMIRANGA";3
"230520 HIDROLANDIA";14
"230523 HORIZONTE";125
"230526 IBARETAMA";7
"230530 IBIAPINA";61
"230540 ICO";258
"230550 IGUATU";730
"230560 INDEPENDENCIA";15
"230565 IPAPORANGA";48
"230570 IPAUMIRIM";10
"230580 IPU";117
