 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Set/2020
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";108
"110002 ARIQUEMES";473
"110003 CABIXI";11
"110004 CACOAL";626
"110005 CEREJEIRAS";44
"110006 COLORADO DO OESTE";29
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";92
"110010 GUAJARA-MIRIM";204
"110011 JARU";231
"110012 JI-PARANA";510
"110013 MACHADINHO D'OESTE";133
"110014 NOVA BRASILANDIA D'OESTE";28
"110015 OURO PRETO DO OESTE";205
"110018 PIMENTA BUENO";183
"110020 PORTO VELHO";4522
"110025 PRESIDENTE MEDICI";36
"110026 RIO CRESPO";4
"110028 ROLIM DE MOURA";289
"110029 SANTA LUZIA D'OESTE";32
"110030 VILHENA";741
"110032 SAO MIGUEL DO GUAPORE";98
"110033 NOVA MAMORE";48
"110034 ALVORADA D'OESTE";34
"110037 ALTO ALEGRE DOS PARECIS";27
"110040 ALTO PARAISO";29
"110045 BURITIS";85
"110050 NOVO HORIZONTE DO OESTE";22
"110060 CACAULANDIA";3
"110070 CAMPO NOVO DE RONDONIA";7
"110094 CUJUBIM";13
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";8
"110130 MIRANTE DA SERRA";20
"110140 MONTE NEGRO";37
"110143 NOVA UNIAO";3
"110145 PARECIS";23
"110146 PIMENTEIRAS DO OESTE";5
"110149 SAO FRANCISCO DO GUAPORE";88
"110150 SERINGUEIRAS";35
"110155 TEIXEIROPOLIS";7
"110160 THEOBROMA";10
"110170 URUPA";11
"110180 VALE DO PARAISO";4
"120001 ACRELANDIA";11
"120005 ASSIS BRASIL";47
"120010 BRASILEIA";170
"120020 CRUZEIRO DO SUL";792
"120030 FEIJO";1
"120033 MANCIO LIMA";14
"120034 MANOEL URBANO";25
"120035 MARECHAL THAUMATURGO";26
"120038 PLACIDO DE CASTRO";13
"120040 RIO BRANCO";1974
"120042 RODRIGUES ALVES";24
"120045 SENADOR GUIOMARD";21
"120050 SENA MADUREIRA";172
"120060 TARAUACA";170
"120070 XAPURI";38
"130002 ALVARAES";107
"130006 AMATURA";21
"130010 ANORI";62
"130014 APUI";75
"130030 AUTAZES";78
"130050 BARREIRINHA";97
"130060 BENJAMIN CONSTANT";128
"130063 BERURI";56
"130068 BOA VISTA DO RAMOS";99
"130070 BOCA DO ACRE";127
"130080 BORBA";293
"130083 CAAPIRANGA";59
"130090 CANUTAMA";37
"130100 CARAUARI";111
"130110 CAREIRO";67
"130120 COARI";293
"130130 CODAJAS";66
"130150 ENVIRA";66
"130160 FONTE BOA";126
"130165 GUAJARA";18
"130170 HUMAITA";166
"130180 IPIXUNA";70
"130185 IRANDUBA";7
"130190 ITACOATIARA";392
"130210 JAPURA";36
"130220 JURUA";72
"130230 JUTAI";68
"130240 LABREA";109
"130250 MANACAPURU";393
"130255 MANAQUIRI";61
"130260 MANAUS";9227
"130270 MANICORE";140
"130290 MAUES";270
"130300 NHAMUNDA";80
"130310 NOVA OLINDA DO NORTE";168
"130320 NOVO AIRAO";61
"130340 PARINTINS";608
"130353 PRESIDENTE FIGUEIREDO";82
"130356 RIO PRETO DA EVA";30
"130360 SANTA ISABEL DO RIO NEGRO";62
"130370 SANTO ANTONIO DO ICA";75
"130380 SAO GABRIEL DA CACHOEIRA";89
"130390 SAO PAULO DE OLIVENCA";90
"130395 SAO SEBASTIAO DO UATUMA";38
"130400 SILVES";25
"130406 TABATINGA";211
"130410 TAPAUA";118
"130420 TEFE";414
"130423 TONANTINS";40
"130426 UARINI";81
"130430 URUCARA";46
"140005 ALTO ALEGRE";12
"140010 BOA VISTA";2755
"140015 BONFIM";2
"140020 CARACARAI";11
"140023 CAROEBE";15
"140030 MUCAJAI";18
"140040 NORMANDIA";30
"140045 PACARAIMA";33
"140047 RORAINOPOLIS";150
"140050 SAO JOAO DA BALIZA";28
"140060 SAO LUIZ";9
"150010 ABAETETUBA";315
"150013 ABEL FIGUEIREDO";19
"150020 ACARA";106
"150030 AFUA";76
"150034 AGUA AZUL DO NORTE";77
"150040 ALENQUER";287
"150050 ALMEIRIM";96
"150060 ALTAMIRA";924
"150070 ANAJAS";91
"150080 ANANINDEUA";2704
"150085 ANAPU";110
"150090 AUGUSTO CORREA";243
"150095 AURORA DO PARA";79
"150120 BAIAO";73
"150125 BANNACH";17
"150130 BARCARENA";590
"150140 BELEM";8544
"150145 BELTERRA";32
"150157 BOM JESUS DO TOCANTINS";54
"150170 BRAGANCA";860
"150172 BRASIL NOVO";138
"150175 BREJO GRANDE DO ARAGUAIA";59
"150178 BREU BRANCO";54
"150180 BREVES";719
"150190 BUJARU";159
"150200 CACHOEIRA DO ARARI";54
"150210 CAMETA";576
"150215 CANAA DOS CARAJAS";160
"150220 CAPANEMA";419
"150230 CAPITAO POCO";139
"150240 CASTANHAL";1802
"150250 CHAVES";44
"150270 CONCEICAO DO ARAGUAIA";350
"150275 CONCORDIA DO PARA";60
"150276 CUMARU DO NORTE";33
"150277 CURIONOPOLIS";115
"150280 CURRALINHO";119
"150290 CURUCA";54
"150293 DOM ELISEU";217
"150295 ELDORADO DOS CARAJAS";61
"150300 FARO";34
"150304 FLORESTA DO ARAGUAIA";110
"150307 GARRAFAO DO NORTE";43
"150309 GOIANESIA DO PARA";52
"150310 GURUPA";190
"150320 IGARAPE-ACU";9
"150330 IGARAPE-MIRI";601
"150345 IPIXUNA DO PARA";189
"150350 IRITUIA";17
"150360 ITAITUBA";347
"150370 ITUPIRANGA";97
"150375 JACAREACANGA";38
"150380 JACUNDA";146
"150390 JURUTI";170
"150400 LIMOEIRO DO AJURU";165
"150405 MAE DO RIO";115
"150420 MARABA";1320
"150430 MARACANA";42
"150440 MARAPANIM";23
"150442 MARITUBA";478
"150445 MEDICILANDIA";42
"150450 MELGACO";66
"150460 MOCAJUBA";146
"150470 MOJU";147
"150480 MONTE ALEGRE";214
"150490 MUANA";151
"150495 NOVA ESPERANCA DO PIRIA";78
"150497 NOVA IPIXUNA";9
"150503 NOVO PROGRESSO";168
"150506 NOVO REPARTIMENTO";98
"150510 OBIDOS";201
"150520 OEIRAS DO PARA";89
"150530 ORIXIMINA";327
"150540 OUREM";61
"150543 OURILANDIA DO NORTE";259
"150548 PACAJA";107
"150549 PALESTINA DO PARA";32
"150550 PARAGOMINAS";517
"150553 PARAUAPEBAS";670
"150555 PAU D'ARCO";13
"150565 PLACAS";95
"150570 PONTA DE PEDRAS";53
"150580 PORTEL";158
"150590 PORTO DE MOZ";182
"150600 PRAINHA";52
"150613 REDENCAO";723
"150616 RIO MARIA";101
"150618 RONDON DO PARA";266
"150619 RUROPOLIS";105
"150620 SALINOPOLIS";191
"150630 SALVATERRA";76
"150640 SANTA CRUZ DO ARARI";38
"150650 SANTA IZABEL DO PARA";79
"150658 SANTA MARIA DAS BARREIRAS";41
"150660 SANTA MARIA DO PARA";69
"150670 SANTANA DO ARAGUAIA";185
"150680 SANTAREM";2009
"150700 SANTO ANTONIO DO TAUA";167
"150715 SAO DOMINGOS DO ARAGUAIA";24
"150720 SAO DOMINGOS DO CAPIM";89
"150730 SAO FELIX DO XINGU";380
"150745 SAO GERALDO DO ARAGUAIA";44
"150747 SAO JOAO DE PIRABAS";57
"150750 SAO JOAO DO ARAGUAIA";9
"150760 SAO MIGUEL DO GUAMA";51
"150770 SAO SEBASTIAO DA BOA VISTA";91
"150775 SAPUCAIA";23
"150780 SENADOR JOSE PORFIRIO";63
"150790 SOURE";164
"150795 TAILANDIA";297
"150797 TERRA SANTA";85
"150800 TOME-ACU";274
"150803 TRACUATEUA";33
"150805 TRAIRAO";111
"150808 TUCUMA";251
"150810 TUCURUI";375
"150812 ULIANOPOLIS";150
"150815 URUARA";236
"150820 VIGIA";101
"150830 VISEU";153
"150835 VITORIA DO XINGU";88
"150840 XINGUARA";194
"160010 AMAPA";21
