 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Dez/2021
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";113
"110002 ARIQUEMES";555
"110003 CABIXI";13
"110004 CACOAL";992
"110005 CEREJEIRAS";55
"110006 COLORADO DO OESTE";29
"110008 COSTA MARQUES";29
"110009 ESPIGAO D'OESTE";127
"110010 GUAJARA-MIRIM";223
"110011 JARU";222
"110012 JI-PARANA";894
"110013 MACHADINHO D'OESTE";102
"110014 NOVA BRASILANDIA D'OESTE";75
"110015 OURO PRETO DO OESTE";238
"110018 PIMENTA BUENO";229
"110020 PORTO VELHO";4057
"110025 PRESIDENTE MEDICI";22
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";220
"110029 SANTA LUZIA D'OESTE";35
"110030 VILHENA";720
"110032 SAO MIGUEL DO GUAPORE";158
"110033 NOVA MAMORE";73
"110034 ALVORADA D'OESTE";59
"110037 ALTO ALEGRE DOS PARECIS";77
"110040 ALTO PARAISO";13
"110045 BURITIS";81
"110050 NOVO HORIZONTE DO OESTE";41
"110060 CACAULANDIA";16
"110070 CAMPO NOVO DE RONDONIA";9
"110094 CUJUBIM";82
"110110 ITAPUA DO OESTE";2
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";28
"110140 MONTE NEGRO";27
"110143 NOVA UNIAO";12
"110145 PARECIS";28
"110146 PIMENTEIRAS DO OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";66
"110150 SERINGUEIRAS";22
"110155 TEIXEIROPOLIS";5
"110160 THEOBROMA";10
"110170 URUPA";25
"110175 VALE DO ANARI";11
"110180 VALE DO PARAISO";14
"120001 ACRELANDIA";10
"120005 ASSIS BRASIL";47
"120010 BRASILEIA";215
"120020 CRUZEIRO DO SUL";826
"120030 FEIJO";82
"120033 MANCIO LIMA";26
"120034 MANOEL URBANO";28
"120035 MARECHAL THAUMATURGO";16
"120038 PLACIDO DE CASTRO";57
"120040 RIO BRANCO";2206
"120042 RODRIGUES ALVES";39
"120043 SANTA ROSA DO PURUS";23
"120045 SENADOR GUIOMARD";39
"120050 SENA MADUREIRA";187
"120060 TARAUACA";144
"120070 XAPURI";47
"130006 AMATURA";28
"130008 ANAMA";57
"130010 ANORI";109
"130014 APUI";161
"130020 ATALAIA DO NORTE";22
"130030 AUTAZES";110
"130040 BARCELOS";50
"130050 BARREIRINHA";71
"130060 BENJAMIN CONSTANT";85
"130063 BERURI";69
"130068 BOA VISTA DO RAMOS";55
"130070 BOCA DO ACRE";155
"130080 BORBA";104
"130083 CAAPIRANGA";43
"130090 CANUTAMA";86
"130100 CARAUARI";119
"130110 CAREIRO";65
"130115 CAREIRO DA VARZEA";4
"130120 COARI";370
"130130 CODAJAS";37
"130140 EIRUNEPE";145
"130150 ENVIRA";17
"130160 FONTE BOA";146
"130165 GUAJARA";40
"130170 HUMAITA";237
"130180 IPIXUNA";139
"130185 IRANDUBA";22
"130190 ITACOATIARA";430
"130200 ITAPIRANGA";39
"130210 JAPURA";39
"130220 JURUA";77
"130230 JUTAI";96
"130240 LABREA";204
"130250 MANACAPURU";509
"130255 MANAQUIRI";61
"130260 MANAUS";9424
"130270 MANICORE";121
"130280 MARAA";193
"130290 MAUES";323
"130300 NHAMUNDA";35
"130310 NOVA OLINDA DO NORTE";97
"130320 NOVO AIRAO";72
"130330 NOVO ARIPUANA";142
"130340 PARINTINS";581
"130350 PAUINI";227
"130353 PRESIDENTE FIGUEIREDO";70
"130356 RIO PRETO DA EVA";22
"130360 SANTA ISABEL DO RIO NEGRO";53
"130370 SANTO ANTONIO DO ICA";113
"130380 SAO GABRIEL DA CACHOEIRA";2
"130390 SAO PAULO DE OLIVENCA";123
"130395 SAO SEBASTIAO DO UATUMA";58
"130406 TABATINGA";216
"130410 TAPAUA";115
"130420 TEFE";440
"130423 TONANTINS";100
"130426 UARINI";84
"130430 URUCARA";60
"130440 URUCURITUBA";46
"140005 ALTO ALEGRE";10
"140010 BOA VISTA";3365
"140015 BONFIM";3
"140020 CARACARAI";13
"140023 CAROEBE";21
"140040 NORMANDIA";13
"140045 PACARAIMA";42
"140047 RORAINOPOLIS";177
"140050 SAO JOAO DA BALIZA";13
"140060 SAO LUIZ";9
"150010 ABAETETUBA";875
"150013 ABEL FIGUEIREDO";46
"150020 ACARA";123
"150034 AGUA AZUL DO NORTE";96
"150040 ALENQUER";367
"150050 ALMEIRIM";147
"150060 ALTAMIRA";985
"150070 ANAJAS";133
"150080 ANANINDEUA";2184
"150085 ANAPU";100
"150090 AUGUSTO CORREA";211
"150095 AURORA DO PARA";90
"150110 BAGRE";7
"150120 BAIAO";159
"150125 BANNACH";18
"150130 BARCARENA";600
"150140 BELEM";10062
"150145 BELTERRA";42
"150157 BOM JESUS DO TOCANTINS";79
"150170 BRAGANCA";949
"150172 BRASIL NOVO";205
"150175 BREJO GRANDE DO ARAGUAIA";56
"150178 BREU BRANCO";55
"150180 BREVES";705
"150200 CACHOEIRA DO ARARI";93
"150210 CAMETA";608
"150215 CANAA DOS CARAJAS";220
"150220 CAPANEMA";508
"150230 CAPITAO POCO";211
"150240 CASTANHAL";1552
"150270 CONCEICAO DO ARAGUAIA";432
"150275 CONCORDIA DO PARA";63
"150276 CUMARU DO NORTE";90
"150277 CURIONOPOLIS";104
"150280 CURRALINHO";163
"150290 CURUCA";106
"150293 DOM ELISEU";182
"150295 ELDORADO DOS CARAJAS";102
"150304 FLORESTA DO ARAGUAIA";142
"150307 GARRAFAO DO NORTE";40
"150309 GOIANESIA DO PARA";124
"150310 GURUPA";204
"150320 IGARAPE-ACU";87
"150330 IGARAPE-MIRI";615
"150345 IPIXUNA DO PARA";360
"150350 IRITUIA";69
"150360 ITAITUBA";644
"150370 ITUPIRANGA";82
"150380 JACUNDA";123
"150390 JURUTI";208
"150400 LIMOEIRO DO AJURU";84
"150405 MAE DO RIO";201
"150420 MARABA";1446
"150430 MARACANA";32
"150440 MARAPANIM";17
"150442 MARITUBA";533
"150445 MEDICILANDIA";248
"150450 MELGACO";82
"150460 MOCAJUBA";135
"150470 MOJU";247
"150480 MONTE ALEGRE";293
"150490 MUANA";154
"150495 NOVA ESPERANCA DO PIRIA";28
"150497 NOVA IPIXUNA";18
"150503 NOVO PROGRESSO";98
"150506 NOVO REPARTIMENTO";109
"150510 OBIDOS";215
"150520 OEIRAS DO PARA";117
"150530 ORIXIMINA";358
"150540 OUREM";92
"150543 OURILANDIA DO NORTE";452
"150548 PACAJA";201
"150549 PALESTINA DO PARA";108
"150550 PARAGOMINAS";700
"150553 PARAUAPEBAS";742
"150555 PAU D'ARCO";29
"150563 PICARRA";61
"150565 PLACAS";152
"150580 PORTEL";185
"150590 PORTO DE MOZ";133
"150600 PRAINHA";50
"150613 REDENCAO";870
"150616 RIO MARIA";125
"150618 RONDON DO PARA";304
"150619 RUROPOLIS";135
"150620 SALINOPOLIS";244
"150630 SALVATERRA";72
"150640 SANTA CRUZ DO ARARI";40
"150650 SANTA IZABEL DO PARA";104
"150658 SANTA MARIA DAS BARREIRAS";65
"150660 SANTA MARIA DO PARA";72
"150670 SANTANA DO ARAGUAIA";262
"150680 SANTAREM";1591
"150700 SANTO ANTONIO DO TAUA";174
"150715 SAO DOMINGOS DO ARAGUAIA";30
"150720 SAO DOMINGOS DO CAPIM";69
"150730 SAO FELIX DO XINGU";269
"150745 SAO GERALDO DO ARAGUAIA";145
"150747 SAO JOAO DE PIRABAS";19
"150750 SAO JOAO DO ARAGUAIA";20
"150760 SAO MIGUEL DO GUAMA";218
"150775 SAPUCAIA";53
"150780 SENADOR JOSE PORFIRIO";65
"150790 SOURE";146
"150795 TAILANDIA";345
"150797 TERRA SANTA";82
"150800 TOME-ACU";206
"150803 TRACUATEUA";73
"150805 TRAIRAO";114
"150808 TUCUMA";423
"150810 TUCURUI";502
"150812 ULIANOPOLIS";255
"150815 URUARA";299
"150820 VIGIA";116
"150830 VISEU";154
"150835 VITORIA DO XINGU";103
"150840 XINGUARA";180
"160010 AMAPA";36
"160015 PEDRA BRANCA DO AMAPARI";10
"160020 CALCOENE";23
"160023 FERREIRA GOMES";13
"160027 LARANJAL DO JARI";379
"160030 MACAPA";1988
"160040 MAZAGAO";13
"160050 OIAPOQUE";170
"160053 PORTO GRANDE";22
