 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Nov/2023
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";290
"110002 ARIQUEMES";514
"110003 CABIXI";21
"110004 CACOAL";1513
"110005 CEREJEIRAS";84
"110006 COLORADO DO OESTE";44
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";108
"110010 GUAJARA-MIRIM";295
"110011 JARU";242
"110012 JI-PARANA";520
"110013 MACHADINHO D'OESTE";252
"110014 NOVA BRASILANDIA D'OESTE";104
"110015 OURO PRETO DO OESTE";262
"110018 PIMENTA BUENO";240
"110020 PORTO VELHO";4286
"110025 PRESIDENTE MEDICI";63
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";359
"110029 SANTA LUZIA D'OESTE";34
"110030 VILHENA";1001
"110032 SAO MIGUEL DO GUAPORE";101
"110033 NOVA MAMORE";70
"110034 ALVORADA D'OESTE";58
"110037 ALTO ALEGRE DOS PARECIS";43
"110040 ALTO PARAISO";17
"110045 BURITIS";124
"110060 CACAULANDIA";4
"110070 CAMPO NOVO DE RONDONIA";13
"110080 CANDEIAS DO JAMARI";12
"110094 CUJUBIM";58
"110100 GOVERNADOR JORGE TEIXEIRA";11
"110120 MINISTRO ANDREAZZA";23
"110130 MIRANTE DA SERRA";26
"110140 MONTE NEGRO";127
"110143 NOVA UNIAO";9
"110145 PARECIS";51
"110146 PIMENTEIRAS DO OESTE";4
"110148 SAO FELIPE D'OESTE";5
"110149 SAO FRANCISCO DO GUAPORE";130
"110150 SERINGUEIRAS";99
"110155 TEIXEIROPOLIS";5
"110160 THEOBROMA";11
"110170 URUPA";55
"110175 VALE DO ANARI";4
"110180 VALE DO PARAISO";18
"120001 ACRELANDIA";17
"120005 ASSIS BRASIL";69
"120010 BRASILEIA";436
"120020 CRUZEIRO DO SUL";1150
"120030 FEIJO";89
"120033 MANCIO LIMA";60
"120034 MANOEL URBANO";42
"120035 MARECHAL THAUMATURGO";36
"120038 PLACIDO DE CASTRO";94
"120039 PORTO WALTER";14
"120040 RIO BRANCO";2914
"120042 RODRIGUES ALVES";25
"120045 SENADOR GUIOMARD";70
"120050 SENA MADUREIRA";138
"120060 TARAUACA";281
"120070 XAPURI";74
"130002 ALVARAES";51
"130006 AMATURA";45
"130008 ANAMA";148
"130010 ANORI";172
"130014 APUI";100
"130020 ATALAIA DO NORTE";48
"130030 AUTAZES";96
"130040 BARCELOS";66
"130050 BARREIRINHA";125
"130060 BENJAMIN CONSTANT";211
"130063 BERURI";51
"130068 BOA VISTA DO RAMOS";65
"130070 BOCA DO ACRE";225
"130080 BORBA";194
"130083 CAAPIRANGA";35
"130090 CANUTAMA";54
"130100 CARAUARI";142
"130110 CAREIRO";77
"130120 COARI";429
"130130 CODAJAS";89
"130140 EIRUNEPE";148
"130150 ENVIRA";74
"130160 FONTE BOA";106
