 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jul/2024
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";238
"110002 ARIQUEMES";454
"110003 CABIXI";15
"110004 CACOAL";1284
"110005 CEREJEIRAS";42
"110006 COLORADO DO OESTE";86
"110009 ESPIGAO D'OESTE";117
"110010 GUAJARA-MIRIM";314
"110011 JARU";274
"110012 JI-PARANA";1230
"110013 MACHADINHO D'OESTE";251
"110014 NOVA BRASILANDIA D'OESTE";75
"110015 OURO PRETO DO OESTE";220
"110018 PIMENTA BUENO";225
"110020 PORTO VELHO";4575
"110025 PRESIDENTE MEDICI";98
"110026 RIO CRESPO";6
"110028 ROLIM DE MOURA";298
"110029 SANTA LUZIA D'OESTE";52
"110030 VILHENA";1074
"110032 SAO MIGUEL DO GUAPORE";86
"110033 NOVA MAMORE";107
"110034 ALVORADA D'OESTE";68
"110037 ALTO ALEGRE DOS PARECIS";56
"110040 ALTO PARAISO";16
"110045 BURITIS";82
"110050 NOVO HORIZONTE DO OESTE";111
"110060 CACAULANDIA";5
"110070 CAMPO NOVO DE RONDONIA";10
"110080 CANDEIAS DO JAMARI";15
"110094 CUJUBIM";103
"110110 ITAPUA DO OESTE";8
"110120 MINISTRO ANDREAZZA";21
"110130 MIRANTE DA SERRA";50
"110140 MONTE NEGRO";76
"110143 NOVA UNIAO";11
"110145 PARECIS";40
"110146 PIMENTEIRAS DO OESTE";9
"110148 SAO FELIPE D'OESTE";5
"110149 SAO FRANCISCO DO GUAPORE";112
"110150 SERINGUEIRAS";110
"110155 TEIXEIROPOLIS";4
"110160 THEOBROMA";6
"110170 URUPA";63
"110175 VALE DO ANARI";2
"110180 VALE DO PARAISO";9
"120001 ACRELANDIA";21
"120005 ASSIS BRASIL";67
"120010 BRASILEIA";240
"120020 CRUZEIRO DO SUL";1373
"120030 FEIJO";77
"120033 MANCIO LIMA";60
"120034 MANOEL URBANO";51
"120035 MARECHAL THAUMATURGO";80
"120038 PLACIDO DE CASTRO";65
"120039 PORTO WALTER";32
"120040 RIO BRANCO";3223
"120042 RODRIGUES ALVES";25
"120043 SANTA ROSA DO PURUS";6
"120045 SENADOR GUIOMARD";126
"120050 SENA MADUREIRA";129
"120060 TARAUACA";205
"120070 XAPURI";50
"130002 ALVARAES";78
"130006 AMATURA";47
"130008 ANAMA";153
"130010 ANORI";177
"130014 APUI";79
"130020 ATALAIA DO NORTE";64
"130030 AUTAZES";72
"130040 BARCELOS";57
"130050 BARREIRINHA";131
"130060 BENJAMIN CONSTANT";132
"130063 BERURI";85
"130068 BOA VISTA DO RAMOS";53
"130070 BOCA DO ACRE";274
"130080 BORBA";121
"130083 CAAPIRANGA";64
"130090 CANUTAMA";50
"130100 CARAUARI";329
"130110 CAREIRO";153
"130120 COARI";317
"130130 CODAJAS";90
"130140 EIRUNEPE";104
"130150 ENVIRA";53
"130160 FONTE BOA";135
"130165 GUAJARA";29
"130170 HUMAITA";121
"130180 IPIXUNA";167
"130185 IRANDUBA";58
"130190 ITACOATIARA";398
"130195 ITAMARATI";91
"130200 ITAPIRANGA";26
"130210 JAPURA";39
"130230 JUTAI";155
"130240 LABREA";46
"130250 MANACAPURU";575
"130255 MANAQUIRI";48
"130260 MANAUS";11171
"130270 MANICORE";253
"130280 MARAA";77
"130290 MAUES";283
"130300 NHAMUNDA";80
"130310 NOVA OLINDA DO NORTE";96
"130320 NOVO AIRAO";87
"130330 NOVO ARIPUANA";89
"130340 PARINTINS";832
"130350 PAUINI";93
"130353 PRESIDENTE FIGUEIREDO";95
"130356 RIO PRETO DA EVA";33
"130360 SANTA ISABEL DO RIO NEGRO";55
"130370 SANTO ANTONIO DO ICA";88
"130380 SAO GABRIEL DA CACHOEIRA";250
"130390 SAO PAULO DE OLIVENCA";178
"130395 SAO SEBASTIAO DO UATUMA";72
"130400 SILVES";54
"130406 TABATINGA";37
"130420 TEFE";479
"130423 TONANTINS";117
"130426 UARINI";99
"130430 URUCARA";74
"130440 URUCURITUBA";23
"140010 BOA VISTA";2533
"140015 BONFIM";1
"140020 CARACARAI";8
"140023 CAROEBE";10
"140040 NORMANDIA";25
"140045 PACARAIMA";33
"140050 SAO JOAO DA BALIZA";17
"140060 SAO LUIZ";10
"150010 ABAETETUBA";1263
"150013 ABEL FIGUEIREDO";32
"150020 ACARA";160
"150030 AFUA";94
"150034 AGUA AZUL DO NORTE";85
"150040 ALENQUER";506
"150050 ALMEIRIM";187
"150060 ALTAMIRA";1013
"150070 ANAJAS";134
"150080 ANANINDEUA";1846
"150085 ANAPU";77
"150090 AUGUSTO CORREA";336
"150095 AURORA DO PARA";136
"150110 BAGRE";36
"150120 BAIAO";187
"150125 BANNACH";8
"150130 BARCARENA";631
"150140 BELEM";12301
"150145 BELTERRA";27
"150157 BOM JESUS DO TOCANTINS";99
"150170 BRAGANCA";873
"150172 BRASIL NOVO";194
"150175 BREJO GRANDE DO ARAGUAIA";59
"150178 BREU BRANCO";104
"150180 BREVES";925
"150200 CACHOEIRA DO ARARI";107
"150210 CAMETA";717
"150215 CANAA DOS CARAJAS";351
"150220 CAPANEMA";809
"150230 CAPITAO POCO";99
"150240 CASTANHAL";2157
"150250 CHAVES";15
"150270 CONCEICAO DO ARAGUAIA";387
"150275 CONCORDIA DO PARA";60
"150276 CUMARU DO NORTE";63
"150277 CURIONOPOLIS";9
"150280 CURRALINHO";155
"150290 CURUCA";180
"150293 DOM ELISEU";149
"150295 ELDORADO DOS CARAJAS";73
"150300 FARO";38
"150304 FLORESTA DO ARAGUAIA";132
"150307 GARRAFAO DO NORTE";50
"150309 GOIANESIA DO PARA";112
"150310 GURUPA";154
"150320 IGARAPE-ACU";78
"150330 IGARAPE-MIRI";603
"150340 INHANGAPI";2
"150345 IPIXUNA DO PARA";480
"150350 IRITUIA";56
"150360 ITAITUBA";754
"150370 ITUPIRANGA";115
"150375 JACAREACANGA";111
"150380 JACUNDA";276
"150390 JURUTI";231
"150400 LIMOEIRO DO AJURU";104
"150405 MAE DO RIO";111
"150420 MARABA";1521
"150430 MARACANA";35
"150440 MARAPANIM";101
"150442 MARITUBA";548
"150445 MEDICILANDIA";83
"150450 MELGACO";70
"150460 MOCAJUBA";160
"150470 MOJU";213
"150480 MONTE ALEGRE";325
"150490 MUANA";196
"150497 NOVA IPIXUNA";20
"150503 NOVO PROGRESSO";189
"150506 NOVO REPARTIMENTO";84
"150510 OBIDOS";218
"150520 OEIRAS DO PARA";83
"150530 ORIXIMINA";273
"150540 OUREM";87
"150543 OURILANDIA DO NORTE";644
"150548 PACAJA";204
"150549 PALESTINA DO PARA";36
"150550 PARAGOMINAS";583
"150553 PARAUAPEBAS";842
"150555 PAU D'ARCO";43
"150563 PICARRA";61
"150565 PLACAS";137
"150570 PONTA DE PEDRAS";94
"150580 PORTEL";222
"150590 PORTO DE MOZ";160
"150600 PRAINHA";96
"150613 REDENCAO";947
"150616 RIO MARIA";253
"150618 RONDON DO PARA";182
"150619 RUROPOLIS";242
"150620 SALINOPOLIS";240
"150630 SALVATERRA";62
"150640 SANTA CRUZ DO ARARI";35
"150650 SANTA IZABEL DO PARA";281
"150658 SANTA MARIA DAS BARREIRAS";96
"150660 SANTA MARIA DO PARA";113
"150670 SANTANA DO ARAGUAIA";264
"150680 SANTAREM";1372
"150700 SANTO ANTONIO DO TAUA";420
"150715 SAO DOMINGOS DO ARAGUAIA";29
"150720 SAO DOMINGOS DO CAPIM";73
"150730 SAO FELIX DO XINGU";283
"150745 SAO GERALDO DO ARAGUAIA";160
"150747 SAO JOAO DE PIRABAS";60
"150750 SAO JOAO DO ARAGUAIA";11
"150760 SAO MIGUEL DO GUAMA";194
"150770 SAO SEBASTIAO DA BOA VISTA";123
"150775 SAPUCAIA";22
"150780 SENADOR JOSE PORFIRIO";61
"150790 SOURE";139
"150795 TAILANDIA";397
"150797 TERRA SANTA";90
"150800 TOME-ACU";276
"150803 TRACUATEUA";96
"150805 TRAIRAO";98
"150808 TUCUMA";225
"150810 TUCURUI";692
"150812 ULIANOPOLIS";202
"150815 URUARA";254
"150820 VIGIA";131
"150830 VISEU";198
"150835 VITORIA DO XINGU";138
"150840 XINGUARA";244
"160005 SERRA DO NAVIO";8
"160010 AMAPA";10
"160015 PEDRA BRANCA DO AMAPARI";18
"160020 CALCOENE";23
"160023 FERREIRA GOMES";1
"160027 LARANJAL DO JARI";371
"160030 MACAPA";3675
"160040 MAZAGAO";14
"160050 OIAPOQUE";131
"160060 SANTANA";685
"170070 ALVORADA";22
"170100 ANANAS";15
"170190 ARAGUACEMA";35
"170200 ARAGUACU";7
"170210 ARAGUAINA";2148
"170220 ARAGUATINS";24
"170230 ARAPOEMA";90
"170240 ARRAIAS";187
"170255 AUGUSTINOPOLIS";402
"170550 COLINAS DO TOCANTINS";145
"170700 DIANOPOLIS";132
"170730 DUERE";3
"170820 FORMOSO DO ARAGUAIA";37
"170900 GOIATINS";12
"170930 GUARAI";320
"170950 GURUPI";818
"171320 MIRACEMA DO TOCANTINS";430
"171420 NATIVIDADE";5
"171610 PARAISO DO TOCANTINS";562
"171620 PARANA";32
"171650 PEDRO AFONSO";89
"171660 PEIXE";26
"171700 PINDORAMA DO TOCANTINS";25
"171750 PIUM";14
"171790 PONTE ALTA DO TOCANTINS";4
"171820 PORTO NACIONAL";360
"172065 SILVANOPOLIS";12
"172080 SITIO NOVO DO TOCANTINS";39
"172090 TAGUATINGA";41
"172100 PALMAS";2610
"172120 TOCANTINOPOLIS";111
"172210 XAMBIOA";84
"210005 ACAILANDIA";851
"210010 AFONSO CUNHA";13
"210020 ALCANTARA";20
"210030 ALDEIAS ALTAS";41
"210043 ALTO ALEGRE DO MARANHAO";300
"210047 ALTO ALEGRE DO PINDARE";235
"210050 ALTO PARNAIBA";27
"210060 AMARANTE DO MARANHAO";284
"210080 ANAPURUS";62
"210083 APICUM-ACU";100
"210087 ARAGUANA";72
"210090 ARAIOSES";23
"210095 ARAME";126
"210100 ARARI";30
"210110 AXIXA";23
"210120 BACABAL";969
"210125 BACABEIRA";29
"210130 BACURI";104
"210140 BALSAS";674
"210150 BARAO DE GRAJAU";20
"210160 BARRA DO CORDA";724
"210170 BARREIRINHAS";425
"210177 BELA VISTA DO MARANHAO";60
"210190 BEQUIMAO";67
"210193 BERNARDO DO MEARIM";24
"210200 BOM JARDIM";135
"210203 BOM JESUS DAS SELVAS";100
"210210 BREJO";101
"210220 BURITI";63
"210230 BURITI BRAVO";109
"210232 BURITICUPU";216
"210240 CAJAPIO";43
"210250 CAJARI";21
"210260 CANDIDO MENDES";18
"210270 CANTANHEDE";71
"210275 CAPINZAL DO NORTE";12
"210280 CAROLINA";172
"210290 CARUTAPERA";215
"210300 CAXIAS";1528
"210310 CEDRAL";100
"210312 CENTRAL DO MARANHAO";54
"210320 CHAPADINHA";518
"210325 CIDELANDIA";79
"210330 CODO";381
"210340 COELHO NETO";166
"210350 COLINAS";600
"210355 CONCEICAO DO LAGO-ACU";72
"210360 COROATA";366
"210370 CURURUPU";430
"210380 DOM PEDRO";119
"210390 DUQUE BACELAR";55
"210400 ESPERANTINOPOLIS";118
"210405 ESTREITO";135
"210407 FEIRA NOVA DO MARANHAO";56
"210408 FERNANDO FALCAO";25
"210409 FORMOSA DA SERRA NEGRA";59
"210410 FORTALEZA DOS NOGUEIRAS";43
"210440 GONCALVES DIAS";138
"210450 GOVERNADOR ARCHER";84
"210455 GOVERNADOR EDISON LOBAO";44
"210460 GOVERNADOR EUGENIO BARROS";109
"210462 GOVERNADOR LUIZ ROCHA";48
"210465 GOVERNADOR NEWTON BELLO";21
"210467 GOVERNADOR NUNES FREIRE";541
"210480 GRAJAU";483
"210490 GUIMARAES";57
"210500 HUMBERTO DE CAMPOS";72
"210510 ICATU";5
"210515 IGARAPE DO MEIO";32
"210520 IGARAPE GRANDE";70
"210530 IMPERATRIZ";2460
"210535 ITAIPAVA DO GRAJAU";80
"210540 ITAPECURU MIRIM";207
"210542 ITINGA DO MARANHAO";67
"210545 JATOBA";50
"210547 JENIPAPO DOS VIEIRAS";34
"210550 JOAO LISBOA";136
"210560 JOSELANDIA";54
"210570 LAGO DA PEDRA";671
"210580 LAGO DO JUNCO";100
"210594 LAGO DOS RODRIGUES";50
"210596 LAGOA GRANDE DO MARANHAO";27
"210600 LIMA CAMPOS";70
"210610 LORETO";61
"210630 MAGALHAES DE ALMEIDA";84
"210637 MARANHAOZINHO";81
"210640 MATA ROMA";79
"210650 MATINHA";77
"210660 MATOES";96
"210667 MILAGRES DO MARANHAO";18
"210670 MIRADOR";94
"210675 MIRANDA DO NORTE";83
"210680 MIRINZAL";71
"210690 MONCAO";180
"210700 MONTES ALTOS";10
"210710 MORROS";100
"210720 NINA RODRIGUES";54
"210725 NOVA COLINAS";32
"210735 NOVA OLINDA DO MARANHAO";142
"210740 OLHO D'AGUA DAS CUNHAS";97
"210745 OLINDA NOVA DO MARANHAO";64
"210750 PACO DO LUMIAR";204
"210760 PALMEIRANDIA";74
"210770 PARAIBANO";64
"210780 PARNARAMA";42
"210790 PASSAGEM FRANCA";456
"210800 PASTOS BONS";98
"210805 PAULINO NEVES";86
"210810 PAULO RAMOS";193
"210820 PEDREIRAS";489
"210825 PEDRO DO ROSARIO";29
"210830 PENALVA";78
"210840 PERI MIRIM";14
"210845 PERITORO";260
"210850 PINDARE-MIRIM";20
"210860 PINHEIRO";882
"210870 PIO XII";145
"210880 PIRAPEMAS";29
"210890 POCAO DE PEDRAS";85
"210900 PORTO FRANCO";249
"210910 PRESIDENTE DUTRA";743
"210920 PRESIDENTE JUSCELINO";10
"210923 PRESIDENTE MEDICI";109
"210930 PRESIDENTE VARGAS";27
"210940 PRIMEIRA CRUZ";72
"210945 RAPOSA";31
"210950 RIACHAO";100
"210960 ROSARIO";302
"210970 SAMBAIBA";33
"210980 SANTA HELENA";152
"210990 SANTA INES";1075
"211000 SANTA LUZIA";279
"211003 SANTA LUZIA DO PARUA";361
"211010 SANTA QUITERIA DO MARANHAO";76
"211020 SANTA RITA";152
"211023 SANTANA DO MARANHAO";47
"211027 SANTO AMARO DO MARANHAO";42
"211030 SANTO ANTONIO DOS LOPES";65
"211040 SAO BENEDITO DO RIO PRETO";74
"211050 SAO BENTO";166
"211060 SAO BERNARDO";166
"211065 SAO DOMINGOS DO AZEITAO";50
"211070 SAO DOMINGOS DO MARANHAO";132
"211080 SAO FELIX DE BALSAS";28
"211085 SAO FRANCISCO DO BREJAO";32
"211090 SAO FRANCISCO DO MARANHAO";89
"211100 SAO JOAO BATISTA";120
"211102 SAO JOAO DO CARU";28
"211107 SAO JOAO DO SOTER";53
"211110 SAO JOAO DOS PATOS";124
"211120 SAO JOSE DE RIBAMAR";356
"211125 SAO JOSE DOS BASILIOS";35
"211130 SAO LUIS";11454
