 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município e Ano processamento
Período:Abr/2023
"Município";"2023";"Total"
"110001 ALTA FLORESTA D'OESTE";310;310
"110002 ARIQUEMES";649;649
"110003 CABIXI";26;26
"110004 CACOAL";1170;1170
"110005 CEREJEIRAS";106;106
"110006 COLORADO DO OESTE";43;43
"110008 COSTA MARQUES";5;5
"110009 ESPIGAO D'OESTE";99;99
"110010 GUAJARA-MIRIM";312;312
"110011 JARU";295;295
"110012 JI-PARANA";691;691
"110013 MACHADINHO D'OESTE";181;181
"110014 NOVA BRASILANDIA D'OESTE";121;121
"110015 OURO PRETO DO OESTE";222;222
"110018 PIMENTA BUENO";355;355
"110020 PORTO VELHO";3757;3757
"110025 PRESIDENTE MEDICI";78;78
"110026 RIO CRESPO";2;2
"110028 ROLIM DE MOURA";320;320
"110029 SANTA LUZIA D'OESTE";56;56
"110030 VILHENA";900;900
"110032 SAO MIGUEL DO GUAPORE";127;127
"110033 NOVA MAMORE";88;88
"110034 ALVORADA D'OESTE";59;59
"110037 ALTO ALEGRE DOS PARECIS";58;58
"110040 ALTO PARAISO";35;35
"110045 BURITIS";125;125
"110050 NOVO HORIZONTE DO OESTE";44;44
"110060 CACAULANDIA";11;11
"110070 CAMPO NOVO DE RONDONIA";30;30
"110080 CANDEIAS DO JAMARI";8;8
"110094 CUJUBIM";58;58
"110100 GOVERNADOR JORGE TEIXEIRA";18;18
"110120 MINISTRO ANDREAZZA";22;22
"110130 MIRANTE DA SERRA";34;34
"110140 MONTE NEGRO";55;55
"110143 NOVA UNIAO";23;23
"110145 PARECIS";47;47
"110146 PIMENTEIRAS DO OESTE";2;2
"110149 SAO FRANCISCO DO GUAPORE";62;62
"110150 SERINGUEIRAS";128;128
"110155 TEIXEIROPOLIS";5;5
"110160 THEOBROMA";13;13
"110170 URUPA";46;46
"110175 VALE DO ANARI";24;24
"110180 VALE DO PARAISO";21;21
"120001 ACRELANDIA";20;20
"120005 ASSIS BRASIL";38;38
"120010 BRASILEIA";250;250
"120020 CRUZEIRO DO SUL";967;967
"120030 FEIJO";45;45
"120033 MANCIO LIMA";50;50
"120034 MANOEL URBANO";36;36
"120035 MARECHAL THAUMATURGO";39;39
"120038 PLACIDO DE CASTRO";29;29
"120039 PORTO WALTER";13;13
"120040 RIO BRANCO";3031;3031
"120043 SANTA ROSA DO PURUS";25;25
"120045 SENADOR GUIOMARD";75;75
"120050 SENA MADUREIRA";165;165
"120060 TARAUACA";174;174
"120070 XAPURI";53;53
"130002 ALVARAES";46;46
"130006 AMATURA";48;48
"130008 ANAMA";71;71
"130010 ANORI";147;147
"130014 APUI";109;109
"130020 ATALAIA DO NORTE";36;36
"130030 AUTAZES";139;139
"130040 BARCELOS";102;102
"130050 BARREIRINHA";96;96
"130060 BENJAMIN CONSTANT";95;95
"130063 BERURI";52;52
"130068 BOA VISTA DO RAMOS";44;44
"130070 BOCA DO ACRE";168;168
"130080 BORBA";189;189
"130083 CAAPIRANGA";30;30
"130090 CANUTAMA";35;35
"130100 CARAUARI";77;77
"130110 CAREIRO";119;119
"130115 CAREIRO DA VARZEA";2;2
"130120 COARI";356;356
"130130 CODAJAS";108;108
"130150 ENVIRA";90;90
"130160 FONTE BOA";110;110
"130165 GUAJARA";18;18
"130170 HUMAITA";112;112
"130180 IPIXUNA";197;197
"130185 IRANDUBA";104;104
"130190 ITACOATIARA";368;368
"130195 ITAMARATI";94;94
"130200 ITAPIRANGA";34;34
"130210 JAPURA";42;42
"130230 JUTAI";143;143
"130240 LABREA";210;210
"130250 MANACAPURU";523;523
"130255 MANAQUIRI";72;72
"130260 MANAUS";9565;9565
"130270 MANICORE";131;131
"130290 MAUES";216;216
"130310 NOVA OLINDA DO NORTE";125;125
"130320 NOVO AIRAO";86;86
"130330 NOVO ARIPUANA";140;140
"130340 PARINTINS";723;723
"130350 PAUINI";91;91
"130353 PRESIDENTE FIGUEIREDO";137;137
"130356 RIO PRETO DA EVA";53;53
"130360 SANTA ISABEL DO RIO NEGRO";60;60
"130370 SANTO ANTONIO DO ICA";115;115
"130380 SAO GABRIEL DA CACHOEIRA";93;93
"130390 SAO PAULO DE OLIVENCA";152;152
"130395 SAO SEBASTIAO DO UATUMA";44;44
"130400 SILVES";74;74
"130406 TABATINGA";138;138
"130410 TAPAUA";176;176
"130420 TEFE";527;527
"130423 TONANTINS";94;94
"130426 UARINI";66;66
"130430 URUCARA";59;59
"130440 URUCURITUBA";36;36
"140005 ALTO ALEGRE";34;34
"140010 BOA VISTA";4057;4057
"140015 BONFIM";4;4
"140020 CARACARAI";25;25
"140023 CAROEBE";36;36
"140040 NORMANDIA";16;16
"140045 PACARAIMA";62;62
"140047 RORAINOPOLIS";219;219
"140050 SAO JOAO DA BALIZA";25;25
"140060 SAO LUIZ";14;14
"150010 ABAETETUBA";1031;1031
"150013 ABEL FIGUEIREDO";55;55
"150020 ACARA";112;112
"150030 AFUA";73;73
"150034 AGUA AZUL DO NORTE";68;68
"150040 ALENQUER";410;410
"150050 ALMEIRIM";178;178
"150060 ALTAMIRA";945;945
"150070 ANAJAS";134;134
"150080 ANANINDEUA";1975;1975
"150085 ANAPU";164;164
"150090 AUGUSTO CORREA";230;230
