Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2018
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";33
"110004 CACOAL";48
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";10
"110010 GUAJARA-MIRIM";7
"110011 JARU";3
"110012 JI-PARANA";106
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";15
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";114
"110025 PRESIDENTE MEDICI";1
"110028 ROLIM DE MOURA";6
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";18
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";1
"110037 ALTO ALEGRE DOS PARECIS";14
"110040 ALTO PARAISO";1
"110045 BURITIS";1
"110050 NOVO HORIZONTE DO OESTE";2
"110080 CANDEIAS DO JAMARI";4
"110100 GOVERNADOR JORGE TEIXEIRA";2
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110146 PIMENTEIRAS DO OESTE";46
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";4
"110160 THEOBROMA";3
"110170 URUPA";1
"110175 VALE DO ANARI";1
"120001 ACRELANDIA";5
"120005 ASSIS BRASIL";3
"120010 BRASILEIA";6
"120013 BUJARI";7
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";143
"120025 EPITACIOLANDIA";8
"120030 FEIJO";9
"120033 MANCIO LIMA";3
"120034 MANOEL URBANO";5
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";8
"120040 RIO BRANCO";263
"120042 RODRIGUES ALVES";3
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";10
"120050 SENA MADUREIRA";3
"120060 TARAUACA";133
"120070 XAPURI";4
"120080 PORTO ACRE";16
"130040 BARCELOS";3
"130060 BENJAMIN CONSTANT";2
"130070 BOCA DO ACRE";1
"130080 BORBA";13
"130090 CANUTAMA";1
"130150 ENVIRA";1
"130165 GUAJARA";1
"130170 HUMAITA";1
