Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2019
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";7
"110002 ARIQUEMES";18
"110003 CABIXI";13
"110004 CACOAL";35
"110005 CEREJEIRAS";1
"110009 ESPIGAO D'OESTE";1
"110011 JARU";2
"110012 JI-PARANA";23
"110013 MACHADINHO D'OESTE";1
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";15
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";194
"110025 PRESIDENTE MEDICI";29
"110028 ROLIM DE MOURA";6
"110030 VILHENA";47
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";2
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";1
"110050 NOVO HORIZONTE DO OESTE";3
"110080 CANDEIAS DO JAMARI";6
"110092 CHUPINGUAIA";1
"110130 MIRANTE DA SERRA";2
"110143 NOVA UNIAO";1
"110146 PIMENTEIRAS DO OESTE";13
"110148 SAO FELIPE D'OESTE";1
"120001 ACRELANDIA";2
"120020 CRUZEIRO DO SUL";12
"120030 FEIJO";2
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120040 RIO BRANCO";120
"120045 SENADOR GUIOMARD";2
"120050 SENA MADUREIRA";1
"120060 TARAUACA";8
"130060 BENJAMIN CONSTANT";1
"130070 BOCA DO ACRE";1
"130080 BORBA";5
"130090 CANUTAMA";2
"130140 EIRUNEPE";1
"130170 HUMAITA";1
"130190 ITACOATIARA";5
"130250 MANACAPURU";1
"130260 MANAUS";100
"130300 NHAMUNDA";1
"130320 NOVO AIRAO";7
"130406 TABATINGA";1
"140002 AMAJARI";1
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";57
"140015 BONFIM";6
"140017 CANTA";5
"140020 CARACARAI";5
"140023 CAROEBE";7
"140028 IRACEMA";6
"140030 MUCAJAI";76
"140040 NORMANDIA";14
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";2
"140060 SAO LUIZ";5
"150010 ABAETETUBA";5
"150020 ACARA";5
"150030 AFUA";19
"150034 AGUA AZUL DO NORTE";13
"150040 ALENQUER";1
"150060 ALTAMIRA";8
"150070 ANAJAS";1
"150080 ANANINDEUA";23
"150090 AUGUSTO CORREA";2
"150095 AURORA DO PARA";4
"150125 BANNACH";6
"150130 BARCARENA";1
"150140 BELEM";69
"150145 BELTERRA";1
"150150 BENEVIDES";4
"150160 BONITO";2
"150175 BREJO GRANDE DO ARAGUAIA";1
"150178 BREU BRANCO";2
"150180 BREVES";3
"150210 CAMETA";1
"150215 CANAA DOS CARAJAS";2
"150220 CAPANEMA";12
"150230 CAPITAO POCO";1
"150240 CASTANHAL";8
"150250 CHAVES";4
"150270 CONCEICAO DO ARAGUAIA";22
"150280 CURRALINHO";2
"150290 CURUCA";1
"150293 DOM ELISEU";6
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";1
"150345 IPIXUNA DO PARA";3
"150350 IRITUIA";1
"150360 ITAITUBA";6
"150370 ITUPIRANGA";10
"150380 JACUNDA";1
"150405 MAE DO RIO";1
"150410 MAGALHAES BARATA";1
"150430 MARACANA";1
"150440 MARAPANIM";7
"150442 MARITUBA";25
"150445 MEDICILANDIA";1
"150460 MOCAJUBA";1
"150470 MOJU";2
"150475 MOJUI DOS CAMPOS";1
"150490 MUANA";1
"150495 NOVA ESPERANCA DO PIRIA";1
"150497 NOVA IPIXUNA";21
"150506 NOVO REPARTIMENTO";1
"150540 OUREM";1
"150553 PARAUAPEBAS";24
"150563 PICARRA";1
"150613 REDENCAO";2
"150616 RIO MARIA";1
"150620 SALINOPOLIS";1
"150635 SANTA BARBARA DO PARA";2
"150650 SANTA IZABEL DO PARA";17
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";17
"150730 SAO FELIX DO XINGU";1
"150740 SAO FRANCISCO DO PARA";5
"150745 SAO GERALDO DO ARAGUAIA";1
"150747 SAO JOAO DE PIRABAS";1
"150760 SAO MIGUEL DO GUAMA";6
"150800 TOME-ACU";2
"150808 TUCUMA";1
"150810 TUCURUI";5
"150812 ULIANOPOLIS";3
"150820 VIGIA";1
"150830 VISEU";1
"150840 XINGUARA";1
"160015 PEDRA BRANCA DO AMAPARI";8
"160023 FERREIRA GOMES";22
"160027 LARANJAL DO JARI";1
"160030 MACAPA";71
"160040 MAZAGAO";6
"160050 OIAPOQUE";1
"160053 PORTO GRANDE";2
"160060 SANTANA";8
"160070 TARTARUGALZINHO";2
"170040 ALMAS";3
"170100 ANANAS";1
"170130 ARAGOMINAS";38
"170190 ARAGUACEMA";1
"170210 ARAGUAINA";130
"170215 ARAGUANA";2
"170220 ARAGUATINS";167
"170230 ARAPOEMA";8
"170240 ARRAIAS";1
"170255 AUGUSTINOPOLIS";3
"170300 BABACULANDIA";11
"170307 BARRA DO OURO";1
"170310 BARROLANDIA";2
"170330 BOM JESUS DO TOCANTINS";3
"170370 BREJINHO DE NAZARE";2
"170380 BURITI DO TOCANTINS";1
"170386 CARIRI DO TOCANTINS";1
"170388 CARMOLANDIA";1
"170389 CARRASCO BONITO";4
"170390 CASEARA";2
"170460 CHAPADA DE AREIA";1
"170550 COLINAS DO TOCANTINS";84
"170600 COUTO MAGALHAES";3
"170610 CRISTALANDIA";2
"170700 DIANOPOLIS";5
"170710 DIVINOPOLIS DO TOCANTINS";8
"170720 DOIS IRMAOS DO TOCANTINS";2
"170770 FILADELFIA";2
"170820 FORMOSO DO ARAGUAIA";5
"170825 FORTALEZA DO TABOCAO";5
"170900 GOIATINS";22
"170930 GUARAI";45
"170950 GURUPI";77
"170980 IPUEIRAS";1
"171050 ITACAJA";1
"171110 ITAPORA DO TOCANTINS";7
"171190 LAGOA DA CONFUSAO";6
"171250 MARIANOPOLIS DO TOCANTINS";1
"171270 MATEIROS";1
"171320 MIRACEMA DO TOCANTINS";19
"171330 MIRANORTE";4
"171360 MONTE DO CARMO";3
"171370 MONTE SANTO DO TOCANTINS";8
"171430 NAZARE";2
"171488 NOVA OLINDA";8
"171500 NOVA ROSALANDIA";8
"171510 NOVO ACORDO";1
"171570 PALMEIRANTE";2
"171610 PARAISO DO TOCANTINS";312
"171650 PEDRO AFONSO";2
"171665 PEQUIZEIRO";5
"171670 COLMEIA";2
"171700 PINDORAMA DO TOCANTINS";2
"171750 PIUM";2
"171780 PONTE ALTA DO BOM JESUS";4
"171800 PORTO ALEGRE DO TOCANTINS";2
"171820 PORTO NACIONAL";218
"171845 PUGMIL";3
"171855 RIACHINHO";2
"171865 RIO DA CONCEICAO";1
"171875 RIO SONO";3
"171880 SAMPAIO";1
"171884 SANDOLANDIA";2
"171890 SANTA ROSA DO TOCANTINS";3
"171900 SANTA TEREZA DO TOCANTINS";19
"172010 SAO BENTO DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";1
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";6
"172080 SITIO NOVO DO TOCANTINS";1
"172085 SUCUPIRA";7
"172090 TAGUATINGA";44
"172093 TAIPAS DO TOCANTINS";1
"172100 PALMAS";917
"172110 TOCANTINIA";101
"172120 TOCANTINOPOLIS";57
"172130 TUPIRATINS";1
