Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2025
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";38
"110002 ARIQUEMES";334
"110003 CABIXI";29
"110004 CACOAL";64
"110005 CEREJEIRAS";460
"110006 COLORADO DO OESTE";10
"110007 CORUMBIARA";91
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";31
"110010 GUAJARA-MIRIM";4
"110011 JARU";13
"110012 JI-PARANA";340
"110013 MACHADINHO D'OESTE";3
"110014 NOVA BRASILANDIA D'OESTE";7
"110015 OURO PRETO DO OESTE";6
"110018 PIMENTA BUENO";2
"110020 PORTO VELHO";510
"110025 PRESIDENTE MEDICI";308
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";368
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";1575
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";35
"110034 ALVORADA D'OESTE";4
"110037 ALTO ALEGRE DOS PARECIS";205
"110040 ALTO PARAISO";422
"110045 BURITIS";5
"110050 NOVO HORIZONTE DO OESTE";3
"110060 CACAULANDIA";21
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";18
"110090 CASTANHEIRAS";5
"110092 CHUPINGUAIA";143
"110094 CUJUBIM";4
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";1
"110143 NOVA UNIAO";3
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";5
"110147 PRIMAVERA DE RONDONIA";10
"110149 SAO FRANCISCO DO GUAPORE";10
"110150 SERINGUEIRAS";5
"110155 TEIXEIROPOLIS";2
"110160 THEOBROMA";1
"110170 URUPA";3
"110175 VALE DO ANARI";2
"110180 VALE DO PARAISO";3
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";1
"120013 BUJARI";1
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";99
"120025 EPITACIOLANDIA";4
"120030 FEIJO";4
"120032 JORDAO";2
"120033 MANCIO LIMA";1
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";2
"120039 PORTO WALTER";5
"120040 RIO BRANCO";833
"120042 RODRIGUES ALVES";6
"120045 SENADOR GUIOMARD";3
"120050 SENA MADUREIRA";6
"120060 TARAUACA";9
"120070 XAPURI";1
"120080 PORTO ACRE";5
"130010 ANORI";1
"130020 ATALAIA DO NORTE";1
"130030 AUTAZES";2
"130063 BERURI";4
"130080 BORBA";3
"130090 CANUTAMA";4
"130100 CARAUARI";34
"130120 COARI";5
"130130 CODAJAS";1
"130150 ENVIRA";1
"130160 FONTE BOA";1
"130165 GUAJARA";5
"130170 HUMAITA";84
"130180 IPIXUNA";12
"130185 IRANDUBA";6
"130190 ITACOATIARA";6
"130200 ITAPIRANGA";1
"130210 JAPURA";1
"130240 LABREA";2
"130250 MANACAPURU";5
"130255 MANAQUIRI";1
"130260 MANAUS";146
"130290 MAUES";1
"130320 NOVO AIRAO";1
"130340 PARINTINS";1
"130350 PAUINI";1
"130356 RIO PRETO DA EVA";1
"130370 SANTO ANTONIO DO ICA";6
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";4
"130420 TEFE";1
"130423 TONANTINS";3
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";47
"140017 CANTA";8
"140020 CARACARAI";12
"140023 CAROEBE";1
"140030 MUCAJAI";3
"140040 NORMANDIA";1
"140045 PACARAIMA";8
"140047 RORAINOPOLIS";11
"140050 SAO JOAO DA BALIZA";7
"150010 ABAETETUBA";11
"150013 ABEL FIGUEIREDO";2
"150020 ACARA";5
"150030 AFUA";1
"150060 ALTAMIRA";14
"150070 ANAJAS";5
"150080 ANANINDEUA";98
"150085 ANAPU";4
"150090 AUGUSTO CORREA";1
"150120 BAIAO";2
"150130 BARCARENA";4
"150140 BELEM";241
"150145 BELTERRA";3
"150150 BENEVIDES";9
"150170 BRAGANCA";9
"150178 BREU BRANCO";2
"150180 BREVES";6
"150190 BUJARU";3
"150210 CAMETA";48
"150240 CASTANHAL";272
"150260 COLARES";1
"150270 CONCEICAO DO ARAGUAIA";28
"150277 CURIONOPOLIS";1
"150290 CURUCA";22
"150293 DOM ELISEU";4
"150295 ELDORADO DOS CARAJAS";1
"150304 FLORESTA DO ARAGUAIA";1
"150320 IGARAPE-ACU";56
"150330 IGARAPE-MIRI";1
"150340 INHANGAPI";162
"150350 IRITUIA";1
"150360 ITAITUBA";7
"150370 ITUPIRANGA";2
"150380 JACUNDA";1
"150390 JURUTI";12
"150400 LIMOEIRO DO AJURU";3
"150410 MAGALHAES BARATA";2
"150420 MARABA";3
"150430 MARACANA";17
"150442 MARITUBA";106
"150445 MEDICILANDIA";18
"150450 MELGACO";1
"150460 MOCAJUBA";3
"150470 MOJU";3
"150475 MOJUI DOS CAMPOS";3
"150480 MONTE ALEGRE";2
"150490 MUANA";1
"150503 NOVO PROGRESSO";7
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";30
"150520 OEIRAS DO PARA";2
"150530 ORIXIMINA";2
"150550 PARAGOMINAS";1
"150553 PARAUAPEBAS";1
"150555 PAU D'ARCO";2
"150565 PLACAS";64
"150570 PONTA DE PEDRAS";3
"150580 PORTEL";1
"150600 PRAINHA";2
"150613 REDENCAO";35
"150618 RONDON DO PARA";5
"150619 RUROPOLIS";19
"150630 SALVATERRA";2
"150635 SANTA BARBARA DO PARA";27
"150650 SANTA IZABEL DO PARA";13
"150658 SANTA MARIA DAS BARREIRAS";2
"150660 SANTA MARIA DO PARA";2
"150670 SANTANA DO ARAGUAIA";13
"150680 SANTAREM";170
"150700 SANTO ANTONIO DO TAUA";1
"150710 SAO CAETANO DE ODIVELAS";3
"150715 SAO DOMINGOS DO ARAGUAIA";2
"150720 SAO DOMINGOS DO CAPIM";36
"150730 SAO FELIX DO XINGU";2
"150740 SAO FRANCISCO DO PARA";11
"150745 SAO GERALDO DO ARAGUAIA";1
"150746 SAO JOAO DA PONTA";2
"150760 SAO MIGUEL DO GUAMA";4
"150795 TAILANDIA";2
"150796 TERRA ALTA";4
"150800 TOME-ACU";1
"150805 TRAIRAO";4
"150808 TUCUMA";1
"150810 TUCURUI";1
"150815 URUARA";53
"150820 VIGIA";1
"160020 CALCOENE";2
"160030 MACAPA";15
"160040 MAZAGAO";122
"160050 OIAPOQUE";2
"160060 SANTANA";4
"160070 TARTARUGALZINHO";2
"170030 AGUIARNOPOLIS";22
"170040 ALMAS";1
"170105 ANGICO";1
"170110 APARECIDA DO RIO NEGRO";1
"170130 ARAGOMINAS";4
"170190 ARAGUACEMA";1
"170200 ARAGUACU";3
"170210 ARAGUAINA";67
"170220 ARAGUATINS";4
"170230 ARAPOEMA";3
"170240 ARRAIAS";1
"170300 BABACULANDIA";2
"170310 BARROLANDIA";2
"170360 BRASILANDIA DO TOCANTINS";1
"170380 BURITI DO TOCANTINS";1
"170384 CAMPOS LINDOS";2
"170388 CARMOLANDIA";13
"170390 CASEARA";2
"170460 CHAPADA DE AREIA";1
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";90
"170555 COMBINADO";1
"170560 CONCEICAO DO TOCANTINS";3
"170650 DARCINOPOLIS";1
"170700 DIANOPOLIS";1
"170710 DIVINOPOLIS DO TOCANTINS";1
"170720 DOIS IRMAOS DO TOCANTINS";2
"170770 FILADELFIA";1
"170820 FORMOSO DO ARAGUAIA";4
"170930 GUARAI";6
"170950 GURUPI";33
"171090 ITAPIRATINS";1
"171110 ITAPORA DO TOCANTINS";2
"171180 JUARINA";6
"171190 LAGOA DA CONFUSAO";4
"171195 LAGOA DO TOCANTINS";1
"171200 LAJEADO";1
"171320 MIRACEMA DO TOCANTINS";74
"171330 MIRANORTE";1
"171360 MONTE DO CARMO";2
"171370 MONTE SANTO DO TOCANTINS";2
"171420 NATIVIDADE";3
"171488 NOVA OLINDA";27
"171575 PALMEIROPOLIS";1
"171610 PARAISO DO TOCANTINS";69
"171620 PARANA";1
"171630 PAU D'ARCO";1
"171650 PEDRO AFONSO";2
"171670 COLMEIA";1
"171700 PINDORAMA DO TOCANTINS";1
"171750 PIUM";2
"171800 PORTO ALEGRE DO TOCANTINS";1
"171820 PORTO NACIONAL";110
"171840 PRESIDENTE KENNEDY";2
"171845 PUGMIL";1
"171880 SAMPAIO";1
"171884 SANDOLANDIA";1
"171886 SANTA FE DO ARAGUAIA";2
"172025 SAO SALVADOR DO TOCANTINS";1
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";1
"172090 TAGUATINGA";5
"172100 PALMAS";375
"172110 TOCANTINIA";1
"172120 TOCANTINOPOLIS";13
"172208 WANDERLANDIA";2
"172210 XAMBIOA";1
"210005 ACAILANDIA";18
"210043 ALTO ALEGRE DO MARANHAO";1
"210060 AMARANTE DO MARANHAO";1
"210070 ANAJATUBA";1
"210080 ANAPURUS";1
"210100 ARARI";7
"210110 AXIXA";2
"210120 BACABAL";3
"210125 BACABEIRA";6
"210130 BACURI";1
"210140 BALSAS";99
"210160 BARRA DO CORDA";2
"210170 BARREIRINHAS";2
