DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2019
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";230
"110002 ARIQUEMES";33
"110003 CABIXI";93
"110004 CACOAL";25
"110005 CEREJEIRAS";14
"110006 COLORADO DO OESTE";11
"110007 CORUMBIARA";7
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";13
"110010 GUAJARA-MIRIM";10
"110011 JARU";9
"110012 JI-PARANA";14
"110013 MACHADINHO D'OESTE";5
"110014 NOVA BRASILANDIA D'OESTE";23
"110015 OURO PRETO DO OESTE";12
"110018 PIMENTA BUENO";15
"110020 PORTO VELHO";169
"110025 PRESIDENTE MEDICI";26
"110028 ROLIM DE MOURA";9
"110030 VILHENA";14
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";37
"110037 ALTO ALEGRE DOS PARECIS";38
"110040 ALTO PARAISO";5
"110045 BURITIS";84
"110050 NOVO HORIZONTE DO OESTE";1
"110070 CAMPO NOVO DE RONDONIA";14
"110080 CANDEIAS DO JAMARI";18
"110090 CASTANHEIRAS";2
"110094 CUJUBIM";8
"110100 GOVERNADOR JORGE TEIXEIRA";2
"110110 ITAPUA DO OESTE";7
"110120 MINISTRO ANDREAZZA";1
"110140 MONTE NEGRO";12
"110143 NOVA UNIAO";1
"110146 PIMENTEIRAS DO OESTE";4
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";9
"110175 VALE DO ANARI";2
"110180 VALE DO PARAISO";7
"120001 ACRELANDIA";12
"120005 ASSIS BRASIL";87
"120010 BRASILEIA";190
"120013 BUJARI";28
"120017 CAPIXABA";77
"120020 CRUZEIRO DO SUL";2773
"120025 EPITACIOLANDIA";213
"120030 FEIJO";1
"120032 JORDAO";2
"120033 MANCIO LIMA";302
"120034 MANOEL URBANO";6
"120035 MARECHAL THAUMATURGO";12
"120038 PLACIDO DE CASTRO";151
"120039 PORTO WALTER";1
"120040 RIO BRANCO";2727
"120042 RODRIGUES ALVES";443
"120043 SANTA ROSA DO PURUS";2
"120045 SENADOR GUIOMARD";39
"120050 SENA MADUREIRA";332
"120060 TARAUACA";1929
"120070 XAPURI";685
"120080 PORTO ACRE";73
"130002 ALVARAES";4
"130014 APUI";1
"130020 ATALAIA DO NORTE";12
"130030 AUTAZES";1
"130040 BARCELOS";9
"130060 BENJAMIN CONSTANT";393
"130070 BOCA DO ACRE";198
"130080 BORBA";44
"130090 CANUTAMA";1
"130100 CARAUARI";602
"130110 CAREIRO";2
"130120 COARI";4
"130130 CODAJAS";9
"130140 EIRUNEPE";10
"130165 GUAJARA";632
"130170 HUMAITA";70
"130180 IPIXUNA";23
"130185 IRANDUBA";9
"130190 ITACOATIARA";33
"130195 ITAMARATI";1
"130220 JURUA";2
"130240 LABREA";1
"130250 MANACAPURU";12
"130260 MANAUS";459
"130280 MARAA";1
"130290 MAUES";5
"130300 NHAMUNDA";1
"130310 NOVA OLINDA DO NORTE";1
"130320 NOVO AIRAO";7
"130330 NOVO ARIPUANA";14
"130340 PARINTINS";2
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";47
