DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2017
"Município de residência";"Casos_Prováveis"
"120020 CRUZEIRO DO SUL";1
"130270 MANICORE";1
"130406 TABATINGA";2
"160060 SANTANA";1
"170550 COLINAS DO TOCANTINS";1
"170710 DIVINOPOLIS DO TOCANTINS";1
"210570 LAGO DA PEDRA";1
"211130 SAO LUIS";1
"211220 TIMON";1
"211300 VITORINO FREIRE";1
"230370 CAUCAIA";1
"230440 FORTALEZA";19
"230630 ITAPAGE";1
"230765 MARACANAU";2
"230910 MULUNGU";1
"231020 PARACURU";1
"231310 TABULEIRO DO NORTE";1
"240170 BOM JESUS";1
"240310 CURRAIS NOVOS";1
"240450 GUAMARE";1
"240580 JOAO CAMARA";1
"240710 MACAIBA";1
"240800 MOSSORO";1
"240810 NATAL";6
"241120 SANTA CRUZ";1
"241260 SAO PAULO DO POTENGI";1
"241480 VERA CRUZ";1
"250180 BAYEUX";1
"250310 CABACEIRAS";1
"250400 CAMPINA GRANDE";2
"250750 JOAO PESSOA";1
"250770 JUAZEIRINHO";1
"251450 SAO JOSE DE PIRANHAS";1
"260680 IGARASSU";1
"260765 ITAMBE";1
"260775 ITAPISSUMA";1
"261070 PAULISTA";2
"261160 RECIFE";2
"261370 SAO LOURENCO DA MATA";1
"261450 SURUBIM";1
"270060 BARRA DE SAO MIGUEL";1
"270430 MACEIO";1
"270600 OLIVENCA";1
"270630 PALMEIRA DOS INDIOS";1
"270840 SAO JOSE DA TAPERA";1
"280450 NOSSA SENHORA DA GLORIA";1
"291640 ITAPETINGA";3
"292740 SALVADOR";1
"293135 TEIXEIRA DE FREITAS";1
"310350 ARAGUARI";1
"310450 ARINOS";1
"310730 BOCAIUVA";1
"311250 CAPIM BRANCO";1
"311840 CONSELHEIRO PENA";1
"311860 CONTAGEM";1
"312090 CURVELO";1
"312230 DIVINOPOLIS";1
"312360 ELOI MENDES";1
"312980 IBIRITE";1
"313840 LEOPOLDINA";1
"314140 MEDINA";1
"314260 MONSENHOR PAULO";1
"314800 PATOS DE MINAS";1
"314930 PEDRO LEOPOLDO";1
"315460 RIBEIRAO DAS NEVES";1
"316330 SAO JOSE DO DIVINO";1
"316860 TEOFILO OTONI";1
"317010 UBERABA";1
"317020 UBERLANDIA";1
"320120 CACHOEIRO DE ITAPEMIRIM";1
"320240 GUARAPARI";2
"320320 LINHARES";1
"320420 PIUMA";1
"320500 SERRA";2
"320510 VIANA";1
"320520 VILA VELHA";5
"320530 VITORIA";2
"330170 DUQUE DE CAXIAS";1
"330250 MAGE";1
"330270 MARICA";1
"330430 RIO BONITO";1
"330610 VALENCA";1
"350280 ARACATUBA";1
"350320 ARARAQUARA";1
"351110 CATANDUVA";1
"352044 ILHA SOLTEIRA";1
"353350 NOVO HORIZONTE";1
"353720 PEDRO DE TOLEDO";1
"500110 AQUIDAUANA";1
"500260 CAMAPUA";1
"500290 CASSILANDIA";1
"510025 ALTA FLORESTA";1
"510270 CANARANA";1
"510340 CUIABA";1
"510790 SINOP";2
"520025 AGUAS LINDAS DE GOIAS";1
"520080 ALVORADA DO NORTE";1
"520110 ANAPOLIS";1
"520140 APARECIDA DE GOIANIA";4
"520860 GOIANESIA";4
"520870 GOIANIA";19
"520880 GOIANIRA";1
"520920 GUAPO";1
"521000 INHUMAS";1
"521250 LUZIANIA";2
