 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Município e Ano processamento
Período:Jan/2025
"Município";"2025";"Total"
"110001 ALTA FLORESTA D'OESTE";42237,96;42237,96
"110002 ARIQUEMES";541689,55;541689,55
"110003 CABIXI";2014,92;2014,92
"110004 CACOAL";1228660,51;1228660,51
"110005 CEREJEIRAS";20462,51;20462,51
"110006 COLORADO DO OESTE";22430,91;22430,91
"110009 ESPIGAO D'OESTE";38269,30;38269,30
"110010 GUAJARA-MIRIM";34358,14;34358,14
"110011 JARU";89621,33;89621,33
"110012 JI-PARANA";980103,48;980103,48
"110013 MACHADINHO D'OESTE";69567,94;69567,94
"110014 NOVA BRASILANDIA D'OESTE";16689,37;16689,37
"110015 OURO PRETO DO OESTE";101448,52;101448,52
"110018 PIMENTA BUENO";88132,76;88132,76
"110020 PORTO VELHO";5390850,63;5390850,63
"110025 PRESIDENTE MEDICI";28069,96;28069,96
"110026 RIO CRESPO";1086,69;1086,69
"110028 ROLIM DE MOURA";88674,24;88674,24
"110030 VILHENA";593806,68;593806,68
"110032 SAO MIGUEL DO GUAPORE";38072,53;38072,53
"110033 NOVA MAMORE";20141,75;20141,75
"110034 ALVORADA D'OESTE";12603,58;12603,58
"110037 ALTO ALEGRE DOS PARECIS";11183,51;11183,51
"110040 ALTO PARAISO";7342,29;7342,29
"110045 BURITIS";28812,25;28812,25
"110050 NOVO HORIZONTE DO OESTE";6526,80;6526,80
"110060 CACAULANDIA";1066,66;1066,66
"110070 CAMPO NOVO DE RONDONIA";3110,80;3110,80
"110080 CANDEIAS DO JAMARI";5652,75;5652,75
"110094 CUJUBIM";30014,67;30014,67
"110110 ITAPUA DO OESTE";992,14;992,14
"110120 MINISTRO ANDREAZZA";7730,03;7730,03
"110130 MIRANTE DA SERRA";7101,55;7101,55
"110140 MONTE NEGRO";27606,85;27606,85
"110143 NOVA UNIAO";1481,54;1481,54
"110146 PIMENTEIRAS DO OESTE";1809,60;1809,60
"110148 SAO FELIPE D'OESTE";467,47;467,47
"110149 SAO FRANCISCO DO GUAPORE";42286,98;42286,98
"110150 SERINGUEIRAS";33153,77;33153,77
"110155 TEIXEIROPOLIS";2717,19;2717,19
"110160 THEOBROMA";1671,64;1671,64
"110170 URUPA";20881,73;20881,73
"110180 VALE DO PARAISO";1534,41;1534,41
"120001 ACRELANDIA";8341,53;8341,53
"120005 ASSIS BRASIL";8244,85;8244,85
"120010 BRASILEIA";89574,74;89574,74
"120020 CRUZEIRO DO SUL";380748,95;380748,95
"120030 FEIJO";13687,26;13687,26
"120033 MANCIO LIMA";10839,96;10839,96
"120034 MANOEL URBANO";11887,76;11887,76
"120035 MARECHAL THAUMATURGO";12114,05;12114,05
"120038 PLACIDO DE CASTRO";8214,63;8214,63
"120039 PORTO WALTER";5817,95;5817,95
"120040 RIO BRANCO";2485760,80;2485760,80
"120042 RODRIGUES ALVES";2467,85;2467,85
"120043 SANTA ROSA DO PURUS";1414,05;1414,05
"120045 SENADOR GUIOMARD";133761,06;133761,06
"120050 SENA MADUREIRA";36500,64;36500,64
"120060 TARAUACA";47567,07;47567,07
"120070 XAPURI";10754,75;10754,75
"130002 ALVARAES";23204,97;23204,97
"130006 AMATURA";15760,69;15760,69
"130010 ANORI";80407,73;80407,73
"130014 APUI";17690,09;17690,09
"130020 ATALAIA DO NORTE";21968,60;21968,60
"130030 AUTAZES";43729,42;43729,42
"130040 BARCELOS";19186,25;19186,25
"130050 BARREIRINHA";28925,50;28925,50
"130060 BENJAMIN CONSTANT";62327,46;62327,46
"130063 BERURI";24475,21;24475,21
"130068 BOA VISTA DO RAMOS";23397,48;23397,48
"130070 BOCA DO ACRE";24667,31;24667,31
"130080 BORBA";53020,16;53020,16
"130083 CAAPIRANGA";12551,16;12551,16
"130090 CANUTAMA";19667,37;19667,37
"130100 CARAUARI";48843,78;48843,78
"130110 CAREIRO";54324,59;54324,59
"130120 COARI";168317,15;168317,15
"130150 ENVIRA";33696,86;33696,86
"130160 FONTE BOA";39065,81;39065,81
"130165 GUAJARA";5406,37;5406,37
"130180 IPIXUNA";54574,71;54574,71
"130185 IRANDUBA";14964,24;14964,24
"130190 ITACOATIARA";134949,30;134949,30
"130195 ITAMARATI";26754,20;26754,20
"130200 ITAPIRANGA";11329,73;11329,73
"130230 JUTAI";49292,66;49292,66
"130240 LABREA";19527,75;19527,75
"130250 MANACAPURU";192823,49;192823,49
"130255 MANAQUIRI";17012,51;17012,51
"130260 MANAUS";16807861,40;16807861,40
"130270 MANICORE";47800,46;47800,46
"130280 MARAA";15901,72;15901,72
"130290 MAUES";80942,94;80942,94
"130300 NHAMUNDA";19010,41;19010,41
"130310 NOVA OLINDA DO NORTE";33187,99;33187,99
"130320 NOVO AIRAO";30240,31;30240,31
"130330 NOVO ARIPUANA";31096,37;31096,37
"130340 PARINTINS";240365,34;240365,34
"130350 PAUINI";22236,95;22236,95
"130353 PRESIDENTE FIGUEIREDO";27079,40;27079,40
"130356 RIO PRETO DA EVA";10943,70;10943,70
"130360 SANTA ISABEL DO RIO NEGRO";16416,21;16416,21
"130380 SAO GABRIEL DA CACHOEIRA";46908,48;46908,48
"130390 SAO PAULO DE OLIVENCA";91592,48;91592,48
"130395 SAO SEBASTIAO DO UATUMA";16197,58;16197,58
"130400 SILVES";10619,74;10619,74
"130406 TABATINGA";15113,11;15113,11
"130420 TEFE";102635,18;102635,18
"130423 TONANTINS";31418,39;31418,39
"130426 UARINI";35196,35;35196,35
"130430 URUCARA";27061,18;27061,18
"140005 ALTO ALEGRE";204,00;204,00
"140010 BOA VISTA";3468276,18;3468276,18
"140015 BONFIM";1362,00;1362,00
"140020 CARACARAI";1176,72;1176,72
"140023 CAROEBE";4884,24;4884,24
"140045 PACARAIMA";6348,54;6348,54
"140047 RORAINOPOLIS";96788,03;96788,03
